granuleId,packageId,date,members,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-07-21-pt1-PgH5025-2,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5025-3,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5025,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5025-4,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH-FrontMatter,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5025-6,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5025-5,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5026,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5026-2,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5026-3,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5026-5,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5026-4,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5027,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5030-2,CREC-2016-07-21,2016-07-21,,8191,1956,SPEAKING,H,114,C001076,"Chaffetz, Jason",UT,R,"Chaffetz, Jason",Mr. CHAFFETZ,Jason Chaffetz,
CREC-2016-07-21-pt1-PgH5030-3,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5030-5,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5030,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5030-6,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5030-7,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5030-8,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5030-4,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5030-10,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5030-11,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5031-2,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5031,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgH5030-9,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgE1157-3,CREC-2016-07-21,2016-07-21,,8040,1860,SPEAKING,H,114,S001172,"Smith, Adrian",NE,R,"Smith, Adrian",Mr. SMITH of Nebraska,Adrian Smith,
CREC-2016-07-21-pt1-PgE1157-4,CREC-2016-07-21,2016-07-21,,,2167,SPEAKING,H,114,V000132,"Vela, Filemon",TX,D,"Vela, Filemon",Mr. VELA,Filemon Vela,
CREC-2016-07-21-pt1-PgE1158-2,CREC-2016-07-21,2016-07-21,,,2225,SPEAKING,H,114,M001197,"McSally, Martha",AZ,R,"McSally, Martha",Ms. McSALLY,Martha McSally,
CREC-2016-07-21-pt1-PgE1158,CREC-2016-07-21,2016-07-21,,,2169,SPEAKING,H,114,K000381,"Kilmer, Derek",WA,D,"Kilmer, Derek",Mr. KILMER,Derek Kilmer,
CREC-2016-07-21-pt1-PgE1158-4,CREC-2016-07-21,2016-07-21,,7806,1593,SPEAKING,H,114,T000460,"Thompson, Mike",CA,D,"Thompson, Mike",Mr. THOMPSON of California,Mike Thompson,
CREC-2016-07-21-pt1-PgE1157-2,CREC-2016-07-21,2016-07-21,,7863,1834,SPEAKING,H,114,L000564,"Lamborn, Doug",CO,R,"Lamborn, Doug",Mr. LAMBORN,Doug Lamborn,
CREC-2016-07-21-pt1-PgE1158-3,CREC-2016-07-21,2016-07-21,,8069,850,SPEAKING,H,114,N000002,"Nadler, Jerrold",NY,D,"Nadler, Jerrold",Mr. NADLER,Jerrold Nadler,
CREC-2016-07-21-pt1-PgE1159-2,CREC-2016-07-21,2016-07-21,,,2199,SPEAKING,H,114,J000296,"Jolly, David W.",FL,R,"Jolly, David W.",Mr. JOLLY,David W. Jolly,Mr. David Jolly
CREC-2016-07-21-pt1-PgE1159,CREC-2016-07-21,2016-07-21,,8116,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2016-07-21-pt1-PgE1159-3,CREC-2016-07-21,2016-07-21,,7962,1924,SPEAKING,H,114,F000456,"Fleming, John",LA,R,"Fleming, John",Mr. FLEMING,John Fleming,
CREC-2016-07-21-pt1-PgD837,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgD837-2,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgD837-3,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgD837-6,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgD837-5,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
CREC-2016-07-21-pt1-PgD837-4,CREC-2016-07-21,2016-07-21,,,,,,,,,,,,,,
