granuleId,packageId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2015-06-09-pt1-PgH3923-5,CREC-2015-06-09,SPEAKING,H,114,J000297,"Jenkins, Evan H.",WV,R,,"Jenkins, Evan H.",Evan Jenkins,Mr. JENKINS of West Virginia,Evan H. Jenkins
CREC-2015-06-09-pt1-PgH3923,CREC-2015-06-09,,,,,,,,,,,,
CREC-2015-06-09-pt1-PgH3923-3,CREC-2015-06-09,,,,,,,,,,,,
CREC-2015-06-09-pt1-PgH3923-2,CREC-2015-06-09,,,,,,,,,,,,
CREC-2015-06-09-pt1-PgH3924-2,CREC-2015-06-09,SPEAKING,H,114,G000577,"Graves, Garret",LA,R,,"Graves, Garret",,Mr. GRAVES of Louisiana,Garret Graves
CREC-2015-06-09-pt1-PgH-FrontMatter,CREC-2015-06-09,,,,,,,,,,,,
CREC-2015-06-09-pt1-PgH3924,CREC-2015-06-09,SPEAKING,H,114,R000409,"Rohrabacher, Dana",CA,R,,"Rohrabacher, Dana",,Mr. ROHRABACHER,Dana Rohrabacher
CREC-2015-06-09-pt1-PgH3923-4,CREC-2015-06-09,SPEAKING,H,114,J000255,"Jones, Walter B., Jr.",NC,R,,"Jones, Walter B., Jr.",Walter Jones,Mr. JONES,Walter B. Jones
CREC-2015-06-09-pt1-PgH3925-3,CREC-2015-06-09,,,,,,,,,,,,
CREC-2015-06-09-pt1-PgH3925-4,CREC-2015-06-09,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,,"Wilson, Joe",,Mr. WILSON of South Carolina,Joe Wilson
CREC-2015-06-09-pt1-PgH3925-2,CREC-2015-06-09,,,,,,,,,,,,
CREC-2015-06-09-pt1-PgH3925,CREC-2015-06-09,,,,,,,,,,,,
CREC-2015-06-09-pt1-PgH3925-5,CREC-2015-06-09,,,,,,,,,,,,
