granuleId,packageId,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-01-07-pt1-PgH52,CREC-2015-01-07,8116,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2015-01-07-pt1-PgH51-3,CREC-2015-01-07,,,,,,,,,,,,,,
CREC-2015-01-07-pt1-PgH51-4,CREC-2015-01-07,7890,985,SPEAKING,H,114,R000435,"Ros-Lehtinen, Ileana",FL,R,,"Ros-Lehtinen, Ileana",Ms. ROS-LEHTINEN,Ileana Ros-Lehtinen,
CREC-2015-01-07-pt1-PgH52-2,CREC-2015-01-07,8723,1744,SPEAKING,H,114,M001151,"Murphy, Tim",PA,R,,"Murphy, Tim",Mr. MURPHY of Pennsylvania,Tim Murphy,
CREC-2015-01-07-pt1-PgH53,CREC-2015-01-07,8138,1953,SPEAKING,H,114,P000596,"Pierluisi, Pedro R.",PR,D,,"Pierluisi, Pedro R.",Mr. PIERLUISI,Pedro R. Pierluisi,Mr. Pedro Pierluisi
CREC-2015-01-07-pt1-PgH51,CREC-2015-01-07,,,,,,,,,,,,,,
CREC-2015-01-07-pt1-PgH-FrontMatter-3,CREC-2015-01-07,,,,,,,,,,,,,,
CREC-2015-01-07-pt1-PgH51-2,CREC-2015-01-07,,,,,,,,,,,,,,
CREC-2015-01-07-pt1-PgH53-2,CREC-2015-01-07,8123,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,,"Thompson, Glenn",Mr. THOMPSON of Pennsylvania,Glenn Thompson,
CREC-2015-01-07-pt1-PgH54,CREC-2015-01-07,8165,1803,SPEAKING,H,114,G000553,"Green, Al",TX,D,,"Green, Al",Mr. AL GREEN of Texas,Al Green,
CREC-2015-01-07-pt1-PgH55-3,CREC-2015-01-07,,,,,,,,,,,,,,
CREC-2015-01-07-pt1-PgH55,CREC-2015-01-07,,,,,,,,,,,,,,
