granuleId,packageId,date,members,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2016-06-22-pt1-PgH4057-2,CREC-2016-06-22,2016-06-22,,,,,,,,,,,,
CREC-2016-06-22-pt1-PgH-FrontMatter,CREC-2016-06-22,2016-06-22,,,,,,,,,,,,
CREC-2016-06-22-pt1-PgH4057,CREC-2016-06-22,2016-06-22,,,,,,,,,,,,
CREC-2016-06-22-pt1-PgH4057-3,CREC-2016-06-22,2016-06-22,,,,,,,,,,,,
CREC-2016-06-22-pt1-PgH4058,CREC-2016-06-22,2016-06-22,,SPEAKING,H,114,C001101,"Clark, Katherine M.",MA,D,"Clark, Katherine M.",Katherine Clark,Ms. CLARK of Massachusetts,Katherine M. Clark
CREC-2016-06-22-pt1-PgH4057-4,CREC-2016-06-22,2016-06-22,,SPEAKING,H,114,J000296,"Jolly, David W.",FL,R,"Jolly, David W.",David Jolly,Mr. JOLLY,David W. Jolly
CREC-2016-06-22-pt1-PgH4058-2,CREC-2016-06-22,2016-06-22,,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,"Thompson, Glenn",,Mr. THOMPSON of Pennsylvania,Glenn Thompson
CREC-2016-06-22-pt1-PgH4058-3,CREC-2016-06-22,2016-06-22,,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,"Blumenauer, Earl",,Mr. BLUMENAUER,Earl Blumenauer
CREC-2016-06-22-pt1-PgH4059,CREC-2016-06-22,2016-06-22,,SPEAKING,H,114,R000435,"Ros-Lehtinen, Ileana",FL,R,"Ros-Lehtinen, Ileana",,Ms. ROS-LEHTINEN,Ileana Ros-Lehtinen
CREC-2016-06-22-pt1-PgH4060-2,CREC-2016-06-22,2016-06-22,,SPEAKING,H,114,W000814,"Weber, Randy K. Sr.",TX,R,"Weber, Randy K. Sr.",Randy Weber,Mr. WEBER of Texas,"Randy K. Weber, Sr."
CREC-2016-06-22-pt1-PgH4060-2,CREC-2016-06-22,2016-06-22,,SPEAKING,H,114,W000814,"Weber, Randy K. Sr.",TX,R,"Weber, Randy K. Sr.",Randy K. Weber,Mr. WEBER of Texas,"Randy K. Weber, Sr."
CREC-2016-06-22-pt1-PgH4060,CREC-2016-06-22,2016-06-22,,SPEAKING,H,114,C001084,"Cicilline, David N.",RI,D,"Cicilline, David N.",David Cicilline,Mr. CICILLINE,David N. Cicilline
