granuleId,packageId,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__parsed,name__authority-fnf
CREC-2016-12-30-pt1-PgH7631,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgH7631-2,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgH7631-3,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgH7631-4,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgH-FrontMatter,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgH7631-5,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgH7632,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgH7631-6,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgH7633,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgH7633-2,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgH7637-3,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgH7638-2,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgH7637-4,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgH7637,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgH7638,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgH7637-2,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgS-FrontMatter-3,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgS7179-2,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgS7179,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgD1149-3,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgD1149-4,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgD1149-2,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgD1149,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgE1741-2,CREC-2016-12-30,,2148,SPEAKING,H,114,M001188,"Meng, Grace",NY,D,"Meng, Grace",Ms. MENG,Grace Meng
CREC-2016-12-30-pt1-PgD1149-5,CREC-2016-12-30,,,,,,,,,,,,
CREC-2016-12-30-pt1-PgD1149-6,CREC-2016-12-30,,,,,,,,,,,,
