granuleId,packageId,committees,authorityId,chamber,committeeName,type
CREC-2015-05-08-pt1-PgH2801-2,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2801-3,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2801-8,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2801,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2801-7,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2801-4,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2801-5,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2801-6,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2802,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2802-2,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2802-3,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2802-4,CREC-2015-05-08,,hspw00,H,Committee on Transportation and Infrastructure,S
CREC-2015-05-08-pt1-PgH2802-4,CREC-2015-05-08,,hsap00,H,Committee on Appropriations,S
CREC-2015-05-08-pt1-PgH2819-2,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2819-3,CREC-2015-05-08,,hsju00,H,Committee on the Judiciary,S
CREC-2015-05-08-pt1-PgH2819-3,CREC-2015-05-08,,hsed00,H,Committee on Education and the Workforce,S
CREC-2015-05-08-pt1-PgH2819,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2819-4,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2819-5,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2819-6,CREC-2015-05-08,,hsag00,H,Committee on Agriculture,S
CREC-2015-05-08-pt1-PgH2819-6,CREC-2015-05-08,,hsas00,H,Committee on Armed Services,S
CREC-2015-05-08-pt1-PgH2819-6,CREC-2015-05-08,,hsba00,H,Committee on Financial Services,S
CREC-2015-05-08-pt1-PgH2819-6,CREC-2015-05-08,,hsif00,H,Committee on Energy and Commerce,S
CREC-2015-05-08-pt1-PgH2819-6,CREC-2015-05-08,,hsfa00,H,Committee on Foreign Affairs,S
CREC-2015-05-08-pt1-PgH2819-6,CREC-2015-05-08,,hsgo00,H,Committee on Oversight and Government Reform,S
CREC-2015-05-08-pt1-PgH2819-6,CREC-2015-05-08,,hsju00,H,Committee on the Judiciary,S
CREC-2015-05-08-pt1-PgH2819-6,CREC-2015-05-08,,hspw00,H,Committee on Transportation and Infrastructure,S
CREC-2015-05-08-pt1-PgH2819-6,CREC-2015-05-08,,hsvr00,H,Committee on Veterans' Affairs,S
CREC-2015-05-08-pt1-PgH2820,CREC-2015-05-08,,hspw00,H,Committee on Transportation and Infrastructure,S
CREC-2015-05-08-pt1-PgH2820,CREC-2015-05-08,,hssy00,H,"Committee on Science, Space, and Technology",S
CREC-2015-05-08-pt1-PgH2820,CREC-2015-05-08,,hswm00,H,Committee on Ways and Means,S
CREC-2015-05-08-pt1-PgH2820,CREC-2015-05-08,,hsju00,H,Committee on the Judiciary,S
CREC-2015-05-08-pt1-PgH2820-2,CREC-2015-05-08,,hsba00,H,Committee on Financial Services,S
CREC-2015-05-08-pt1-PgH2820-2,CREC-2015-05-08,,hsgo00,H,Committee on Oversight and Government Reform,S
CREC-2015-05-08-pt1-PgH2820-2,CREC-2015-05-08,,hsif00,H,Committee on Energy and Commerce,S
CREC-2015-05-08-pt1-PgH2820-2,CREC-2015-05-08,,hsju00,H,Committee on the Judiciary,S
CREC-2015-05-08-pt1-PgH2820-2,CREC-2015-05-08,,hsed00,H,Committee on Education and the Workforce,S
CREC-2015-05-08-pt1-PgH2821,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2821-2,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2821-4,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2821-3,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2821-5,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgH2821-6,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgE663-2,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgE663-3,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgE664,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgE663-5,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgE663-6,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgE663-4,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgE664-2,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgE664-3,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgE665-2,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgE665,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgE666,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgE666-2,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgE665-3,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgE665-4,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgE666-3,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgD510-2,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgE666-4,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgD510,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgD511,CREC-2015-05-08,,,,,
CREC-2015-05-08-pt1-PgD511-2,CREC-2015-05-08,,ssas00,S,Committee on Armed Services,S
CREC-2015-05-08-pt1-PgD511-2,CREC-2015-05-08,,ssfr00,S,Committee on Foreign Relations,S
CREC-2015-05-08-pt1-PgD511-3,CREC-2015-05-08,,jspr00,J,Joint Committee on Printing,J
CREC-2015-05-08-pt1-PgD510-3,CREC-2015-05-08,,hspw00,H,Committee on Transportation and Infrastructure,S
CREC-2015-05-08-pt1-PgD510-3,CREC-2015-05-08,,hsju00,H,Committee on the Judiciary,S
CREC-2015-05-08-pt1-PgD510-3,CREC-2015-05-08,,hsed00,H,Committee on Education and the Workforce,S
