granuleId,packageId,date,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2015-12-31-pt1-PgH-FrontMatter-4,CREC-2015-12-31,2015-12-31,,,,,,,,,,,,,,
CREC-2015-12-31-pt1-PgH10715,CREC-2015-12-31,2015-12-31,,,,,,,,,,,,,,
CREC-2015-12-31-pt1-PgH10715-2,CREC-2015-12-31,2015-12-31,,,,,,,,,,,,,,
CREC-2015-12-31-pt1-PgH10716,CREC-2015-12-31,2015-12-31,,,,,,,,,,,,,,
CREC-2015-12-31-pt1-PgH10717,CREC-2015-12-31,2015-12-31,,,,,,,,,,,,,,
CREC-2015-12-31-pt1-PgH10716-2,CREC-2015-12-31,2015-12-31,,,,,,,,,,,,,,
CREC-2015-12-31-pt1-PgH10717-3,CREC-2015-12-31,2015-12-31,,,,,,,,,,,,,,
CREC-2015-12-31-pt1-PgH10717-2,CREC-2015-12-31,2015-12-31,,,,,,,,,,,,,,
CREC-2015-12-31-pt1-PgE1847-2,CREC-2015-12-31,2015-12-31,,2172,SPEAKING,H,114,K000379,"Kennedy, Joseph P., III",MA,D,,"Kennedy, Joseph P., III",Joseph Kennedy III,Mr. KENNEDY,Joseph P. Kennedy III
CREC-2015-12-31-pt1-PgE1847-3,CREC-2015-12-31,2015-12-31,,281,SPEAKING,H,114,D000216,"DeLauro, Rosa L.",CT,D,7868,"DeLauro, Rosa L.",Rosa Delauro,Ms. DeLAURO,Rosa L. DeLauro
CREC-2015-12-31-pt1-PgE1847-4,CREC-2015-12-31,2015-12-31,,1973,SPEAKING,H,114,G000559,"Garamendi, John",CA,D,7815,"Garamendi, John",,Mr. GARAMENDI,John Garamendi
CREC-2015-12-31-pt1-PgD1341,CREC-2015-12-31,2015-12-31,,,,,,,,,,,,,,
CREC-2015-12-31-pt1-PgD1341-2,CREC-2015-12-31,2015-12-31,,,,,,,,,,,,,,
CREC-2015-12-31-pt1-PgD1341-3,CREC-2015-12-31,2015-12-31,,,,,,,,,,,,,,
CREC-2015-12-31-pt1-PgD1341-4,CREC-2015-12-31,2015-12-31,,,,,,,,,,,,,,
CREC-2015-12-31-pt1-PgD1341-5,CREC-2015-12-31,2015-12-31,,,,,,,,,,,,,,
CREC-2015-12-31-pt1-PgD1341-6,CREC-2015-12-31,2015-12-31,,,,,,,,,,,,,,
