granuleId,packageId,date,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-01-14-pt1-PgH361-3,CREC-2015-01-14,2015-01-14,,,,,,,,,,,,,,
CREC-2015-01-14-pt1-PgH361-2,CREC-2015-01-14,2015-01-14,,,,,,,,,,,,,,
CREC-2015-01-14-pt1-PgH361,CREC-2015-01-14,2015-01-14,,,,,,,,,,,,,,
CREC-2015-01-14-pt1-PgH361-4,CREC-2015-01-14,2015-01-14,,,,,,,,,,,,,,
CREC-2015-01-14-pt1-PgH361-5,CREC-2015-01-14,2015-01-14,,,,,,,,,,,,,,
CREC-2015-01-14-pt1-PgH361-6,CREC-2015-01-14,2015-01-14,,2247,SPEAKING,H,114,P000611,"Poliquin, Bruce",ME,R,,"Poliquin, Bruce",Mr. POLIQUIN,Bruce Poliquin,
CREC-2015-01-14-pt1-PgH361-7,CREC-2015-01-14,2015-01-14,,1857,SPEAKING,H,114,E000288,"Ellison, Keith",MN,D,8005,"Ellison, Keith",Mr. ELLISON,Keith Ellison,
CREC-2015-01-14-pt1-PgH362,CREC-2015-01-14,2015-01-14,,1779,SPEAKING,H,114,W000796,"Westmoreland, Lynn A.",GA,R,7900,"Westmoreland, Lynn A.",Mr. WESTMORELAND,Lynn A. Westmoreland,Mr. Lynn Westmoreland
CREC-2015-01-14-pt1-PgH362-3,CREC-2015-01-14,2015-01-14,,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,8123,"Thompson, Glenn",Mr. THOMPSON of Pennsylvania,Glenn Thompson,
CREC-2015-01-14-pt1-PgH362-2,CREC-2015-01-14,2015-01-14,,2110,SPEAKING,H,114,T000472,"Takano, Mark",CA,D,,"Takano, Mark",Mr. TAKANO,Mark Takano,
CREC-2015-01-14-pt1-PgH362-5,CREC-2015-01-14,2015-01-14,,1744,SPEAKING,H,114,M001151,"Murphy, Tim",PA,R,8723,"Murphy, Tim",Mr. MURPHY of Pennsylvania,Tim Murphy,
CREC-2015-01-14-pt1-PgH363,CREC-2015-01-14,2015-01-14,,729,SPEAKING,H,114,M000087,"Maloney, Carolyn B.",NY,D,8075,"Maloney, Carolyn B.",Mrs. CAROLYN B. MALONEY of New York,Carolyn B. Maloney,Carolyn Maloney
CREC-2015-01-14-pt1-PgH362-4,CREC-2015-01-14,2015-01-14,,1988,SPEAKING,H,114,S001185,"Sewell, Terri A.",AL,D,7792,"Sewell, Terri A.",Ms. SEWELL of Alabama,Terri A. Sewell,Ms. Terri Sewell
CREC-2015-01-14-pt1-PgH363-2,CREC-2015-01-14,2015-01-14,,2038,SPEAKING,H,114,G000570,"Guinta, Frank C.",NH,R,8041,"Guinta, Frank C.",Mr. GUINTA,Frank C. Guinta,Mr. Frank Guinta
CREC-2015-01-14-pt1-PgH394,CREC-2015-01-14,2015-01-14,,2246,SPEAKING,H,114,M001196,"Moulton, Seth",MA,D,,"Moulton, Seth",Mr. MOULTON,Seth Moulton,
CREC-2015-01-14-pt1-PgH394,CREC-2015-01-14,2015-01-14,,1749,SPEAKING,H,114,H001036,"Hensarling, Jeb",TX,R,8161,"Hensarling, Jeb",Mr. HENSARLING,Jeb Hensarling,
CREC-2015-01-14-pt1-PgH394,CREC-2015-01-14,2015-01-14,,1205,SPEAKING,H,114,W000187,"Waters, Maxine",CA,D,7840,"Waters, Maxine",Ms. MAXINE WATERS of California,Maxine Waters,
CREC-2015-01-14-pt1-PgH394,CREC-2015-01-14,2015-01-14,,2235,SPEAKING,H,114,C001107,"Curbelo, Carlos",FL,R,,"Curbelo, Carlos",Mr. CURBELO of Florida,Carlos Curbelo,
CREC-2015-01-14-pt1-PgH396,CREC-2015-01-14,2015-01-14,,,,,,,,,,,,,,
CREC-2015-01-14-pt1-PgH396-2,CREC-2015-01-14,2015-01-14,,,,,,,,,,,,,,
CREC-2015-01-14-pt1-PgH396-3,CREC-2015-01-14,2015-01-14,,,,,,,,,,,,,,
CREC-2015-01-14-pt1-PgH396-4,CREC-2015-01-14,2015-01-14,,2063,SPEAKING,H,114,B001273,"Black, Diane",TN,R,8153,"Black, Diane",Mrs. BLACK,Diane Black,
