granuleId,packageId,date,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-06-12-pt1-PgH4245-3,CREC-2015-06-12,2015-06-12,7934,2015,SPEAKING,H,114,H001059,"Hultgren, Randy",IL,R,,"Hultgren, Randy",Mr. HULTGREN,Randy Hultgren,
CREC-2015-06-12-pt1-PgH4245-2,CREC-2015-06-12,2015-06-12,,,,,,,,,,,,,,
CREC-2015-06-12-pt1-PgH4245,CREC-2015-06-12,2015-06-12,,,,,,,,,,,,,,
CREC-2015-06-12-pt1-PgH4245-4,CREC-2015-06-12,2015-06-12,,,,,,,,,,,,,,
CREC-2015-06-12-pt1-PgH4245-6,CREC-2015-06-12,2015-06-12,,,,,,,,,,,,,,
CREC-2015-06-12-pt1-PgH4245-5,CREC-2015-06-12,2015-06-12,,,,,,,,,,,,,,
CREC-2015-06-12-pt1-PgH4246,CREC-2015-06-12,2015-06-12,,867,SPEAKING,H,114,N000127,"Nolan, Richard M.",MN,D,,"Nolan, Richard M.",Mr. NOLAN,Richard M. Nolan,Richard Nolan
CREC-2015-06-12-pt1-PgH4245-7,CREC-2015-06-12,2015-06-12,7864,1912,SPEAKING,H,114,C001077,"Coffman, Mike",CO,R,,"Coffman, Mike",Mr. COFFMAN,Mike Coffman,
CREC-2015-06-12-pt1-PgH4246-2,CREC-2015-06-12,2015-06-12,8123,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,,"Thompson, Glenn",Mr. THOMPSON of Pennsylvania,Glenn Thompson,
CREC-2015-06-12-pt1-PgH4246-5,CREC-2015-06-12,2015-06-12,7816,1832,SPEAKING,H,114,M001166,"McNerney, Jerry",CA,D,,"McNerney, Jerry",Mr. McNERNEY,Jerry McNerney,
CREC-2015-06-12-pt1-PgH4246-3,CREC-2015-06-12,2015-06-12,8117,279,SPEAKING,H,114,D000191,"DeFazio, Peter A.",OR,D,,"DeFazio, Peter A.",Mr. DeFAZIO,Peter A. DeFazio,Peter Defazio
CREC-2015-06-12-pt1-PgH4246-4,CREC-2015-06-12,2015-06-12,8003,1930,SPEAKING,H,114,P000594,"Paulsen, Erik",MN,R,,"Paulsen, Erik",Mr. PAULSEN,Erik Paulsen,
CREC-2015-06-12-pt1-PgH4247,CREC-2015-06-12,2015-06-12,7825,1774,SPEAKING,H,114,C001059,"Costa, Jim",CA,D,,"Costa, Jim",Mr. COSTA,Jim Costa,
CREC-2015-06-12-pt1-PgH4247-2,CREC-2015-06-12,2015-06-12,8142,1688,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,,"Wilson, Joe",Mr. WILSON of South Carolina,Joe Wilson,
CREC-2015-06-12-pt1-PgH4246-6,CREC-2015-06-12,2015-06-12,7934,2015,SPEAKING,H,114,H001059,"Hultgren, Randy",IL,R,,"Hultgren, Randy",Mr. HULTGREN,Randy Hultgren,
CREC-2015-06-12-pt1-PgH4265,CREC-2015-06-12,2015-06-12,,,,,,,,,,,,,,
CREC-2015-06-12-pt1-PgH4247-3,CREC-2015-06-12,2015-06-12,8181,303,SPEAKING,H,114,D000399,"Doggett, Lloyd",TX,D,,"Doggett, Lloyd",Mr. DOGGETT,Lloyd Doggett,
CREC-2015-06-12-pt1-PgH4265-2,CREC-2015-06-12,2015-06-12,,,,,,,,,,,,,,
CREC-2015-06-12-pt1-PgH4247-4,CREC-2015-06-12,2015-06-12,8214,1560,SPEAKING,H,114,R000570,"Ryan, Paul D.",WI,R,,"Ryan, Paul D.",Mr. RYAN of Wisconsin,Paul D. Ryan,Paul Ryan
CREC-2015-06-12-pt1-PgH4247-4,CREC-2015-06-12,2015-06-12,7997,683,SPEAKING,H,114,L000263,"Levin, Sander M.",MI,D,,"Levin, Sander M.",Mr. LEVIN,Sander M. Levin,Sander Levin
CREC-2015-06-12-pt1-PgH4247-4,CREC-2015-06-12,2015-06-12,8181,303,SPEAKING,H,114,D000399,"Doggett, Lloyd",TX,D,,"Doggett, Lloyd",Mr. DOGGETT,Lloyd Doggett,
CREC-2015-06-12-pt1-PgH4247-4,CREC-2015-06-12,2015-06-12,7826,1710,SPEAKING,H,114,N000181,"Nunes, Devin",CA,R,,"Nunes, Devin",Mr. NUNES,Devin Nunes,
CREC-2015-06-12-pt1-PgH4247-4,CREC-2015-06-12,2015-06-12,8216,1498,SPEAKING,H,114,K000188,"Kind, Ron",WI,D,,"Kind, Ron",Mr. KIND,Ron Kind,
CREC-2015-06-12-pt1-PgH4247-4,CREC-2015-06-12,2015-06-12,8102,1664,SPEAKING,H,114,T000462,"Tiberi, Patrick J.",OH,R,,"Tiberi, Patrick J.",Mr. TIBERI,Patrick J. Tiberi,Patrick Tiberi
CREC-2015-06-12-pt1-PgH4247-4,CREC-2015-06-12,2015-06-12,7948,2019,SPEAKING,H,114,Y000064,"Young, Todd",IN,R,,"Young, Todd",Mr. YOUNG of Indiana,Todd Young,Mr. Todd C. Young
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,8102,1664,SPEAKING,H,114,T000462,"Tiberi, Patrick J.",OH,R,,"Tiberi, Patrick J.",Mr. TIBERI,Patrick J. Tiberi,Patrick Tiberi
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,7809,1908,SPEAKING,H,114,M001177,"McClintock, Tom",CA,R,,"McClintock, Tom",Mr. McCLINTOCK,Tom McClintock,
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,7997,683,SPEAKING,H,114,L000263,"Levin, Sander M.",MI,D,,"Levin, Sander M.",Mr. LEVIN,Sander M. Levin,Sander Levin
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,7902,688,SPEAKING,H,114,L000287,"Lewis, John",GA,D,,"Lewis, John",Mr. LEWIS,John Lewis,
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,8003,1930,SPEAKING,H,114,P000594,"Paulsen, Erik",MN,R,,"Paulsen, Erik",Mr. PAULSEN,Erik Paulsen,
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,7927,1477,SPEAKING,H,114,D000096,"Davis, Danny K.",IL,D,,"Davis, Danny K.",Mr. DANNY K. DAVIS of Illinois,Danny K. Davis,Danny Davis
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,8040,1860,SPEAKING,H,114,S001172,"Smith, Adrian",NE,R,,"Smith, Adrian",Mr. SMITH of Nebraska,Adrian Smith,
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,8116,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,7930,2013,SPEAKING,H,114,D000613,"Dold, Robert J.",IL,R,,"Dold, Robert J.",Mr. DOLD,Robert J. Dold,Mr. Robert Dold
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,8050,1510,SPEAKING,H,114,P000096,"Pascrell, Bill, Jr.",NJ,D,,"Pascrell, Bill, Jr.",Mr. PASCRELL,"Bill Pascrell, Jr.",William Pascrell
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,8125,2052,SPEAKING,H,114,M001181,"Meehan, Patrick",PA,R,,"Meehan, Patrick",Mr. MEEHAN,Patrick Meehan,
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,7844,1757,SPEAKING,H,114,S001156,"Sanchez, Linda T.",CA,D,,"Sanchez, Linda T.",Ms. LINDA T. SANCHEZ of California,Linda T. Sanchez,Linda Sanchez
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,7926,1848,SPEAKING,H,114,R000580,"Roskam, Peter J.",IL,R,,"Roskam, Peter J.",Mr. ROSKAM,Peter J. Roskam,Mr. Peter Roskam
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,,2272,SPEAKING,H,114,B001292,"Beyer, Donald S., Jr.",VA,D,,"Beyer, Donald S., Jr.",Mr. BEYER,"Donald S. Beyer, Jr.",Mr. Donald Beyer
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,8164,1468,SPEAKING,H,114,B000755,"Brady, Kevin",TX,R,,"Brady, Kevin",Mr. BRADY of Texas,Kevin Brady,
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,8099,616,SPEAKING,H,114,K000009,"Kaptur, Marcy",OH,D,,"Kaptur, Marcy",Ms. KAPTUR,Marcy Kaptur,
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,8212,1810,SPEAKING,H,114,R000578,"Reichert, David G.",WA,R,,"Reichert, David G.",Mr. REICHERT,David G. Reichert,Mr. David Reichert
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,,2257,SPEAKING,H,114,A000373,"Ashford, Brad",NE,D,,"Ashford, Brad",Mr. ASHFORD,Brad Ashford,
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,7965,1787,SPEAKING,H,114,B001255,"Boustany, Charles W., Jr.",LA,R,,"Boustany, Charles W., Jr.",Mr. BOUSTANY,"Charles W. Boustany, Jr.",Mr. Charles Boustany Jr.
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,8073,1184,SPEAKING,H,114,V000081,"Velazquez, Nydia M.",NY,D,,"Velazquez, Nydia M.",Ms. VELAZQUEZ,Nydia M. Velazquez,Nydia Velazquez
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,8147,2060,SPEAKING,H,114,N000184,"Noem, Kristi L.",SD,R,,"Noem, Kristi L.",Mrs. NOEM,Kristi L. Noem,Mrs. Kristi Noem
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,8027,930,SPEAKING,H,114,P000523,"Price, David E.",NC,D,,"Price, David E.",Mr. PRICE of North Carolina,David E. Price,David Price
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,,2191,SPEAKING,H,114,S001195,"Smith, Jason",MO,R,,"Smith, Jason",Mr. SMITH of Missouri,Jason Smith,
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,7832,1526,SPEAKING,H,114,S000344,"Sherman, Brad",CA,D,,"Sherman, Brad",Mr. SHERMAN,Brad Sherman,
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,8184,1807,SPEAKING,H,114,C001063,"Cuellar, Henry",TX,D,,"Cuellar, Henry",Mr. CUELLAR,Henry Cuellar,
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,7868,281,SPEAKING,H,114,D000216,"DeLauro, Rosa L.",CT,D,,"DeLauro, Rosa L.",Ms. DeLAURO,Rosa L. DeLauro,Rosa Delauro
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,,2131,SPEAKING,H,114,B001282,"Barr, Andy",KY,R,,"Barr, Andy",Mr. BARR,Andy Barr,
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,,2171,SPEAKING,H,114,P000607,"Pocan, Mark",WI,D,,"Pocan, Mark",Mr. POCAN,Mark Pocan,
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,7983,1729,SPEAKING,H,114,V000128,"Van Hollen, Chris",MD,D,,"Van Hollen, Chris",Mr. VAN HOLLEN,Chris Van Hollen,
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,7940,1188,SPEAKING,H,114,V000108,"Visclosky, Peter J.",IN,D,,"Visclosky, Peter J.",Mr. VISCLOSKY,Peter J. Visclosky,Peter Visclosky
CREC-2015-06-12-pt1-PgH4265-3,CREC-2015-06-12,2015-06-12,8069,850,SPEAKING,H,114,N000002,"Nadler, Jerrold",NY,D,,"Nadler, Jerrold",Mr. NADLER,Jerrold Nadler,
