granuleId,packageId,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-09-09-pt1-PgH5227-2,CREC-2016-09-09,,,,,,,,,,,,,,
CREC-2016-09-09-pt1-PgH5227-3,CREC-2016-09-09,,,,,,,,,,,,,,
CREC-2016-09-09-pt1-PgH-FrontMatter-3,CREC-2016-09-09,,,,,,,,,,,,,,
CREC-2016-09-09-pt1-PgH5227,CREC-2016-09-09,,,,,,,,,,,,,,
CREC-2016-09-09-pt1-PgH5227-4,CREC-2016-09-09,,,,,,,,,,,,,,
CREC-2016-09-09-pt1-PgH5227-6,CREC-2016-09-09,,2126,SPEAKING,H,114,D000619,"Davis, Rodney",IL,R,,"Davis, Rodney",Mr. RODNEY DAVIS of Illinois,Rodney Davis,
CREC-2016-09-09-pt1-PgH5227-7,CREC-2016-09-09,,2055,SPEAKING,H,114,C001084,"Cicilline, David N.",RI,D,8139,"Cicilline, David N.",Mr. CICILLINE,David N. Cicilline,Mr. David Cicilline
CREC-2016-09-09-pt1-PgH5227-5,CREC-2016-09-09,,,,,,,,,,,,,,
CREC-2016-09-09-pt1-PgH5228-2,CREC-2016-09-09,,1774,SPEAKING,H,114,C001059,"Costa, Jim",CA,D,7825,"Costa, Jim",Mr. COSTA,Jim Costa,
CREC-2016-09-09-pt1-PgH5228,CREC-2016-09-09,,1744,SPEAKING,H,114,M001151,"Murphy, Tim",PA,R,8723,"Murphy, Tim",Mr. MURPHY of Pennsylvania,Tim Murphy,
CREC-2016-09-09-pt1-PgH5228-3,CREC-2016-09-09,,985,SPEAKING,H,114,R000435,"Ros-Lehtinen, Ileana",FL,R,7890,"Ros-Lehtinen, Ileana",Ms. ROS-LEHTINEN,Ileana Ros-Lehtinen,
CREC-2016-09-09-pt1-PgH5228-4,CREC-2016-09-09,,729,SPEAKING,H,114,M000087,"Maloney, Carolyn B.",NY,D,8075,"Maloney, Carolyn B.",Mrs. CAROLYN B. MALONEY of New York,Carolyn B. Maloney,Carolyn Maloney
CREC-2016-09-09-pt1-PgH5228-5,CREC-2016-09-09,,2260,SPEAKING,H,114,H001070,"Hardy, Cresent",NV,R,,"Hardy, Cresent",Mr. HARDY,Cresent Hardy,
CREC-2016-09-09-pt1-PgH5228-6,CREC-2016-09-09,,2199,SPEAKING,H,114,J000296,"Jolly, David W.",FL,R,,"Jolly, David W.",Mr. JOLLY,David W. Jolly,Mr. David Jolly
CREC-2016-09-09-pt1-PgH5229-2,CREC-2016-09-09,,2004,SPEAKING,H,114,W000808,"Wilson, Frederica S.",FL,D,7889,"Wilson, Frederica S.",Ms. WILSON of Florida,Frederica S. Wilson,Frederica Wilson
CREC-2016-09-09-pt1-PgH5229,CREC-2016-09-09,,1205,SPEAKING,H,114,W000187,"Waters, Maxine",CA,D,7840,"Waters, Maxine",Ms. MAXINE WATERS of California,Maxine Waters,
CREC-2016-09-09-pt1-PgH5229-3,CREC-2016-09-09,,,,,,,,,,,,,,
CREC-2016-09-09-pt1-PgH5229-4,CREC-2016-09-09,,1833,SPEAKING,H,114,M001165,"McCarthy, Kevin",CA,R,7827,"McCarthy, Kevin",Mr. McCARTHY,Kevin McCarthy,
CREC-2016-09-09-pt1-PgH5230,CREC-2016-09-09,,2069,SPEAKING,H,114,H001060,"Hurt, Robert",VA,R,8196,"Hurt, Robert",Mr. HURT of Virginia,Robert Hurt,
CREC-2016-09-09-pt1-PgH5239,CREC-2016-09-09,,,,,,,,,,,,,,
