granuleId,packageId,date,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-04-16-pt1-PgH2273-2,CREC-2015-04-16,2015-04-16,,,,,,,,,,,,,,
CREC-2015-04-16-pt1-PgH2273,CREC-2015-04-16,2015-04-16,,,,,,,,,,,,,,
CREC-2015-04-16-pt1-PgH-FrontMatter-3,CREC-2015-04-16,2015-04-16,,,,,,,,,,,,,,
CREC-2015-04-16-pt1-PgH2273-3,CREC-2015-04-16,2015-04-16,,,,,,,,,,,,,,
CREC-2015-04-16-pt1-PgH2273-4,CREC-2015-04-16,2015-04-16,,,,,,,,,,,,,,
CREC-2015-04-16-pt1-PgH2273-5,CREC-2015-04-16,2015-04-16,,,,,,,,,,,,,,
CREC-2015-04-16-pt1-PgH2273-7,CREC-2015-04-16,2015-04-16,,2234,SPEAKING,H,114,G000575,"Graham, Gwen",FL,D,,"Graham, Gwen",Ms. GRAHAM,Gwen Graham,
CREC-2015-04-16-pt1-PgH2273-8,CREC-2015-04-16,2015-04-16,,2121,SPEAKING,H,114,C001093,"Collins, Doug",GA,R,,"Collins, Doug",Mr. COLLINS of Georgia,Doug Collins,
CREC-2015-04-16-pt1-PgH2273-6,CREC-2015-04-16,2015-04-16,,1908,SPEAKING,H,114,M001177,"McClintock, Tom",CA,R,7809,"McClintock, Tom",Mr. McCLINTOCK,Tom McClintock,
CREC-2015-04-16-pt1-PgH2274,CREC-2015-04-16,2015-04-16,,316,SPEAKING,H,114,D000482,"Doyle, Michael F.",PA,D,8132,"Doyle, Michael F.",Mr. MICHAEL F. DOYLE of Pennsylvania,Michael F. Doyle,Mike Doyle
CREC-2015-04-16-pt1-PgH2274-2,CREC-2015-04-16,2015-04-16,,2009,SPEAKING,H,114,S001189,"Scott, Austin",GA,R,7905,"Scott, Austin",Mr. AUSTIN SCOTT of Georgia,Austin Scott,
CREC-2015-04-16-pt1-PgH2274-3,CREC-2015-04-16,2015-04-16,,2257,SPEAKING,H,114,A000373,"Ashford, Brad",NE,D,,"Ashford, Brad",Mr. ASHFORD,Brad Ashford,
CREC-2015-04-16-pt1-PgH2274-4,CREC-2015-04-16,2015-04-16,,1989,SPEAKING,H,114,C001087,"Crawford, Eric A. ""Rick""",AR,R,7793,"Crawford, Eric A. ""Rick""",Mr. CRAWFORD,"Eric A. ""Rick"" Crawford",Mr. Eric Crawford
CREC-2015-04-16-pt1-PgH2274-5,CREC-2015-04-16,2015-04-16,,1973,SPEAKING,H,114,G000559,"Garamendi, John",CA,D,7815,"Garamendi, John",Mr. GARAMENDI,John Garamendi,
CREC-2015-04-16-pt1-PgH2275,CREC-2015-04-16,2015-04-16,,2003,SPEAKING,H,114,R000593,"Ross, Dennis A.",FL,R,7884,"Ross, Dennis A.",Mr. ROSS,Dennis A. Ross,Dennis Ross
CREC-2015-04-16-pt1-PgH2275-2,CREC-2015-04-16,2015-04-16,,2229,SPEAKING,H,114,A000371,"Aguilar, Pete",CA,D,,"Aguilar, Pete",Mr. AGUILAR,Pete Aguilar,
CREC-2015-04-16-pt1-PgH2275-3,CREC-2015-04-16,2015-04-16,,1860,SPEAKING,H,114,S001172,"Smith, Adrian",NE,R,8040,"Smith, Adrian",Mr. SMITH of Nebraska,Adrian Smith,
CREC-2015-04-16-pt1-PgH2286,CREC-2015-04-16,2015-04-16,,1468,SPEAKING,H,114,B000755,"Brady, Kevin",TX,R,8164,"Brady, Kevin",Mr. BRADY of Texas,Kevin Brady,
CREC-2015-04-16-pt1-PgH2286-2,CREC-2015-04-16,2015-04-16,,1468,SPEAKING,H,114,B000755,"Brady, Kevin",TX,R,8164,"Brady, Kevin",Mr. BRADY of Texas,Kevin Brady,
CREC-2015-04-16-pt1-PgH2286-2,CREC-2015-04-16,2015-04-16,,1477,SPEAKING,H,114,D000096,"Davis, Danny K.",IL,D,7927,"Davis, Danny K.",Mr. DANNY K. DAVIS of Illinois,Danny K. Davis,Danny Davis
CREC-2015-04-16-pt1-PgH2286-2,CREC-2015-04-16,2015-04-16,,1810,SPEAKING,H,114,R000578,"Reichert, David G.",WA,R,8212,"Reichert, David G.",Mr. REICHERT,David G. Reichert,Mr. David Reichert
CREC-2015-04-16-pt1-PgH2286-2,CREC-2015-04-16,2015-04-16,,603,SPEAKING,H,114,J000174,"Johnson, Sam",TX,R,8159,"Johnson, Sam",Mr. SAM JOHNSON of Texas,Sam Johnson,
CREC-2015-04-16-pt1-PgH2286-2,CREC-2015-04-16,2015-04-16,,2071,SPEAKING,H,114,H001056,"Herrera Beutler, Jaime",WA,R,8207,"Herrera Beutler, Jaime",Ms. HERRERA BEUTLER,Jaime Herrera Beutler,
CREC-2015-04-16-pt1-PgH2286-2,CREC-2015-04-16,2015-04-16,,2063,SPEAKING,H,114,B001273,"Black, Diane",TN,R,8153,"Black, Diane",Mrs. BLACK,Diane Black,
CREC-2015-04-16-pt1-PgH2286-2,CREC-2015-04-16,2015-04-16,,854,SPEAKING,H,114,N000015,"Neal, Richard E.",MA,D,7967,"Neal, Richard E.",Mr. NEAL,Richard E. Neal,Richard Neal
CREC-2015-04-16-pt1-PgH2286-2,CREC-2015-04-16,2015-04-16,,2119,SPEAKING,H,114,F000462,"Frankel, Lois",FL,D,,"Frankel, Lois",Ms. FRANKEL of Florida,Lois Frankel,
CREC-2015-04-16-pt1-PgH2275-4,CREC-2015-04-16,2015-04-16,,1860,SPEAKING,H,114,S001172,"Smith, Adrian",NE,R,8040,"Smith, Adrian",Mr. SMITH of Nebraska,Adrian Smith,
CREC-2015-04-16-pt1-PgH2275-4,CREC-2015-04-16,2015-04-16,,766,SPEAKING,H,114,M000404,"McDermott, Jim",WA,D,8211,"McDermott, Jim",Mr. McDERMOTT,Jim McDermott,
CREC-2015-04-16-pt1-PgH2275-4,CREC-2015-04-16,2015-04-16,,1468,SPEAKING,H,114,B000755,"Brady, Kevin",TX,R,8164,"Brady, Kevin",Mr. BRADY of Texas,Kevin Brady,
