granuleId,packageId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-01-12-pt1-PgH191-5,CREC-2015-01-12,SPEAKING,H,114,B001289,"Byrne, Bradley",AL,R,,"Byrne, Bradley",Mr. BYRNE,Bradley Byrne,
CREC-2015-01-12-pt1-PgH192-2,CREC-2015-01-12,SPEAKING,H,114,P000592,"Poe, Ted",TX,R,,"Poe, Ted",Mr. POE of Texas,Ted Poe,
CREC-2015-01-12-pt1-PgH191,CREC-2015-01-12,,,,,,,,,,,,
CREC-2015-01-12-pt1-PgH192,CREC-2015-01-12,SPEAKING,H,114,D000399,"Doggett, Lloyd",TX,D,,"Doggett, Lloyd",Mr. DOGGETT,Lloyd Doggett,
CREC-2015-01-12-pt1-PgH191-4,CREC-2015-01-12,SPEAKING,H,114,C001069,"Courtney, Joe",CT,D,,"Courtney, Joe",Mr. COURTNEY,Joe Courtney,
CREC-2015-01-12-pt1-PgH191-2,CREC-2015-01-12,,,,,,,,,,,,
CREC-2015-01-12-pt1-PgH-FrontMatter,CREC-2015-01-12,,,,,,,,,,,,
CREC-2015-01-12-pt1-PgH191-3,CREC-2015-01-12,,,,,,,,,,,,
CREC-2015-01-12-pt1-PgH194-2,CREC-2015-01-12,,,,,,,,,,,,
CREC-2015-01-12-pt1-PgH194-4,CREC-2015-01-12,SPEAKING,H,114,I000057,"Israel, Steve",NY,D,,"Israel, Steve",Mr. ISRAEL,Steve Israel,
CREC-2015-01-12-pt1-PgH194,CREC-2015-01-12,SPEAKING,H,114,A000373,"Ashford, Brad",NE,D,,"Ashford, Brad",Mr. ASHFORD,Brad Ashford,
CREC-2015-01-12-pt1-PgH193-2,CREC-2015-01-12,,,,,,,,,,,,
CREC-2015-01-12-pt1-PgH193,CREC-2015-01-12,SPEAKING,H,114,L000578,"LaMalfa, Doug",CA,R,,"LaMalfa, Doug",Mr. LaMALFA,Doug LaMalfa,
CREC-2015-01-12-pt1-PgH194-3,CREC-2015-01-12,SPEAKING,H,114,F000450,"Foxx, Virginia",NC,R,,"Foxx, Virginia",Ms. FOXX,Virginia Foxx,
CREC-2015-01-12-pt1-PgH193-3,CREC-2015-01-12,,,,,,,,,,,,
CREC-2015-01-12-pt1-PgH193-4,CREC-2015-01-12,,,,,,,,,,,,
CREC-2015-01-12-pt1-PgH194-7,CREC-2015-01-12,SPEAKING,H,114,T000470,"Tipton, Scott  R.",CO,R,,"Tipton, Scott R.",Mr. TIPTON,Scott R. Tipton,Scott Tipton
CREC-2015-01-12-pt1-PgH194-5,CREC-2015-01-12,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,,"Wilson, Joe",Mr. WILSON of South Carolina,Joe Wilson,
CREC-2015-01-12-pt1-PgH194-6,CREC-2015-01-12,SPEAKING,H,114,A000373,"Ashford, Brad",NE,D,,"Ashford, Brad",Mr. ASHFORD,Brad Ashford,
CREC-2015-01-12-pt1-PgH195,CREC-2015-01-12,SPEAKING,H,114,M001143,"McCollum, Betty",MN,D,,"McCollum, Betty",Ms. McCOLLUM,Betty McCollum,
CREC-2015-01-12-pt1-PgH195-2,CREC-2015-01-12,SPEAKING,H,114,S001145,"Schakowsky, Janice D.",IL,D,,"Schakowsky, Janice D.",Ms. SCHAKOWSKY,Janice D. Schakowsky,Janice Schakowsky
CREC-2015-01-12-pt1-PgH195-3,CREC-2015-01-12,SPEAKING,H,114,P000598,"Polis, Jared",CO,D,,"Polis, Jared",Mr. POLIS,Jared Polis,
CREC-2015-01-12-pt1-PgH195-4,CREC-2015-01-12,SPEAKING,H,114,B001292,"Beyer, Donald S.",VA,D,,"Beyer, Donald S.",Mr. BEYER,"Donald S. Beyer, Jr.",Donald Beyer
CREC-2015-01-12-pt1-PgH195-4,CREC-2015-01-12,SPEAKING,H,114,B001292,"Beyer, Donald S.",VA,D,,"Beyer, Donald S.",Mr. BEYER,"Donald S. Beyer, Jr.",Donald S. Beyer
CREC-2015-01-12-pt1-PgH195-5,CREC-2015-01-12,SPEAKING,H,114,E000290,"Edwards, Donna F.",MD,D,,"Edwards, Donna F.",Ms. EDWARDS,Donna F. Edwards,Donna Edwards
CREC-2015-01-12-pt1-PgH195-6,CREC-2015-01-12,,,,,,,,,,,,
CREC-2015-01-12-pt1-PgH196,CREC-2015-01-12,,,,,,,,,,,,
CREC-2015-01-12-pt1-PgH196-2,CREC-2015-01-12,,,,,,,,,,,,
CREC-2015-01-12-pt1-PgH204-4,CREC-2015-01-12,,,,,,,,,,,,
CREC-2015-01-12-pt1-PgH196-3,CREC-2015-01-12,SPEAKING,H,114,M001144,"Miller, Jeff",FL,R,,"Miller, Jeff",Mr. MILLER of Florida,Jeff Miller,
CREC-2015-01-12-pt1-PgH196-3,CREC-2015-01-12,SPEAKING,H,114,B000911,"Brown, Corrine",FL,D,,"Brown, Corrine",Ms. BROWN of Florida,Corrine Brown,
CREC-2015-01-12-pt1-PgH196-3,CREC-2015-01-12,SPEAKING,H,114,W000813,"Walorski, Jackie",IN,R,,"Walorski, Jackie",Mrs. WALORSKI,Jackie Walorski,
CREC-2015-01-12-pt1-PgH196-3,CREC-2015-01-12,SPEAKING,H,114,W000799,"Walz, Timothy J.",MN,D,,"Walz, Timothy J.",Mr. WALZ,Timothy J. Walz,Timothy Walz
CREC-2015-01-12-pt1-PgH196-3,CREC-2015-01-12,SPEAKING,H,114,C001106,"Costello, Ryan A.",PA,R,,"Costello, Ryan A.",Mr. COSTELLO of Pennsylvania,Ryan A. Costello,Ryan Costello
CREC-2015-01-12-pt1-PgH196-3,CREC-2015-01-12,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,,"Jackson Lee, Sheila",Ms. JACKSON LEE,Sheila Jackson Lee,
CREC-2015-01-12-pt1-PgH196-3,CREC-2015-01-12,SPEAKING,H,114,L000557,"Larson, John B.",CT,D,,"Larson, John B.",Mr. LARSON of Connecticut,John B. Larson,John Larson
CREC-2015-01-12-pt1-PgH196-3,CREC-2015-01-12,SPEAKING,H,114,D000622,"Duckworth, Tammy",IL,D,,"Duckworth, Tammy",Ms. DUCKWORTH,Tammy Duckworth,
CREC-2015-01-12-pt1-PgH205,CREC-2015-01-12,,,,,,,,,,,,
CREC-2015-01-12-pt1-PgH206,CREC-2015-01-12,,,,,,,,,,,,
