granuleId,packageId,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-12-11-pt1-PgH9274,CREC-2015-12-11,,,,,,,,,,,,,,
CREC-2015-12-11-pt1-PgH9274-2,CREC-2015-12-11,,,,,,,,,,,,,,
CREC-2015-12-11-pt1-PgH9274-6,CREC-2015-12-11,,2202,SPEAKING,H,114,N000188,"Norcross, Donald",NJ,D,,"Norcross, Donald",Mr. NORCROSS,Donald Norcross,
CREC-2015-12-11-pt1-PgH9273-2,CREC-2015-12-11,,1688,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,8142,"Wilson, Joe",Mr. WILSON of South Carolina,Joe Wilson,
CREC-2015-12-11-pt1-PgH9273,CREC-2015-12-11,,,,,,,,,,,,,,
CREC-2015-12-11-pt1-PgH9274-3,CREC-2015-12-11,,1791,SPEAKING,H,114,F000450,"Foxx, Virginia",NC,R,8028,"Foxx, Virginia",Ms. FOXX,Virginia Foxx,
CREC-2015-12-11-pt1-PgH9274-4,CREC-2015-12-11,,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,8116,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2015-12-11-pt1-PgH9274-5,CREC-2015-12-11,,985,SPEAKING,H,114,R000435,"Ros-Lehtinen, Ileana",FL,R,7890,"Ros-Lehtinen, Ileana",Ms. ROS-LEHTINEN,Ileana Ros-Lehtinen,
CREC-2015-12-11-pt1-PgH9274-7,CREC-2015-12-11,,1688,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,8142,"Wilson, Joe",Mr. WILSON of South Carolina,Joe Wilson,
CREC-2015-12-11-pt1-PgH9275,CREC-2015-12-11,,1604,SPEAKING,H,114,C001038,"Crowley, Joseph",NY,D,8068,"Crowley, Joseph",Mr. CROWLEY,Joseph Crowley,
