granuleId,packageId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-02-25-pt1-PgH895-5,CREC-2016-02-25,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2016-02-25-pt1-PgH895-4,CREC-2016-02-25,SPEAKING,H,114,C001062,"Conaway, K. Michael",TX,R,,"Conaway, K. Michael",Mr. CONAWAY,K. Michael Conaway,K. Conaway
CREC-2016-02-25-pt1-PgH896,CREC-2016-02-25,SPEAKING,H,114,H001065,"Holding, George",NC,R,,"Holding, George",Mr. HOLDING,George Holding,
CREC-2016-02-25-pt1-PgH-FrontMatter,CREC-2016-02-25,,,,,,,,,,,,
CREC-2016-02-25-pt1-PgH895-2,CREC-2016-02-25,,,,,,,,,,,,
CREC-2016-02-25-pt1-PgH895,CREC-2016-02-25,,,,,,,,,,,,
CREC-2016-02-25-pt1-PgH895-3,CREC-2016-02-25,,,,,,,,,,,,
CREC-2016-02-25-pt1-PgH896-2,CREC-2016-02-25,SPEAKING,H,114,M000312,"McGovern, James P.",MA,D,,"McGovern, James P.",Mr. McGOVERN,James P. McGovern,James McGovern
CREC-2016-02-25-pt1-PgH897,CREC-2016-02-25,SPEAKING,H,114,J000297,"Jenkins, Evan H.",WV,R,,"Jenkins, Evan H.",Mr. JENKINS of West Virginia,Evan H. Jenkins,Evan Jenkins
CREC-2016-02-25-pt1-PgH898,CREC-2016-02-25,SPEAKING,H,114,C001059,"Costa, Jim",CA,D,,"Costa, Jim",Mr. COSTA,Jim Costa,
CREC-2016-02-25-pt1-PgH897-3,CREC-2016-02-25,SPEAKING,H,114,H001072,"Hill, J. French",AR,R,,"Hill, J. French",Mr. HILL,J. French Hill,J. Hill
CREC-2016-02-25-pt1-PgH897-2,CREC-2016-02-25,SPEAKING,H,114,L000557,"Larson, John B.",CT,D,,"Larson, John B.",Mr. LARSON of Connecticut,John B. Larson,John Larson
CREC-2016-02-25-pt1-PgH899-2,CREC-2016-02-25,SPEAKING,H,114,E000294,"Emmer, Tom",MN,R,,"Emmer, Tom",Mr. EMMER of Minnesota,Tom Emmer,
