granuleId,packageId,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-02-26-pt1-PgH953-2,CREC-2016-02-26,,,,,,,,,,,,,,
CREC-2016-02-26-pt1-PgH953-7,CREC-2016-02-26,,2257,SPEAKING,H,114,A000373,"Ashford, Brad",NE,D,,"Ashford, Brad",Mr. ASHFORD,Brad Ashford,
CREC-2016-02-26-pt1-PgH953-4,CREC-2016-02-26,,,,,,,,,,,,,,
CREC-2016-02-26-pt1-PgH953-5,CREC-2016-02-26,,,,,,,,,,,,,,
CREC-2016-02-26-pt1-PgH953-3,CREC-2016-02-26,,,,,,,,,,,,,,
CREC-2016-02-26-pt1-PgH953-6,CREC-2016-02-26,,985,SPEAKING,H,114,R000435,"Ros-Lehtinen, Ileana",FL,R,7890,"Ros-Lehtinen, Ileana",Ms. ROS-LEHTINEN,Ileana Ros-Lehtinen,
CREC-2016-02-26-pt1-PgH-FrontMatter-5,CREC-2016-02-26,,,,,,,,,,,,,,
CREC-2016-02-26-pt1-PgH953,CREC-2016-02-26,,,,,,,,,,,,,,
CREC-2016-02-26-pt1-PgH954,CREC-2016-02-26,,1930,SPEAKING,H,114,P000594,"Paulsen, Erik",MN,R,8003,"Paulsen, Erik",Mr. PAULSEN,Erik Paulsen,
CREC-2016-02-26-pt1-PgH954-2,CREC-2016-02-26,,2113,SPEAKING,H,114,P000608,"Peters, Scott H.",CA,D,,"Peters, Scott H.",Mr. PETERS,Scott H. Peters,Mr. Scott Peters
CREC-2016-02-26-pt1-PgH955-2,CREC-2016-02-26,,2234,SPEAKING,H,114,G000575,"Graham, Gwen",FL,D,,"Graham, Gwen",Ms. GRAHAM,Gwen Graham,
CREC-2016-02-26-pt1-PgH955,CREC-2016-02-26,,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,8123,"Thompson, Glenn",Mr. THOMPSON of Pennsylvania,Glenn Thompson,
CREC-2016-02-26-pt1-PgH954-4,CREC-2016-02-26,,2122,SPEAKING,H,114,G000571,"Gabbard, Tulsi",HI,D,,"Gabbard, Tulsi",Ms. GABBARD,Tulsi Gabbard,
CREC-2016-02-26-pt1-PgH954-3,CREC-2016-02-26,,2236,SPEAKING,H,114,C001103,"Carter, Earl L. ""Buddy""",GA,R,,"Carter, Earl L. ""Buddy""",Mr. CARTER of Georgia,"Earl L. ""Buddy"" Carter",Mr. Earl Carter
CREC-2016-02-26-pt1-PgH954-5,CREC-2016-02-26,,1802,SPEAKING,H,114,P000592,"Poe, Ted",TX,R,8158,"Poe, Ted",Mr. POE of Texas,Ted Poe,
