granuleId,packageId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-03-18-pt1-PgH1726,CREC-2015-03-18,SPEAKING,H,114,H001065,"Holding, George",NC,R,,"Holding, George",Mr. HOLDING,George Holding,
CREC-2015-03-18-pt1-PgH1725,CREC-2015-03-18,,,,,,,,,,,,
CREC-2015-03-18-pt1-PgH1725-2,CREC-2015-03-18,,,,,,,,,,,,
CREC-2015-03-18-pt1-PgH1725-3,CREC-2015-03-18,,,,,,,,,,,,
CREC-2015-03-18-pt1-PgH1726-3,CREC-2015-03-18,SPEAKING,H,114,K000378,"Kinzinger, Adam",IL,R,,"Kinzinger, Adam",Mr. KINZINGER of Illinois,Adam Kinzinger,
CREC-2015-03-18-pt1-PgH1725-4,CREC-2015-03-18,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2015-03-18-pt1-PgH1726-2,CREC-2015-03-18,SPEAKING,H,114,M000312,"McGovern, James P.",MA,D,,"McGovern, James P.",Mr. McGOVERN,James P. McGovern,James McGovern
CREC-2015-03-18-pt1-PgH-FrontMatter-5,CREC-2015-03-18,,,,,,,,,,,,
CREC-2015-03-18-pt1-PgH1729,CREC-2015-03-18,SPEAKING,H,114,C001093,"Collins, Doug",GA,R,,"Collins, Doug",Mr. COLLINS of Georgia,Doug Collins,
CREC-2015-03-18-pt1-PgH1727,CREC-2015-03-18,SPEAKING,H,114,B001286,"Bustos, Cheri",IL,D,,"Bustos, Cheri",Mrs. BUSTOS,Cheri Bustos,
CREC-2015-03-18-pt1-PgH1727-2,CREC-2015-03-18,SPEAKING,H,114,H001070,"Hardy, Cresent",NV,R,,"Hardy, Cresent",Mr. HARDY,Cresent Hardy,
CREC-2015-03-18-pt1-PgH1729-2,CREC-2015-03-18,SPEAKING,H,114,D000613,"Dold, Robert J.",IL,R,,"Dold, Robert J.",Mr. DOLD,Robert J. Dold,Robert Dold
CREC-2015-03-18-pt1-PgH1728,CREC-2015-03-18,SPEAKING,H,114,P000596,"Pierluisi, Pedro R.",PR,D,,"Pierluisi, Pedro R.",Mr. PIERLUISI,Pedro R. Pierluisi,Pedro Pierluisi
CREC-2015-03-18-pt1-PgH1729-3,CREC-2015-03-18,,,,,,,,,,,,
CREC-2015-03-18-pt1-PgH1730,CREC-2015-03-18,,,,,,,,,,,,
CREC-2015-03-18-pt1-PgH1730-2,CREC-2015-03-18,,,,,,,,,,,,
CREC-2015-03-18-pt1-PgH1730-3,CREC-2015-03-18,,,,,,,,,,,,
CREC-2015-03-18-pt1-PgH1730-5,CREC-2015-03-18,SPEAKING,H,114,R000582,"Roe, David P.",TN,R,,"Roe, David P.",Mr. ROE of Tennessee,David P. Roe,David Roe
CREC-2015-03-18-pt1-PgH1730-6,CREC-2015-03-18,SPEAKING,H,114,S000250,"Sessions, Pete",TX,R,,"Sessions, Pete",Mr. SESSIONS,Pete Sessions,
CREC-2015-03-18-pt1-PgH1730-7,CREC-2015-03-18,,,,,,,,,,,,
CREC-2015-03-18-pt1-PgH1730-9,CREC-2015-03-18,SPEAKING,H,114,B001281,"Beatty, Joyce",OH,D,,"Beatty, Joyce",Mrs. BEATTY,Joyce Beatty,
CREC-2015-03-18-pt1-PgH1730-10,CREC-2015-03-18,SPEAKING,H,114,B001275,"Bucshon, Larry",IN,R,,"Bucshon, Larry",Mr. BUCSHON,Larry Bucshon,
CREC-2015-03-18-pt1-PgH1730-4,CREC-2015-03-18,,,,,,,,,,,,
CREC-2015-03-18-pt1-PgH1730-8,CREC-2015-03-18,SPEAKING,H,114,J000174,"Johnson, Sam",TX,R,,"Johnson, Sam",Mr. SAM JOHNSON of Texas,Sam Johnson,
