granuleId,packageId,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-07-12-pt1-PgH4663-3,CREC-2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4664-2,CREC-2016-07-12,,2257,SPEAKING,H,114,A000373,"Ashford, Brad",NE,D,,"Ashford, Brad",Mr. ASHFORD,Brad Ashford,
CREC-2016-07-12-pt1-PgH4663,CREC-2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4663-2,CREC-2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4664,CREC-2016-07-12,,1792,SPEAKING,H,114,M001156,"McHenry, Patrick T.",NC,R,8033,"McHenry, Patrick T.",Mr. McHENRY,Patrick T. McHenry,Mr. Patrick Mchenry
CREC-2016-07-12-pt1-PgH4663-5,CREC-2016-07-12,,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,8116,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2016-07-12-pt1-PgH4663-4,CREC-2016-07-12,,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,8123,"Thompson, Glenn",Mr. THOMPSON of Pennsylvania,Glenn Thompson,
CREC-2016-07-12-pt1-PgH-FrontMatter-5,CREC-2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4665,CREC-2016-07-12,,985,SPEAKING,H,114,R000435,"Ros-Lehtinen, Ileana",FL,R,7890,"Ros-Lehtinen, Ileana",Ms. ROS-LEHTINEN,Ileana Ros-Lehtinen,
CREC-2016-07-12-pt1-PgH4666-2,CREC-2016-07-12,,1593,SPEAKING,H,114,T000460,"Thompson, Mike",CA,D,7806,"Thompson, Mike",Mr. THOMPSON of California,Mike Thompson,
CREC-2016-07-12-pt1-PgH4665-2,CREC-2016-07-12,,2114,SPEAKING,H,114,E000293,"Esty, Elizabeth H.",CT,D,,"Esty, Elizabeth H.",Ms. ESTY,Elizabeth H. Esty,Ms. Elizabeth Esty
CREC-2016-07-12-pt1-PgH4666,CREC-2016-07-12,,2244,SPEAKING,H,114,A000374,"Abraham, Ralph Lee",LA,R,,"Abraham, Ralph Lee",Mr. ABRAHAM,Ralph Lee Abraham,Mr. Ralph Abraham
CREC-2016-07-12-pt1-PgH4667-2,CREC-2016-07-12,,1884,SPEAKING,H,114,T000465,"Tsongas, Niki",MA,D,7970,"Tsongas, Niki",Ms. TSONGAS,Niki Tsongas,
CREC-2016-07-12-pt1-PgH4667,CREC-2016-07-12,,2277,SPEAKING,H,114,M001195,"Mooney, Alexander X.",WV,R,,"Mooney, Alexander X.",Mr. MOONEY of West Virginia,Alexander X. Mooney,Mr. Alexander Mooney
CREC-2016-07-12-pt1-PgH4668-2,CREC-2016-07-12,,1588,SPEAKING,H,114,S001145,"Schakowsky, Janice D.",IL,D,7929,"Schakowsky, Janice D.",Ms. SCHAKOWSKY,Janice D. Schakowsky,Janice Schakowsky
CREC-2016-07-12-pt1-PgH4668,CREC-2016-07-12,,2235,SPEAKING,H,114,C001107,"Curbelo, Carlos",FL,R,,"Curbelo, Carlos",Mr. CURBELO of Florida,Carlos Curbelo,
CREC-2016-07-12-pt1-PgH4669-2,CREC-2016-07-12,,1835,SPEAKING,H,114,P000593,"Perlmutter, Ed",CO,D,7865,"Perlmutter, Ed",Mr. PERLMUTTER,Ed Perlmutter,
CREC-2016-07-12-pt1-PgH4669,CREC-2016-07-12,,2266,SPEAKING,H,114,C001106,"Costello, Ryan A.",PA,R,,"Costello, Ryan A.",Mr. COSTELLO of Pennsylvania,Ryan A. Costello,Mr. Ryan Costello
CREC-2016-07-12-pt1-PgH4670,CREC-2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4670-2,CREC-2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4670-3,CREC-2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4670-5,CREC-2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4670-4,CREC-2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4670-6,CREC-2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4670-7,CREC-2016-07-12,,2128,SPEAKING,H,114,W000813,"Walorski, Jackie",IN,R,,"Walorski, Jackie",Mrs. WALORSKI,Jackie Walorski,
CREC-2016-07-12-pt1-PgH4670-8,CREC-2016-07-12,,1794,SPEAKING,H,114,H001038,"Higgins, Brian",NY,D,8088,"Higgins, Brian",Mr. HIGGINS,Brian Higgins,
CREC-2016-07-12-pt1-PgH4670-9,CREC-2016-07-12,,1177,SPEAKING,H,114,U000031,"Upton, Fred",MI,R,7991,"Upton, Fred",Mr. UPTON,Fred Upton,
CREC-2016-07-12-pt1-PgH4671,CREC-2016-07-12,,1814,SPEAKING,H,114,M001163,"Matsui, Doris O.",CA,D,7810,"Matsui, Doris O.",Ms. MATSUI,Doris O. Matsui,Ms. Doris Matsui
CREC-2016-07-12-pt1-PgH4671-2,CREC-2016-07-12,,1797,SPEAKING,H,114,F000451,"Fitzpatrick, Michael G.",PA,R,8126,"Fitzpatrick, Michael G.",Mr. FITZPATRICK,Michael G. Fitzpatrick,Mr. Michael Fitzpatrick
CREC-2016-07-12-pt1-PgH4671-3,CREC-2016-07-12,,1593,SPEAKING,H,114,T000460,"Thompson, Mike",CA,D,7806,"Thompson, Mike",Mr. THOMPSON of California,Mike Thompson,
CREC-2016-07-12-pt1-PgH4671-4,CREC-2016-07-12,,2140,SPEAKING,H,114,H001067,"Hudson, Richard",NC,R,,"Hudson, Richard",Mr. HUDSON,Richard Hudson,
CREC-2016-07-12-pt1-PgH4671-5,CREC-2016-07-12,,1976,SPEAKING,H,114,D000610,"Deutch, Theodore E.",FL,D,7891,"Deutch, Theodore E.",Mr. DEUTCH,Theodore E. Deutch,Mr. Theodore Deutch
CREC-2016-07-12-pt1-PgH4671-6,CREC-2016-07-12,,1683,SPEAKING,H,114,F000445,"Forbes, J. Randy",VA,R,8786,"Forbes, J. Randy",Mr. FORBES,J. Randy Forbes,
CREC-2016-07-12-pt1-PgH4672,CREC-2016-07-12,,2146,SPEAKING,H,114,L000580,"Lujan Grisham, Michelle",NM,D,,"Lujan Grisham, Michelle",Ms. MICHELLE LUJAN GRISHAM of New Mexico,Michelle Lujan Grisham,
CREC-2016-07-12-pt1-PgH4672-2,CREC-2016-07-12,,1744,SPEAKING,H,114,M001151,"Murphy, Tim",PA,R,8723,"Murphy, Tim",Mr. MURPHY of Pennsylvania,Tim Murphy,
CREC-2016-07-12-pt1-PgH4672-3,CREC-2016-07-12,,729,SPEAKING,H,114,M000087,"Maloney, Carolyn B.",NY,D,8075,"Maloney, Carolyn B.",Mrs. CAROLYN B. MALONEY of New York,Carolyn B. Maloney,Carolyn Maloney
CREC-2016-07-12-pt1-PgH4672-4,CREC-2016-07-12,,2264,SPEAKING,H,114,K000386,"Katko, John",NY,R,,"Katko, John",Mr. KATKO,John Katko,
CREC-2016-07-12-pt1-PgH4673,CREC-2016-07-12,,,,,,,,,,,,,,
CREC-2016-07-12-pt1-PgH4672-5,CREC-2016-07-12,,1914,SPEAKING,H,114,G000556,"Grayson, Alan",FL,D,7302,"Grayson, Alan",Mr. GRAYSON,Alan Grayson,
