granuleId,packageId,date,members,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2015-03-04-pt1-PgH1569,CREC-2015-03-04,2015-03-04,,,,,,,,,,,,,,
CREC-2015-03-04-pt1-PgH1569-2,CREC-2015-03-04,2015-03-04,,,,,,,,,,,,,,
CREC-2015-03-04-pt1-PgH-FrontMatter-3,CREC-2015-03-04,2015-03-04,,,,,,,,,,,,,,
CREC-2015-03-04-pt1-PgH1569-3,CREC-2015-03-04,2015-03-04,,,,,,,,,,,,,,
CREC-2015-03-04-pt1-PgH1569-4,CREC-2015-03-04,2015-03-04,,7924,478,SPEAKING,H,114,G000535,"Gutierrez, Luis V.",IL,D,"Gutierrez, Luis V.",Luis Gutierrez,Mr. GUTIERREZ,Luis V. Gutierrez
CREC-2015-03-04-pt1-PgH1570,CREC-2015-03-04,2015-03-04,,7968,1504,SPEAKING,H,114,M000312,"McGovern, James P.",MA,D,"McGovern, James P.",James Mcgovern,Mr. McGOVERN,James P. McGovern
CREC-2015-03-04-pt1-PgH1570-2,CREC-2015-03-04,2015-03-04,,,2131,SPEAKING,H,114,B001282,"Barr, Andy",KY,R,"Barr, Andy",,Mr. BARR,Andy Barr
CREC-2015-03-04-pt1-PgH1571,CREC-2015-03-04,2015-03-04,,8156,1878,SPEAKING,H,114,C001068,"Cohen, Steve",TN,D,"Cohen, Steve",,Mr. COHEN,Steve Cohen
CREC-2015-03-04-pt1-PgH1572,CREC-2015-03-04,2015-03-04,,,2158,SPEAKING,H,114,R000598,"Rothfus, Keith J.",PA,R,"Rothfus, Keith J.",Mr. Keith Rothfus,Mr. ROTHFUS,Keith J. Rothfus
CREC-2015-03-04-pt1-PgH1572-2,CREC-2015-03-04,2015-03-04,,8116,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,"Blumenauer, Earl",,Mr. BLUMENAUER,Earl Blumenauer
CREC-2015-03-04-pt1-PgH1573,CREC-2015-03-04,2015-03-04,,,2240,SPEAKING,H,114,T000473,"Takai, Mark",HI,D,"Takai, Mark",,Mr. TAKAI,Mark Takai
CREC-2015-03-04-pt1-PgH1573-2,CREC-2015-03-04,2015-03-04,,8138,1953,SPEAKING,H,114,P000596,"Pierluisi, Pedro R.",PR,D,"Pierluisi, Pedro R.",Mr. Pedro Pierluisi,Mr. PIERLUISI,Pedro R. Pierluisi
CREC-2015-03-04-pt1-PgH1574,CREC-2015-03-04,2015-03-04,,,,,,,,,,,,,,
