granuleId,packageId,references,collectionCode,collectionName,contents__number,contents__congress,contents__type
CREC-2015-09-17-pt1-PgH6079-2,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6080-2,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH-FrontMatter,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6079-4,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6079-5,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6079,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6079-3,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6080,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6082,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6081,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6083,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6081-2,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6083-2,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6083-3,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6084-2,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6084,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6085,CREC-2015-09-17,,BILLS,Congressional Bills,3134,114,HR
CREC-2015-09-17-pt1-PgH6085,CREC-2015-09-17,,BILLS,Congressional Bills,3429,114,HR
CREC-2015-09-17-pt1-PgH6085,CREC-2015-09-17,,BILLS,Congressional Bills,3494,114,HR
CREC-2015-09-17-pt1-PgH6085,CREC-2015-09-17,,BILLS,Congressional Bills,3495,114,HR
CREC-2015-09-17-pt1-PgH6085,CREC-2015-09-17,,BILLS,Congressional Bills,3504,114,HR
CREC-2015-09-17-pt1-PgH6085,CREC-2015-09-17,,BILLS,Congressional Bills,3515,114,HR
CREC-2015-09-17-pt1-PgH6086-2,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6086,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6086-4,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6086-5,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6086-3,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6086-6,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6087,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6087-2,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6087-4,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6087-3,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6087-6,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6087-7,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6087-5,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6088,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6088-2,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6088-3,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6088-4,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6088-5,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6088-6,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6089,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6089-2,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6089-3,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6089-4,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6089-5,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6089-6,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6090,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6090-2,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6090-3,CREC-2015-09-17,,BILLS,Congressional Bills,70,114,HCONRES
CREC-2015-09-17-pt1-PgH6090-3,CREC-2015-09-17,,BILLS,Congressional Bills,73,114,HCONRES
CREC-2015-09-17-pt1-PgH6090-3,CREC-2015-09-17,,BILLS,Congressional Bills,74,114,HCONRES
CREC-2015-09-17-pt1-PgH6109,CREC-2015-09-17,,BILLS,Congressional Bills,420,114,HRES
CREC-2015-09-17-pt1-PgH6109,CREC-2015-09-17,,BILLS,Congressional Bills,420,114,HRES
CREC-2015-09-17-pt1-PgH6090-4,CREC-2015-09-17,,BILLS,Congressional Bills,348,114,HR
CREC-2015-09-17-pt1-PgH6090-4,CREC-2015-09-17,,BILLS,Congressional Bills,348,114,HR
CREC-2015-09-17-pt1-PgH6090-4,CREC-2015-09-17,,BILLS,Congressional Bills,420,114,HRES
CREC-2015-09-17-pt1-PgH6090-4,CREC-2015-09-17,,BILLS,Congressional Bills,758,114,HR
CREC-2015-09-17-pt1-PgH6090-4,CREC-2015-09-17,,BILLS,Congressional Bills,1031,114,HR
CREC-2015-09-17-pt1-PgH6096,CREC-2015-09-17,,BILLS,Congressional Bills,167,114,HR
CREC-2015-09-17-pt1-PgH6096,CREC-2015-09-17,,BILLS,Congressional Bills,408,114,HRES
CREC-2015-09-17-pt1-PgH6096,CREC-2015-09-17,,BILLS,Congressional Bills,421,114,HRES
CREC-2015-09-17-pt1-PgH6096,CREC-2015-09-17,,BILLS,Congressional Bills,764,114,S
CREC-2015-09-17-pt1-PgH6096,CREC-2015-09-17,,BILLS,Congressional Bills,1603,114,S
CREC-2015-09-17-pt1-PgH6096,CREC-2015-09-17,,BILLS,Congressional Bills,3134,114,HR
CREC-2015-09-17-pt1-PgH6096,CREC-2015-09-17,,BILLS,Congressional Bills,3504,114,HR
CREC-2015-09-17-pt1-PgH6109-2,CREC-2015-09-17,,BILLS,Congressional Bills,348,114,HR
CREC-2015-09-17-pt1-PgH6109-2,CREC-2015-09-17,,BILLS,Congressional Bills,348,114,HR
CREC-2015-09-17-pt1-PgH6109-2,CREC-2015-09-17,,BILLS,Congressional Bills,420,114,HRES
CREC-2015-09-17-pt1-PgH6109-2,CREC-2015-09-17,,BILLS,Congressional Bills,758,114,HR
CREC-2015-09-17-pt1-PgH6121,CREC-2015-09-17,,BILLS,Congressional Bills,421,114,HRES
CREC-2015-09-17-pt1-PgH6121,CREC-2015-09-17,,BILLS,Congressional Bills,421,114,HRES
CREC-2015-09-17-pt1-PgH6121,CREC-2015-09-17,,BILLS,Congressional Bills,3134,114,HR
CREC-2015-09-17-pt1-PgH6121,CREC-2015-09-17,,BILLS,Congressional Bills,3504,114,HR
CREC-2015-09-17-pt1-PgH6112,CREC-2015-09-17,,BILLS,Congressional Bills,420,114,HRES
CREC-2015-09-17-pt1-PgH6112,CREC-2015-09-17,,BILLS,Congressional Bills,420,114,HRES
CREC-2015-09-17-pt1-PgH6112,CREC-2015-09-17,,BILLS,Congressional Bills,421,114,HRES
CREC-2015-09-17-pt1-PgH6112,CREC-2015-09-17,,BILLS,Congressional Bills,758,114,HR
CREC-2015-09-17-pt1-PgH6122,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6122-2,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6123,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6122-3,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6123-2,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6123-3,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6123-4,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6123-5,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6124,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6123-6,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6124-2,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6124-3,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6124-4,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6124-5,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6124-6,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6125,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6125-3,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6125-2,CREC-2015-09-17,,BILLS,Congressional Bills,3134,114,HR
CREC-2015-09-17-pt1-PgH6125-2,CREC-2015-09-17,,BILLS,Congressional Bills,3134,114,HR
CREC-2015-09-17-pt1-PgH6125-4,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6125-5,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6125-6,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6126,CREC-2015-09-17,,BILLS,Congressional Bills,816,114,HR
CREC-2015-09-17-pt1-PgH6126,CREC-2015-09-17,,BILLS,Congressional Bills,3134,114,HR
CREC-2015-09-17-pt1-PgH6126,CREC-2015-09-17,,BILLS,Congressional Bills,3197,114,HR
CREC-2015-09-17-pt1-PgH6126,CREC-2015-09-17,,BILLS,Congressional Bills,3215,114,HR
CREC-2015-09-17-pt1-PgH6126-2,CREC-2015-09-17,,BILLS,Congressional Bills,2647,114,HR
CREC-2015-09-17-pt1-PgH6133-2,CREC-2015-09-17,,BILLS,Congressional Bills,1090,114,S
CREC-2015-09-17-pt1-PgH6133-2,CREC-2015-09-17,,BILLS,Congressional Bills,1580,114,S
CREC-2015-09-17-pt1-PgH6133,CREC-2015-09-17,,BILLS,Congressional Bills,719,114,HR
CREC-2015-09-17-pt1-PgH6133,CREC-2015-09-17,,BILLS,Congressional Bills,1090,114,S
CREC-2015-09-17-pt1-PgH6133,CREC-2015-09-17,,BILLS,Congressional Bills,1580,114,S
CREC-2015-09-17-pt1-PgH6130,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6133-3,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6134,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6134-2,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,424,114,HRES
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,425,114,HRES
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,426,114,HRES
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,427,114,HRES
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,428,114,HRES
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,429,114,HRES
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3531,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3532,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3533,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3534,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3535,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3536,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3537,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3538,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3539,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3540,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3541,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3542,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3543,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3544,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3545,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3546,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3547,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3548,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3549,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3550,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3551,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3552,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3553,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3554,114,HR
CREC-2015-09-17-pt1-PgH6135,CREC-2015-09-17,,BILLS,Congressional Bills,3555,114,HR
CREC-2015-09-17-pt1-PgH6137,CREC-2015-09-17,,,,,,
CREC-2015-09-17-pt1-PgH6137-2,CREC-2015-09-17,,BILLS,Congressional Bills,3531,114,HR
CREC-2015-09-17-pt1-PgH6137-3,CREC-2015-09-17,,BILLS,Congressional Bills,3532,114,HR
CREC-2015-09-17-pt1-PgH6137-4,CREC-2015-09-17,,BILLS,Congressional Bills,3533,114,HR
CREC-2015-09-17-pt1-PgH6137-5,CREC-2015-09-17,,BILLS,Congressional Bills,3534,114,HR
CREC-2015-09-17-pt1-PgH6137-6,CREC-2015-09-17,,BILLS,Congressional Bills,3535,114,HR
CREC-2015-09-17-pt1-PgH6137-7,CREC-2015-09-17,,BILLS,Congressional Bills,3536,114,HR
CREC-2015-09-17-pt1-PgH6137-8,CREC-2015-09-17,,BILLS,Congressional Bills,3537,114,HR
