granuleId,packageId,members,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2016-11-25-pt1-PgH6313-4,CREC-2016-11-25,,,,,,,,,,,,,,
CREC-2016-11-25-pt1-PgH-FrontMatter-4,CREC-2016-11-25,,,,,,,,,,,,,,
CREC-2016-11-25-pt1-PgH6313,CREC-2016-11-25,,,,,,,,,,,,,,
CREC-2016-11-25-pt1-PgH6313-5,CREC-2016-11-25,,,,,,,,,,,,,,
CREC-2016-11-25-pt1-PgH6313-6,CREC-2016-11-25,,,,,,,,,,,,,,
CREC-2016-11-25-pt1-PgH6313-3,CREC-2016-11-25,,,,,,,,,,,,,,
CREC-2016-11-25-pt1-PgH6313-2,CREC-2016-11-25,,,,,,,,,,,,,,
CREC-2016-11-25-pt1-PgH6313-7,CREC-2016-11-25,,,,,,,,,,,,,,
CREC-2016-11-25-pt1-PgH6314,CREC-2016-11-25,,,,,,,,,,,,,,
CREC-2016-11-25-pt1-PgS6503,CREC-2016-11-25,,,,,,,,,,,,,,
CREC-2016-11-25-pt1-PgS6503-2,CREC-2016-11-25,,,,,,,,,,,,,,
CREC-2016-11-25-pt1-PgE1527-3,CREC-2016-11-25,,8081,2043,SPEAKING,H,114,G000564,"Gibson, Christopher P.",NY,R,"Gibson, Christopher P.",Mr. Christopher Gibson,Mr. GIBSON,Christopher P. Gibson
CREC-2016-11-25-pt1-PgS-FrontMatter-2,CREC-2016-11-25,,,,,,,,,,,,,,
CREC-2016-11-25-pt1-PgS6503-3,CREC-2016-11-25,,,,,,,,,,,,,,
CREC-2016-11-25-pt1-PgD1061,CREC-2016-11-25,,,,,,,,,,,,,,
CREC-2016-11-25-pt1-PgE1527-2,CREC-2016-11-25,,8081,2043,SPEAKING,H,114,G000564,"Gibson, Christopher P.",NY,R,"Gibson, Christopher P.",Mr. Christopher Gibson,Mr. GIBSON,Christopher P. Gibson
CREC-2016-11-25-pt1-PgD1061-3,CREC-2016-11-25,,,,,,,,,,,,,,
CREC-2016-11-25-pt1-PgD1061-2,CREC-2016-11-25,,,,,,,,,,,,,,
CREC-2016-11-25-pt1-PgD1061-5,CREC-2016-11-25,,,,,,,,,,,,,,
CREC-2016-11-25-pt1-PgD1061-4,CREC-2016-11-25,,,,,,,,,,,,,,
CREC-2016-11-25-pt1-PgD1061-6,CREC-2016-11-25,,,,,,,,,,,,,,
