granuleId,packageId,collectionCode,collectionName,references,contents__number,contents__congress,contents__type
CREC-2016-11-25-pt1-PgH6313-4,CREC-2016-11-25,BILLS,Congressional Bills,,921,114,HRES
CREC-2016-11-25-pt1-PgH6313-4,CREC-2016-11-25,BILLS,Congressional Bills,,921,114,HRES
CREC-2016-11-25-pt1-PgH-FrontMatter-4,CREC-2016-11-25,,,,,,
CREC-2016-11-25-pt1-PgH6313,CREC-2016-11-25,,,,,,
CREC-2016-11-25-pt1-PgH6313-5,CREC-2016-11-25,,,,,,
CREC-2016-11-25-pt1-PgH6313-6,CREC-2016-11-25,BILLS,Congressional Bills,,921,114,HRES
CREC-2016-11-25-pt1-PgH6313-6,CREC-2016-11-25,BILLS,Congressional Bills,,921,114,HRES
CREC-2016-11-25-pt1-PgH6313-3,CREC-2016-11-25,,,,,,
CREC-2016-11-25-pt1-PgH6313-2,CREC-2016-11-25,,,,,,
CREC-2016-11-25-pt1-PgH6313-7,CREC-2016-11-25,,,,,,
CREC-2016-11-25-pt1-PgH6314,CREC-2016-11-25,BILLS,Congressional Bills,,346,114,HR
CREC-2016-11-25-pt1-PgH6314,CREC-2016-11-25,BILLS,Congressional Bills,,6382,114,HR
CREC-2016-11-25-pt1-PgS6503,CREC-2016-11-25,,,,,,
CREC-2016-11-25-pt1-PgS6503-2,CREC-2016-11-25,,,,,,
CREC-2016-11-25-pt1-PgE1527-3,CREC-2016-11-25,,,,,,
CREC-2016-11-25-pt1-PgS-FrontMatter-2,CREC-2016-11-25,,,,,,
CREC-2016-11-25-pt1-PgS6503-3,CREC-2016-11-25,,,,,,
CREC-2016-11-25-pt1-PgD1061,CREC-2016-11-25,,,,,,
CREC-2016-11-25-pt1-PgE1527-2,CREC-2016-11-25,,,,,,
CREC-2016-11-25-pt1-PgD1061-3,CREC-2016-11-25,,,,,,
CREC-2016-11-25-pt1-PgD1061-2,CREC-2016-11-25,,,,,,
CREC-2016-11-25-pt1-PgD1061-5,CREC-2016-11-25,,,,,,
CREC-2016-11-25-pt1-PgD1061-4,CREC-2016-11-25,,,,,,
CREC-2016-11-25-pt1-PgD1061-6,CREC-2016-11-25,,,,,,
