granuleId,packageId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-07-13-pt1-PgH5092-2,CREC-2015-07-13,SPEAKING,H,114,P000592,"Poe, Ted",TX,R,,"Poe, Ted",Mr. POE of Texas,Ted Poe,
CREC-2015-07-13-pt1-PgH5091,CREC-2015-07-13,,,,,,,,,,,,
CREC-2015-07-13-pt1-PgH5091-2,CREC-2015-07-13,,,,,,,,,,,,
CREC-2015-07-13-pt1-PgH5091-5,CREC-2015-07-13,SPEAKING,H,114,F000450,"Foxx, Virginia",NC,R,,"Foxx, Virginia",Ms. FOXX,Virginia Foxx,
CREC-2015-07-13-pt1-PgH-FrontMatter-2,CREC-2015-07-13,,,,,,,,,,,,
CREC-2015-07-13-pt1-PgH5091-4,CREC-2015-07-13,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2015-07-13-pt1-PgH5092,CREC-2015-07-13,SPEAKING,H,114,N000147,"Norton, Eleanor Holmes",DC,D,,"Norton, Eleanor Holmes",Ms. NORTON,Eleanor Holmes Norton,Eleanor Norton
CREC-2015-07-13-pt1-PgH5091-3,CREC-2015-07-13,,,,,,,,,,,,
CREC-2015-07-13-pt1-PgH5093,CREC-2015-07-13,SPEAKING,H,114,L000578,"LaMalfa, Doug",CA,R,,"LaMalfa, Doug",Mr. LaMALFA,Doug LaMalfa,
CREC-2015-07-13-pt1-PgH5093-5,CREC-2015-07-13,,,,,,,,,,,,
CREC-2015-07-13-pt1-PgH5093-4,CREC-2015-07-13,,,,,,,,,,,,
CREC-2015-07-13-pt1-PgH5093-3,CREC-2015-07-13,,,,,,,,,,,,
CREC-2015-07-13-pt1-PgH5093-2,CREC-2015-07-13,,,,,,,,,,,,
CREC-2015-07-13-pt1-PgH5094,CREC-2015-07-13,,,,,,,,,,,,
CREC-2015-07-13-pt1-PgH5094-3,CREC-2015-07-13,SPEAKING,H,114,M001166,"McNerney, Jerry",CA,D,,"McNerney, Jerry",Mr. McNERNEY,Jerry McNerney,
CREC-2015-07-13-pt1-PgH5094-2,CREC-2015-07-13,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,,"Wilson, Joe",Mr. WILSON of South Carolina,Joe Wilson,
CREC-2015-07-13-pt1-PgH5094-7,CREC-2015-07-13,SPEAKING,H,114,B001248,"Burgess, Michael C.",TX,R,,"Burgess, Michael C.",Mr. BURGESS,Michael C. Burgess,Michael Burgess
CREC-2015-07-13-pt1-PgH5094-5,CREC-2015-07-13,SPEAKING,H,114,E000294,"Emmer, Tom",MN,R,,"Emmer, Tom",Mr. EMMER of Minnesota,Tom Emmer,
