granuleId,packageId,date,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2016-12-20-pt1-PgH7619,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgH7619-2,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgH-FrontMatter,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgH7619-4,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgH7619-3,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgH7619-5,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgH7619-7,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgH7619-6,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgH7619-8,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgH7621,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgH7622,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgH7622-2,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgH7621-2,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgH7622-3,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgH7622-4,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgH7622-5,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgH7622-6,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgH7622-7,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgH7622-9,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgH7622-8,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgS-FrontMatter-10,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgS7173,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgS7173-2,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgS7173-3,CREC-2016-12-20,2016-12-20,,,,,,,,,,,,,,
CREC-2016-12-20-pt1-PgE1727-2,CREC-2016-12-20,2016-12-20,,2293,SPEAKING,H,114,D000625,"Donovan, Daniel M., Jr.",NY,R,,"Donovan, Daniel M., Jr.",Mr. Daniel Donovan Jr.,Mr. DONOVAN,"Daniel M. Donovan, Jr."
CREC-2016-12-20-pt1-PgE1727-4,CREC-2016-12-20,2016-12-20,,2152,SPEAKING,H,114,W000815,"Wenstrup, Brad R.",OH,R,,"Wenstrup, Brad R.",Mr. Brad Wenstrup,Mr. WENSTRUP,Brad R. Wenstrup
CREC-2016-12-20-pt1-PgE1727-3,CREC-2016-12-20,2016-12-20,,729,SPEAKING,H,114,M000087,"Maloney, Carolyn B.",NY,D,8075,"Maloney, Carolyn B.",Carolyn Maloney,Mrs. CAROLYN B. MALONEY of New York,Carolyn B. Maloney
CREC-2016-12-20-pt1-PgE1727-5,CREC-2016-12-20,2016-12-20,,511,SPEAKING,H,114,H000324,"Hastings, Alcee L.",FL,D,7895,"Hastings, Alcee L.",Alcee Hastings,Mr. HASTINGS,Alcee L. Hastings
CREC-2016-12-20-pt1-PgE1728,CREC-2016-12-20,2016-12-20,,2237,SPEAKING,H,114,H001071,"Hice, Jody B.",GA,R,,"Hice, Jody B.",Mr. Jody Hice,Mr. JODY B. HICE of Georgia,Jody B. Hice
