granuleId,packageId,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-10-09-pt1-PgH6939-3,CREC-2015-10-09,,,,,,,,,,,,,,
CREC-2015-10-09-pt1-PgH6939-5,CREC-2015-10-09,,,,,,,,,,,,,,
CREC-2015-10-09-pt1-PgH6939,CREC-2015-10-09,,,,,,,,,,,,,,
CREC-2015-10-09-pt1-PgH6939-4,CREC-2015-10-09,,2170,SPEAKING,H,114,H001064,"Heck, Denny",WA,D,,"Heck, Denny",Mr. HECK of Washington,Denny Heck,
CREC-2015-10-09-pt1-PgH6939-2,CREC-2015-10-09,,,,,,,,,,,,,,
CREC-2015-10-09-pt1-PgH6939-7,CREC-2015-10-09,,2244,SPEAKING,H,114,A000374,"Abraham, Ralph Lee",LA,R,,"Abraham, Ralph Lee",Mr. ABRAHAM,Ralph Lee Abraham,Mr. Ralph Abraham
CREC-2015-10-09-pt1-PgH-FrontMatter-4,CREC-2015-10-09,,,,,,,,,,,,,,
CREC-2015-10-09-pt1-PgH6939-6,CREC-2015-10-09,,,,,,,,,,,,,,
CREC-2015-10-09-pt1-PgH6939-8,CREC-2015-10-09,,2240,SPEAKING,H,114,T000473,"Takai, Mark",HI,D,,"Takai, Mark",Mr. TAKAI,Mark Takai,
CREC-2015-10-09-pt1-PgH6940-4,CREC-2015-10-09,,2127,SPEAKING,H,114,B001286,"Bustos, Cheri",IL,D,,"Bustos, Cheri",Mrs. BUSTOS,Cheri Bustos,
CREC-2015-10-09-pt1-PgH6940-2,CREC-2015-10-09,,1888,SPEAKING,H,114,F000454,"Foster, Bill",IL,D,7355,"Foster, Bill",Mr. FOSTER,Bill Foster,
CREC-2015-10-09-pt1-PgH6940-3,CREC-2015-10-09,,2100,SPEAKING,H,114,L000578,"LaMalfa, Doug",CA,R,,"LaMalfa, Doug",Mr. LaMALFA,Doug LaMalfa,
CREC-2015-10-09-pt1-PgH6940-6,CREC-2015-10-09,,1857,SPEAKING,H,114,E000288,"Ellison, Keith",MN,D,8005,"Ellison, Keith",Mr. ELLISON,Keith Ellison,
CREC-2015-10-09-pt1-PgH6940-5,CREC-2015-10-09,,2199,SPEAKING,H,114,J000296,"Jolly, David W.",FL,R,,"Jolly, David W.",Mr. JOLLY,David W. Jolly,Mr. David Jolly
CREC-2015-10-09-pt1-PgH6940,CREC-2015-10-09,,2237,SPEAKING,H,114,H001071,"Hice, Jody B.",GA,R,,"Hice, Jody B.",Mr. JODY B. HICE of Georgia,Jody B. Hice,Mr. Jody Hice
CREC-2015-10-09-pt1-PgH6941,CREC-2015-10-09,,2260,SPEAKING,H,114,H001070,"Hardy, Cresent",NV,R,,"Hardy, Cresent",Mr. HARDY,Cresent Hardy,
CREC-2015-10-09-pt1-PgH6941-2,CREC-2015-10-09,,,,,,,,,,,,,,
CREC-2015-10-09-pt1-PgH6941-3,CREC-2015-10-09,,,,,,,,,,,,,,
CREC-2015-10-09-pt1-PgH6965-3,CREC-2015-10-09,,2223,SPEAKING,H,114,H001072,"Hill, J. French",AR,R,,"Hill, J. French",Mr. HILL,J. French Hill,
