granuleId,packageId,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-06-03-pt1-PgH3459-4,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3459-2,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3459-6,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH-FrontMatter,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3459-3,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3459,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3459-5,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3459-7,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3460,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3460-2,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3460-3,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3461,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3462-2,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3462,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3460-4,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3461-2,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3462-3,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3462-5,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3462-4,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3462-7,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3462-6,CREC-2016-06-03,,,,,,,,,,,,,,
CREC-2016-06-03-pt1-PgH3462-8,CREC-2016-06-03,,,,,,,,,,,,,,
