granuleId,packageId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-12-09-pt1-PgS6931-7,CREC-2016-12-09,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-12-09-pt1-PgS6931-2,CREC-2016-12-09,,,,,,,,,,,,
CREC-2016-12-09-pt1-PgS6931-3,CREC-2016-12-09,,,,,,,,,,,,
CREC-2016-12-09-pt1-PgS-FrontMatter-2,CREC-2016-12-09,,,,,,,,,,,,
CREC-2016-12-09-pt1-PgS6931-4,CREC-2016-12-09,,,,,,,,,,,,
CREC-2016-12-09-pt1-PgS6931-6,CREC-2016-12-09,,,,,,,,,,,,
CREC-2016-12-09-pt1-PgS6931-8,CREC-2016-12-09,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-12-09-pt1-PgS6931-5,CREC-2016-12-09,,,,,,,,,,,,
CREC-2016-12-09-pt1-PgS6932-2,CREC-2016-12-09,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,,"Reid, Harry",Mr. REID,Harry Reid,Harry M. Reid
CREC-2016-12-09-pt1-PgS6932,CREC-2016-12-09,,,,,,,,,,,,
CREC-2016-12-09-pt1-PgS6932-3,CREC-2016-12-09,,,,,,,,,,,,
CREC-2016-12-09-pt1-PgS6995-2,CREC-2016-12-09,SPEAKING,S,114,B000711,"Boxer, Barbara",CA,D,,"Boxer, Barbara",Mrs. BOXER,Barbara Boxer,
CREC-2016-12-09-pt1-PgS6995-2,CREC-2016-12-09,SPEAKING,S,114,C000127,"Cantwell, Maria",WA,D,,"Cantwell, Maria",Ms. CANTWELL,Maria Cantwell,
CREC-2016-12-09-pt1-PgS6995-2,CREC-2016-12-09,SPEAKING,S,114,M001176,"Merkley, Jeff",OR,D,,"Merkley, Jeff",Mr. MERKLEY,Jeff Merkley,
CREC-2016-12-09-pt1-PgS6995-2,CREC-2016-12-09,SPEAKING,S,114,W000779,"Wyden, Ron",OR,D,,"Wyden, Ron",Mr. WYDEN,Ron Wyden,
CREC-2016-12-09-pt1-PgS6995,CREC-2016-12-09,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,,"McConnell, Mitch",Mr. McCONNELL,Mitch McConnell,
CREC-2016-12-09-pt1-PgS6995,CREC-2016-12-09,SPEAKING,S,114,B000711,"Boxer, Barbara",CA,D,,"Boxer, Barbara",Mrs. BOXER,Barbara Boxer,
CREC-2016-12-09-pt1-PgS6998,CREC-2016-12-09,SPEAKING,S,114,I000024,"Inhofe, James M.",OK,R,,"Inhofe, James M.",Mr. INHOFE,James M. Inhofe,Jim Inhofe
CREC-2016-12-09-pt1-PgS7000,CREC-2016-12-09,SPEAKING,S,114,W000779,"Wyden, Ron",OR,D,,"Wyden, Ron",Mr. WYDEN,Ron Wyden,
CREC-2016-12-09-pt1-PgS7000,CREC-2016-12-09,SPEAKING,S,114,B000711,"Boxer, Barbara",CA,D,,"Boxer, Barbara",Mrs. BOXER,Barbara Boxer,
CREC-2016-12-09-pt1-PgS7000,CREC-2016-12-09,SPEAKING,S,114,M001111,"Murray, Patty",WA,D,,"Murray, Patty",Mrs. MURRAY,Patty Murray,
CREC-2016-12-09-pt1-PgS7000,CREC-2016-12-09,SPEAKING,S,114,I000024,"Inhofe, James M.",OK,R,,"Inhofe, James M.",Mr. INHOFE,James M. Inhofe,Jim Inhofe
CREC-2016-12-09-pt1-PgS7000,CREC-2016-12-09,SPEAKING,S,114,S000770,"Stabenow, Debbie",MI,D,,"Stabenow, Debbie",Ms. STABENOW,Debbie Stabenow,
CREC-2016-12-09-pt1-PgS7000,CREC-2016-12-09,SPEAKING,S,114,C001056,"Cornyn, John",TX,R,,"Cornyn, John",Mr. CORNYN,John Cornyn,
CREC-2016-12-09-pt1-PgS7000,CREC-2016-12-09,SPEAKING,S,114,R000584,"Risch, James E.",ID,R,,"Risch, James E.",Mr. RISCH,James E. Risch,James Risch
CREC-2016-12-09-pt1-PgS6932-4,CREC-2016-12-09,SPEAKING,S,114,D000563,"Durbin, Richard J.",IL,D,,"Durbin, Richard J.",Mr. DURBIN,Richard J. Durbin,Richard Durbin
CREC-2016-12-09-pt1-PgS6932-4,CREC-2016-12-09,SPEAKING,S,114,D000618,"Daines, Steve",MT,R,,"Daines, Steve",Mr. DAINES,Steve Daines,
CREC-2016-12-09-pt1-PgS6932-4,CREC-2016-12-09,SPEAKING,S,114,L000174,"Leahy, Patrick J.",VT,D,,"Leahy, Patrick J.",Mr. LEAHY,Patrick J. Leahy,Patrick Leahy
CREC-2016-12-09-pt1-PgS6932-4,CREC-2016-12-09,SPEAKING,S,114,K000367,"Klobuchar, Amy",MN,D,,"Klobuchar, Amy",Ms. KLOBUCHAR,Amy Klobuchar,
CREC-2016-12-09-pt1-PgS6932-4,CREC-2016-12-09,SPEAKING,S,114,G000386,"Grassley, Chuck",IA,R,,"Grassley, Chuck",Mr. GRASSLEY,Chuck Grassley,
CREC-2016-12-09-pt1-PgS6932-4,CREC-2016-12-09,SPEAKING,S,114,H001069,"Heitkamp, Heidi",ND,D,,"Heitkamp, Heidi",Ms. HEITKAMP,Heidi Heitkamp,Heidi Heitkamp
