granuleId,packageId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-04-20-pt1-PgH1856-2,CREC-2016-04-20,SPEAKING,H,114,R000435,"Ros-Lehtinen, Ileana",FL,R,,"Ros-Lehtinen, Ileana",Ms. ROS-LEHTINEN,Ileana Ros-Lehtinen,
CREC-2016-04-20-pt1-PgH-FrontMatter,CREC-2016-04-20,,,,,,,,,,,,
CREC-2016-04-20-pt1-PgH1855-4,CREC-2016-04-20,SPEAKING,H,114,B001274,"Brooks, Mo",AL,R,,"Brooks, Mo",Mr. BROOKS of Alabama,Mo Brooks,
CREC-2016-04-20-pt1-PgH1855,CREC-2016-04-20,,,,,,,,,,,,
CREC-2016-04-20-pt1-PgH1856,CREC-2016-04-20,SPEAKING,H,114,S001150,"Schiff, Adam B.",CA,D,,"Schiff, Adam B.",Mr. SCHIFF,Adam B. Schiff,Adam Schiff
CREC-2016-04-20-pt1-PgH1855-3,CREC-2016-04-20,,,,,,,,,,,,
CREC-2016-04-20-pt1-PgH1857,CREC-2016-04-20,SPEAKING,H,114,Q000023,"Quigley, Mike",IL,D,,"Quigley, Mike",Mr. QUIGLEY,Mike Quigley,
CREC-2016-04-20-pt1-PgH1855-2,CREC-2016-04-20,,,,,,,,,,,,
CREC-2016-04-20-pt1-PgH1858,CREC-2016-04-20,SPEAKING,H,114,M000312,"McGovern, James P.",MA,D,,"McGovern, James P.",Mr. McGOVERN,James P. McGovern,James McGovern
CREC-2016-04-20-pt1-PgH1857-2,CREC-2016-04-20,SPEAKING,H,114,E000294,"Emmer, Tom",MN,R,,"Emmer, Tom",Mr. EMMER of Minnesota,Tom Emmer,
CREC-2016-04-20-pt1-PgH1860-2,CREC-2016-04-20,,,,,,,,,,,,
CREC-2016-04-20-pt1-PgH1859,CREC-2016-04-20,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,,"Thompson, Glenn",Mr. THOMPSON of Pennsylvania,Glenn Thompson,
CREC-2016-04-20-pt1-PgH1858-2,CREC-2016-04-20,SPEAKING,H,114,L000583,"Loudermilk, Barry",GA,R,,"Loudermilk, Barry",Mr. LOUDERMILK,Barry Loudermilk,
CREC-2016-04-20-pt1-PgH1859-2,CREC-2016-04-20,SPEAKING,H,114,L000563,"Lipinski, Daniel",IL,D,,"Lipinski, Daniel",Mr. LIPINSKI,Daniel Lipinski,Daniel William Lipinski
CREC-2016-04-20-pt1-PgH1860-3,CREC-2016-04-20,,,,,,,,,,,,
CREC-2016-04-20-pt1-PgH1860,CREC-2016-04-20,SPEAKING,H,114,C001059,"Costa, Jim",CA,D,,"Costa, Jim",Mr. COSTA,Jim Costa,
CREC-2016-04-20-pt1-PgH1860-4,CREC-2016-04-20,,,,,,,,,,,,
CREC-2016-04-20-pt1-PgH1860-5,CREC-2016-04-20,,,,,,,,,,,,
CREC-2016-04-20-pt1-PgH1860-6,CREC-2016-04-20,,,,,,,,,,,,
CREC-2016-04-20-pt1-PgH1860-7,CREC-2016-04-20,SPEAKING,H,114,R000585,"Reed, Tom",NY,R,,"Reed, Tom",Mr. REED,Tom Reed,
CREC-2016-04-20-pt1-PgH1860-9,CREC-2016-04-20,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,,"Wilson, Joe",Mr. WILSON of South Carolina,Joe Wilson,
CREC-2016-04-20-pt1-PgH1860-8,CREC-2016-04-20,,,,,,,,,,,,
CREC-2016-04-20-pt1-PgH1861-2,CREC-2016-04-20,SPEAKING,H,114,D000613,"Dold, Robert J.",IL,R,,"Dold, Robert J.",Mr. DOLD,Robert J. Dold,Robert Dold
CREC-2016-04-20-pt1-PgH1861,CREC-2016-04-20,SPEAKING,H,114,P000608,"Peters, Scott H.",CA,D,,"Peters, Scott H.",Mr. PETERS,Scott H. Peters,Scott Peters
CREC-2016-04-20-pt1-PgH1861-3,CREC-2016-04-20,SPEAKING,H,114,H001063,"Hahn, Janice",CA,D,,"Hahn, Janice",Ms. HAHN,Janice Hahn,
CREC-2016-04-20-pt1-PgH1861-5,CREC-2016-04-20,SPEAKING,H,114,C001084,"Cicilline, David N.",RI,D,,"Cicilline, David N.",Mr. CICILLINE,David N. Cicilline,David Cicilline
CREC-2016-04-20-pt1-PgH1861-4,CREC-2016-04-20,SPEAKING,H,114,G000577,"Graves, Garret",LA,R,,"Graves, Garret",Mr. GRAVES of Louisiana,Garret Graves,
CREC-2016-04-20-pt1-PgH1861-6,CREC-2016-04-20,SPEAKING,H,114,H001058,"Huizenga, Bill",MI,R,,"Huizenga, Bill",Mr. HUIZENGA of Michigan,Bill Huizenga,
CREC-2016-04-20-pt1-PgH1862,CREC-2016-04-20,SPEAKING,H,114,M000087,"Maloney, Carolyn B.",NY,D,,"Maloney, Carolyn B.",Mrs. CAROLYN B. MALONEY of New York,Carolyn B. Maloney,Carolyn Maloney
CREC-2016-04-20-pt1-PgH1862-2,CREC-2016-04-20,SPEAKING,H,114,M001197,"McSally, Martha",AZ,R,,"McSally, Martha",Ms. McSALLY,Martha McSally,
CREC-2016-04-20-pt1-PgH1862-3,CREC-2016-04-20,SPEAKING,H,114,M001166,"McNerney, Jerry",CA,D,,"McNerney, Jerry",Mr. McNERNEY,Jerry McNerney,
CREC-2016-04-20-pt1-PgH1862-4,CREC-2016-04-20,SPEAKING,H,114,W000821,"Westerman, Bruce",AR,R,,"Westerman, Bruce",Mr. WESTERMAN,Bruce Westerman,
CREC-2016-04-20-pt1-PgH1862-5,CREC-2016-04-20,SPEAKING,H,114,J000294,"Jeffries, Hakeem S.",NY,D,,"Jeffries, Hakeem S.",Mr. JEFFRIES,Hakeem S. Jeffries,Hakeem Jeffries
CREC-2016-04-20-pt1-PgH1862-6,CREC-2016-04-20,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2016-04-20-pt1-PgH1863,CREC-2016-04-20,,,,,,,,,,,,
CREC-2016-04-20-pt1-PgH1863-2,CREC-2016-04-20,SPEAKING,H,114,S001195,"Smith, Jason",MO,R,,"Smith, Jason",Mr. SMITH of Missouri,Jason Smith,
CREC-2016-04-20-pt1-PgH1863-2,CREC-2016-04-20,SPEAKING,H,114,L000263,"Levin, Sander M.",MI,D,,"Levin, Sander M.",Mr. LEVIN,Sander M. Levin,Sander Levin
CREC-2016-04-20-pt1-PgH1863-2,CREC-2016-04-20,SPEAKING,H,114,S001176,"Scalise, Steve",LA,R,,"Scalise, Steve",Mr. SCALISE,Steve Scalise,
CREC-2016-04-20-pt1-PgH1863-2,CREC-2016-04-20,SPEAKING,H,114,J000290,"Jenkins, Lynn",KS,R,,"Jenkins, Lynn",Ms. JENKINS of Kansas,Lynn Jenkins,
