granuleId,packageId,date,members,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2016-06-15-pt1-PgH3819-2,CREC-2016-06-15,2016-06-15,,,,,,,,,,,,
CREC-2016-06-15-pt1-PgH3819,CREC-2016-06-15,2016-06-15,,,,,,,,,,,,
CREC-2016-06-15-pt1-PgH-FrontMatter-2,CREC-2016-06-15,2016-06-15,,,,,,,,,,,,
CREC-2016-06-15-pt1-PgH3819-4,CREC-2016-06-15,2016-06-15,,SPEAKING,H,114,W000796,"Westmoreland, Lynn A.",GA,R,"Westmoreland, Lynn A.",Lynn Westmoreland,Mr. WESTMORELAND,Lynn A. Westmoreland
CREC-2016-06-15-pt1-PgH3819-5,CREC-2016-06-15,2016-06-15,,SPEAKING,H,114,S001157,"Scott, David",GA,D,"Scott, David",,Mr. DAVID SCOTT of Georgia,David Scott
CREC-2016-06-15-pt1-PgH3820,CREC-2016-06-15,2016-06-15,,SPEAKING,H,114,L000583,"Loudermilk, Barry",GA,R,"Loudermilk, Barry",,Mr. LOUDERMILK,Barry Loudermilk
CREC-2016-06-15-pt1-PgH3820-2,CREC-2016-06-15,2016-06-15,,SPEAKING,H,114,L000287,"Lewis, John",GA,D,"Lewis, John",,Mr. LEWIS,John Lewis
CREC-2016-06-15-pt1-PgH3819-3,CREC-2016-06-15,2016-06-15,,,,,,,,,,,,
CREC-2016-06-15-pt1-PgH3820-3,CREC-2016-06-15,2016-06-15,,SPEAKING,H,114,G000563,"Gibbs, Bob",OH,R,"Gibbs, Bob",,Mr. GIBBS,Bob Gibbs
CREC-2016-06-15-pt1-PgH3821-2,CREC-2016-06-15,2016-06-15,,SPEAKING,H,114,Z000017,"Zeldin, Lee M.",NY,R,"Zeldin, Lee M.",Lee Zeldin,Mr. ZELDIN,Lee M. Zeldin
CREC-2016-06-15-pt1-PgH3821,CREC-2016-06-15,2016-06-15,,SPEAKING,H,114,D000096,"Davis, Danny K.",IL,D,"Davis, Danny K.",Danny Davis,Mr. DANNY K. DAVIS of Illinois,Danny K. Davis
CREC-2016-06-15-pt1-PgH3822,CREC-2016-06-15,2016-06-15,,SPEAKING,H,114,E000293,"Esty, Elizabeth H.",CT,D,"Esty, Elizabeth H.",Elizabeth Esty,Ms. ESTY,Elizabeth H. Esty
CREC-2016-06-15-pt1-PgH3823-2,CREC-2016-06-15,2016-06-15,,SPEAKING,H,114,C001107,"Curbelo, Carlos",FL,R,"Curbelo, Carlos",,Mr. CURBELO of Florida,Carlos Curbelo
CREC-2016-06-15-pt1-PgH3822-2,CREC-2016-06-15,2016-06-15,,SPEAKING,H,114,W000820,"Walters, Mimi",CA,R,"Walters, Mimi",,Mrs. MIMI WALTERS of California,Mimi Walters
CREC-2016-06-15-pt1-PgH3823,CREC-2016-06-15,2016-06-15,,SPEAKING,H,114,J000288,"Johnson, Henry C. ""Hank""",GA,D,"Johnson, Henry C. ""Hank""",Henry Johnson,Mr. JOHNSON of Georgia,"Henry C. ""Hank"" Johnson, Jr."
CREC-2016-06-15-pt1-PgH3823,CREC-2016-06-15,2016-06-15,,SPEAKING,H,114,J000288,"Johnson, Henry C. ""Hank""",GA,D,"Johnson, Henry C. ""Hank""","Henry C. ""Hank"" Johnson",Mr. JOHNSON of Georgia,"Henry C. ""Hank"" Johnson, Jr."
CREC-2016-06-15-pt1-PgH3823-3,CREC-2016-06-15,2016-06-15,,SPEAKING,H,114,F000451,"Fitzpatrick, Michael G.",PA,R,"Fitzpatrick, Michael G.",Michael Fitzpatrick,Mr. FITZPATRICK,Michael G. Fitzpatrick
CREC-2016-06-15-pt1-PgH3824-2,CREC-2016-06-15,2016-06-15,,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,"Jackson Lee, Sheila",,Ms. JACKSON LEE,Sheila Jackson Lee
CREC-2016-06-15-pt1-PgH3824,CREC-2016-06-15,2016-06-15,,SPEAKING,H,114,F000450,"Foxx, Virginia",NC,R,"Foxx, Virginia",,Ms. FOXX,Virginia Foxx
CREC-2016-06-15-pt1-PgH3833,CREC-2016-06-15,2016-06-15,,,,,,,,,,,,
CREC-2016-06-15-pt1-PgH3824-3,CREC-2016-06-15,2016-06-15,,SPEAKING,H,114,D000533,"Duncan, John J., Jr.",TN,R,"Duncan, John J., Jr.",John Duncan,Mr. DUNCAN of Tennessee,"John J. Duncan, Jr."
CREC-2016-06-15-pt1-PgH3824-3,CREC-2016-06-15,2016-06-15,,SPEAKING,H,114,D000533,"Duncan, John J., Jr.",TN,R,"Duncan, John J., Jr.",John J. Duncan,Mr. DUNCAN of Tennessee,"John J. Duncan, Jr."
CREC-2016-06-15-pt1-PgH3833-2,CREC-2016-06-15,2016-06-15,,,,,,,,,,,,
CREC-2016-06-15-pt1-PgH3833-3,CREC-2016-06-15,2016-06-15,,,,,,,,,,,,
CREC-2016-06-15-pt1-PgH3825,CREC-2016-06-15,2016-06-15,,SPEAKING,H,114,,,,,,,Mr. FROST,
CREC-2016-06-15-pt1-PgH3825,CREC-2016-06-15,2016-06-15,,SPEAKING,H,114,R000570,"Ryan, Paul D.",WI,R,"Ryan, Paul D.",Paul Ryan,Mr. RYAN of Wisconsin,Paul D. Ryan
