effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high,odds_ratio,or_lower,or_upper,sig,model,method
fixed,(Intercept),-0.4924508006795327,0.22360570012879646,-2.2023177423289386,0.027642871778528654,-0.930709919669837,-0.05419168168922839,0.6111268073460666,0.3942737083330383,0.9472505185192964,*,C,glmer_crossed
fixed,org_age,-0.0022662548919859817,0.0017860029566146168,-1.2688976149746618,0.20447758308894148,-0.005766756363232683,0.0012342465792607193,0.9977363111248496,0.9942498394595635,1.0012350085750346,,C,glmer_crossed
fixed,log_lobbying,0.05568525706270792,0.018600400834440468,2.9937665084937954,0.0027555673319394286,0.019229141329195842,0.09214137279621999,1.0572648647141245,1.0194152120135558,1.0965198291980285,**,C,glmer_crossed
fixed,policy_scope,0.06376513561562754,0.029409942249260135,2.1681489570837793,0.030147354959213685,0.006122708019674773,0.1214075632115803,1.0658420410277942,1.0061414901092727,1.1290849921107182,*,C,glmer_crossed
fixed,is_single_issue,0.2837497675506909,0.25523832078760594,1.1117051964419187,0.2662649248210067,-0.21650814866749757,0.7840076837688794,1.328100555314084,0.8053259725623568,2.1902324588059927,,C,glmer_crossed
fixed,is_labor,0.3733914510658346,0.3034139709858621,1.23063367798325,0.21845990339515545,-0.22128900447273592,0.9680719066044051,1.452652871064103,0.801485014061625,2.632863156251766,,C,glmer_crossed
fixed,is_membership_org,-0.29314157596768753,0.14675238916426459,-1.997525066795096,0.04576817420788516,-0.5807709733748521,-0.00551217856052294,0.7459165293669254,0.5594668661911805,0.9945029856203671,*,C,glmer_crossed
fixed,(Intercept),-0.4691518235548464,0.20595796569090766,-2.277900842441453,0.02273248608481421,-0.8728220186381614,-0.06548162847153138,0.6255326053627416,0.4177709268199422,0.9366162536737372,*,A,glmer_crossed
fixed,salience_catmedium,0.09334745774455731,0.072289601152769,1.2912985582433485,0.19660017038866912,-0.04833755697163507,0.2350324724607497,1.0978431231015975,0.9528121044189424,1.2649498441001419,,A,glmer_crossed
fixed,salience_cathigh,-0.17599601585330435,0.08689591484168552,-2.025365820406507,0.04282981441992623,-0.3463088793466675,-0.005683152359941213,0.8386213245207971,0.7072939848588781,0.99433296620123,*,A,glmer_crossed
fixed,is_democrat,0.2737772801222548,0.05646518623841371,4.848603154628434,1.2433387150695723e-6,0.16310754871461725,0.3844470115298923,1.3149219103763918,1.1771632852789748,1.4688018663257416,***,A,glmer_crossed
fixed,is_membership_org,-0.09395185112661336,0.13011309017479702,-0.7220783934990416,0.47024628136287755,-0.34896882178642785,0.16106511953320113,0.9103265923854097,0.7054151235104754,1.1747614662414105,,A,glmer_crossed
fixed,is_single_issue,0.431431804054993,0.2210201082565709,1.9520025008501305,0.050937907699152414,-0.001759647987029711,0.8646232560970157,1.539460151593656,0.9982418992858045,2.3741114854428993,,A,glmer_crossed
fixed,is_labor,0.3623361339291254,0.3001687026922429,1.2071083050274618,0.2273904369148133,-0.22598371263378164,0.9506559804920325,1.4366817782980104,0.7977310944983443,2.587406390860971,,A,glmer_crossed
fixed,(Intercept),0.365727661584451,0.33737626749367783,1.0840349390945363,0.2783493077024858,-0.29551767194170875,1.0269729951106108,1.4415625963172065,0.7441462640975156,2.7925998145285096,,B,glmer_crossed
fixed,terms_served_before,-0.026108732014322462,0.007605905880991826,-3.432691966327334,5.976206473839248e-4,-0.04101603361086783,-0.011201430417777096,0.9742291539512342,0.9598137405444039,0.9888610720140324,***,B,glmer_crossed
fixed,up_for_reelection,-0.20218356071124158,0.06938199933333312,-2.914063628231404,0.003567571844765847,-0.3381697805799565,-0.06619734084252665,0.8169449551810861,0.7130742114671849,0.9359461456650084,**,B,glmer_crossed
fixed,policy_overlap,0.7098814388117225,0.24559921839079754,2.890405936399028,0.0038474465307674005,0.22851581613457211,1.1912470614888728,2.0337501205212734,1.2567334016393141,3.2911829568029387,**,B,glmer_crossed
fixed,is_democrat,0.14158049504405518,0.06377751491190564,2.2199123819674837,0.02642471583877109,0.016578862793253907,0.2665821272948564,1.152093238324417,1.0167170547713722,1.3054948016892605,*,B,glmer_crossed
fixed,is_single_issue,0.42796668401488774,0.23441200779312998,1.8257029067920911,0.06789502510654236,-0.03147240880336938,0.8874057768331449,1.5341349688983759,0.9690176924425897,2.428820568656707,,B,glmer_crossed
fixed,is_labor,0.7688669952013596,0.33253010396860694,2.312172600390928,0.0207681735766268,0.11711996764753041,1.4206140227551889,2.157320613977876,1.1242542957436799,4.139661506399046,*,B,glmer_crossed
fixed,is_membership_org,-0.25009448460610634,0.1408159198323255,-1.7760384259386488,0.07572658385967194,-0.5260886159273438,0.02589964671513112,0.7787272018623815,0.590911738169687,1.0262379569557223,,B,glmer_crossed
fixed,log_lobbying,0.04348695702468123,0.018465987859137563,2.354975935022208,0.018523905289349947,0.007294285881817721,0.07967962816754473,1.04444637153494,1.0073209539872419,1.0829400685993453,*,B,glmer_crossed
fixed,log_bills_sponsored,-0.1659863750319983,0.02670127856628225,-6.216420484133746,5.086239401322444e-10,-0.21831991936308281,-0.11365283070091382,0.8470577752458596,0.8038682275135108,0.8925677742281533,***,B,glmer_crossed
