granuleId,packageId,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-07-11-pt1-PgH4577-5,CREC-2016-07-11,7840,1205,SPEAKING,H,114,W000187,"Waters, Maxine",CA,D,,"Waters, Maxine",Ms. MAXINE WATERS of California,Maxine Waters,
CREC-2016-07-11-pt1-PgH4579,CREC-2016-07-11,7806,1593,SPEAKING,H,114,T000460,"Thompson, Mike",CA,D,,"Thompson, Mike",Mr. THOMPSON of California,Mike Thompson,
CREC-2016-07-11-pt1-PgH-FrontMatter,CREC-2016-07-11,,,,,,,,,,,,,,
CREC-2016-07-11-pt1-PgH4578,CREC-2016-07-11,7816,1832,SPEAKING,H,114,M001166,"McNerney, Jerry",CA,D,,"McNerney, Jerry",Mr. McNERNEY,Jerry McNerney,
CREC-2016-07-11-pt1-PgH4577,CREC-2016-07-11,,,,,,,,,,,,,,
CREC-2016-07-11-pt1-PgH4577-4,CREC-2016-07-11,,2272,SPEAKING,H,114,B001292,"Beyer, Donald S., Jr.",VA,D,,"Beyer, Donald S., Jr.",Mr. BEYER,"Donald S. Beyer, Jr.",Mr. Donald Beyer
CREC-2016-07-11-pt1-PgH4577-3,CREC-2016-07-11,,,,,,,,,,,,,,
CREC-2016-07-11-pt1-PgH4577-2,CREC-2016-07-11,,,,,,,,,,,,,,
CREC-2016-07-11-pt1-PgH4579-2,CREC-2016-07-11,,2134,SPEAKING,H,114,K000380,"Kildee, Daniel T.",MI,D,,"Kildee, Daniel T.",Mr. KILDEE,Daniel T. Kildee,Mr. Daniel Kildee
CREC-2016-07-11-pt1-PgH4580-4,CREC-2016-07-11,,,,,,,,,,,,,,
CREC-2016-07-11-pt1-PgH4580-5,CREC-2016-07-11,,,,,,,,,,,,,,
CREC-2016-07-11-pt1-PgH4580-6,CREC-2016-07-11,,2223,SPEAKING,H,114,H001072,"Hill, J. French",AR,R,,"Hill, J. French",Mr. HILL,J. French Hill,
CREC-2016-07-11-pt1-PgH4580-3,CREC-2016-07-11,,,,,,,,,,,,,,
CREC-2016-07-11-pt1-PgH4580-7,CREC-2016-07-11,,2134,SPEAKING,H,114,K000380,"Kildee, Daniel T.",MI,D,,"Kildee, Daniel T.",Mr. KILDEE,Daniel T. Kildee,Mr. Daniel Kildee
CREC-2016-07-11-pt1-PgH4580-2,CREC-2016-07-11,,,,,,,,,,,,,,
CREC-2016-07-11-pt1-PgH4580,CREC-2016-07-11,,,,,,,,,,,,,,
CREC-2016-07-11-pt1-PgH4580-8,CREC-2016-07-11,,2232,SPEAKING,H,114,W000820,"Walters, Mimi",CA,R,,"Walters, Mimi",Mrs. MIMI WALTERS of California,Mimi Walters,
CREC-2016-07-11-pt1-PgH4580-10,CREC-2016-07-11,,2121,SPEAKING,H,114,C001093,"Collins, Doug",GA,R,,"Collins, Doug",Mr. COLLINS of Georgia,Doug Collins,
CREC-2016-07-11-pt1-PgH4581,CREC-2016-07-11,,2111,SPEAKING,H,114,L000579,"Lowenthal, Alan S.",CA,D,,"Lowenthal, Alan S.",Mr. LOWENTHAL,Alan S. Lowenthal,Mr. Alan Lowenthal
CREC-2016-07-11-pt1-PgH4580-9,CREC-2016-07-11,7806,1593,SPEAKING,H,114,T000460,"Thompson, Mike",CA,D,,"Thompson, Mike",Mr. THOMPSON of California,Mike Thompson,
CREC-2016-07-11-pt1-PgH4581-2,CREC-2016-07-11,,,,,,,,,,,,,,
CREC-2016-07-11-pt1-PgH4581-3,CREC-2016-07-11,8196,2069,SPEAKING,H,114,H001060,"Hurt, Robert",VA,R,,"Hurt, Robert",Mr. HURT of Virginia,Robert Hurt,
CREC-2016-07-11-pt1-PgH4581-3,CREC-2016-07-11,8073,1184,SPEAKING,H,114,V000081,"Velazquez, Nydia M.",NY,D,,"Velazquez, Nydia M.",Ms. VELAZQUEZ,Nydia M. Velazquez,Nydia Velazquez
