granuleId,packageId,date,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2016-12-07-pt1-PgH-FrontMatter-3,CREC-2016-12-07,2016-12-07,,,,,,,,,,,,,,
CREC-2016-12-07-pt1-PgH7273-2,CREC-2016-12-07,2016-12-07,,,,,,,,,,,,,,
CREC-2016-12-07-pt1-PgH7273,CREC-2016-12-07,2016-12-07,,,,,,,,,,,,,,
CREC-2016-12-07-pt1-PgH7273-4,CREC-2016-12-07,2016-12-07,,2278,SPEAKING,H,114,J000297,"Jenkins, Evan H.",WV,R,,"Jenkins, Evan H.",Mr. Evan Jenkins,Mr. JENKINS of West Virginia,Evan H. Jenkins
CREC-2016-12-07-pt1-PgH7273-3,CREC-2016-12-07,2016-12-07,,,,,,,,,,,,,,
CREC-2016-12-07-pt1-PgH7273-5,CREC-2016-12-07,2016-12-07,,1635,SPEAKING,H,114,S001150,"Schiff, Adam B.",CA,D,7834,"Schiff, Adam B.",Adam Schiff,Mr. SCHIFF,Adam B. Schiff
CREC-2016-12-07-pt1-PgH7274,CREC-2016-12-07,2016-12-07,,612,SPEAKING,H,114,J000255,"Jones, Walter B., Jr.",NC,R,8026,"Jones, Walter B., Jr.",Walter Jones Jr.,Mr. JONES,Walter B. Jones Jr.
CREC-2016-12-07-pt1-PgH7275,CREC-2016-12-07,2016-12-07,,2234,SPEAKING,H,114,G000575,"Graham, Gwen",FL,D,,"Graham, Gwen",,Ms. GRAHAM,Gwen Graham
CREC-2016-12-07-pt1-PgH7276,CREC-2016-12-07,2016-12-07,,2168,SPEAKING,H,114,S001192,"Stewart, Chris",UT,R,,"Stewart, Chris",,Mr. STEWART,Chris Stewart
CREC-2016-12-07-pt1-PgH7277,CREC-2016-12-07,2016-12-07,,1908,SPEAKING,H,114,M001177,"McClintock, Tom",CA,R,7809,"McClintock, Tom",,Mr. McCLINTOCK,Tom McClintock
CREC-2016-12-07-pt1-PgH7276-2,CREC-2016-12-07,2016-12-07,,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,8116,"Blumenauer, Earl",,Mr. BLUMENAUER,Earl Blumenauer
CREC-2016-12-07-pt1-PgH7278-2,CREC-2016-12-07,2016-12-07,,1504,SPEAKING,H,114,M000312,"McGovern, James P.",MA,D,7968,"McGovern, James P.",James Mcgovern,Mr. McGOVERN,James P. McGovern
CREC-2016-12-07-pt1-PgH7277-2,CREC-2016-12-07,2016-12-07,,1953,SPEAKING,H,114,P000596,"Pierluisi, Pedro R.",PR,D,8138,"Pierluisi, Pedro R.",Mr. Pedro Pierluisi,Mr. PIERLUISI,Pedro R. Pierluisi
CREC-2016-12-07-pt1-PgH7278,CREC-2016-12-07,2016-12-07,,1997,SPEAKING,H,114,T000470,"Tipton, Scott R.",CO,R,7861,"Tipton, Scott R.",Mr. Scott Tipton,Mr. TIPTON,Scott R. Tipton
CREC-2016-12-07-pt1-PgH7279,CREC-2016-12-07,2016-12-07,,2143,SPEAKING,H,114,H001065,"Holding, George",NC,R,,"Holding, George",,Mr. HOLDING,George Holding
CREC-2016-12-07-pt1-PgH7279-2,CREC-2016-12-07,2016-12-07,,1471,SPEAKING,H,114,C001036,"Capps, Lois",CA,D,7828,"Capps, Lois",,Mrs. CAPPS,Lois Capps
CREC-2016-12-07-pt1-PgH7280,CREC-2016-12-07,2016-12-07,,2131,SPEAKING,H,114,B001282,"Barr, Andy",KY,R,,"Barr, Andy",,Mr. BARR,Andy Barr
CREC-2016-12-07-pt1-PgH7280-2,CREC-2016-12-07,2016-12-07,,1976,SPEAKING,H,114,D000610,"Deutch, Theodore E.",FL,D,7891,"Deutch, Theodore E.",Mr. Theodore Deutch,Mr. DEUTCH,Theodore E. Deutch
CREC-2016-12-07-pt1-PgH7281,CREC-2016-12-07,2016-12-07,,2020,SPEAKING,H,114,H001057,"Huelskamp, Tim",KS,R,7949,"Huelskamp, Tim",,Mr. HUELSKAMP,Tim Huelskamp
CREC-2016-12-07-pt1-PgH7281-2,CREC-2016-12-07,2016-12-07,,1832,SPEAKING,H,114,M001166,"McNerney, Jerry",CA,D,7816,"McNerney, Jerry",,Mr. McNERNEY,Jerry McNerney
CREC-2016-12-07-pt1-PgH7280-3,CREC-2016-12-07,2016-12-07,,,,,,,,,,,,,,
CREC-2016-12-07-pt1-PgH7282,CREC-2016-12-07,2016-12-07,,2266,SPEAKING,H,114,C001106,"Costello, Ryan A.",PA,R,,"Costello, Ryan A.",Mr. Ryan Costello,Mr. COSTELLO of Pennsylvania,Ryan A. Costello
CREC-2016-12-07-pt1-PgH7282-2,CREC-2016-12-07,2016-12-07,,1942,SPEAKING,H,114,T000469,"Tonko, Paul",NY,D,8082,"Tonko, Paul",,Mr. TONKO,Paul Tonko
CREC-2016-12-07-pt1-PgH7283,CREC-2016-12-07,2016-12-07,,2010,SPEAKING,H,114,H001050,"Hanabusa, Colleen",HI,D,7912,"Hanabusa, Colleen",,Ms. HANABUSA,Colleen Hanabusa
CREC-2016-12-07-pt1-PgH7283-2,CREC-2016-12-07,2016-12-07,,1774,SPEAKING,H,114,C001059,"Costa, Jim",CA,D,7825,"Costa, Jim",,Mr. COSTA,Jim Costa
CREC-2016-12-07-pt1-PgH7284,CREC-2016-12-07,2016-12-07,,616,SPEAKING,H,114,K000009,"Kaptur, Marcy",OH,D,8099,"Kaptur, Marcy",,Ms. KAPTUR,Marcy Kaptur
CREC-2016-12-07-pt1-PgH7284-3,CREC-2016-12-07,2016-12-07,,1688,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,8142,"Wilson, Joe",,Mr. WILSON of South Carolina,Joe Wilson
CREC-2016-12-07-pt1-PgH7284-2,CREC-2016-12-07,2016-12-07,,2152,SPEAKING,H,114,W000815,"Wenstrup, Brad R.",OH,R,,"Wenstrup, Brad R.",Mr. Brad Wenstrup,Mr. WENSTRUP,Brad R. Wenstrup
CREC-2016-12-07-pt1-PgH7285,CREC-2016-12-07,2016-12-07,,,,,,,,,,,,,,
CREC-2016-12-07-pt1-PgH7285-2,CREC-2016-12-07,2016-12-07,,,,,,,,,,,,,,
CREC-2016-12-07-pt1-PgH7285-3,CREC-2016-12-07,2016-12-07,,,,,,,,,,,,,,
CREC-2016-12-07-pt1-PgH7285-4,CREC-2016-12-07,2016-12-07,,,,,,,,,,,,,,
CREC-2016-12-07-pt1-PgH7285-5,CREC-2016-12-07,2016-12-07,,,,,,,,,,,,,,
CREC-2016-12-07-pt1-PgH7285-6,CREC-2016-12-07,2016-12-07,,,,,,,,,,,,,,
CREC-2016-12-07-pt1-PgH7285-7,CREC-2016-12-07,2016-12-07,,985,SPEAKING,H,114,R000435,"Ros-Lehtinen, Ileana",FL,R,7890,"Ros-Lehtinen, Ileana",,Ms. ROS-LEHTINEN,Ileana Ros-Lehtinen
CREC-2016-12-07-pt1-PgH7285-8,CREC-2016-12-07,2016-12-07,,2122,SPEAKING,H,114,G000571,"Gabbard, Tulsi",HI,D,,"Gabbard, Tulsi",,Ms. GABBARD,Tulsi Gabbard
CREC-2016-12-07-pt1-PgH7285-9,CREC-2016-12-07,2016-12-07,,2244,SPEAKING,H,114,A000374,"Abraham, Ralph Lee",LA,R,,"Abraham, Ralph Lee",Mr. Ralph Abraham,Mr. ABRAHAM,Ralph Lee Abraham
CREC-2016-12-07-pt1-PgH7285-10,CREC-2016-12-07,2016-12-07,,1794,SPEAKING,H,114,H001038,"Higgins, Brian",NY,D,8088,"Higgins, Brian",,Mr. HIGGINS,Brian Higgins
CREC-2016-12-07-pt1-PgH7286,CREC-2016-12-07,2016-12-07,,2157,SPEAKING,H,114,P000605,"Perry, Scott",PA,R,,"Perry, Scott",,Mr. PERRY,Scott Perry
CREC-2016-12-07-pt1-PgH7286-2,CREC-2016-12-07,2016-12-07,,588,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,8174,"Jackson Lee, Sheila",,Ms. JACKSON LEE,Sheila Jackson Lee
CREC-2016-12-07-pt1-PgH7286-3,CREC-2016-12-07,2016-12-07,,2100,SPEAKING,H,114,L000578,"LaMalfa, Doug",CA,R,,"LaMalfa, Doug",,Mr. LaMALFA,Doug LaMalfa
CREC-2016-12-07-pt1-PgH7286-4,CREC-2016-12-07,2016-12-07,,599,SPEAKING,H,114,J000126,"Johnson, Eddie Bernice",TX,D,8186,"Johnson, Eddie Bernice",Eddie Johnson,Ms. EDDIE BERNICE JOHNSON of Texas,Eddie Bernice Johnson
CREC-2016-12-07-pt1-PgH7286-5,CREC-2016-12-07,2016-12-07,,1791,SPEAKING,H,114,F000450,"Foxx, Virginia",NC,R,8028,"Foxx, Virginia",,Ms. FOXX,Virginia Foxx
CREC-2016-12-07-pt1-PgH7286-6,CREC-2016-12-07,2016-12-07,,1510,SPEAKING,H,114,P000096,"Pascrell, Bill, Jr.",NJ,D,8050,"Pascrell, Bill, Jr.",William Pascrell,Mr. PASCRELL,"Bill Pascrell, Jr."
CREC-2016-12-07-pt1-PgH7287,CREC-2016-12-07,2016-12-07,,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,8123,"Thompson, Glenn",,Mr. THOMPSON of Pennsylvania,Glenn Thompson
CREC-2016-12-07-pt1-PgH7287-2,CREC-2016-12-07,2016-12-07,,729,SPEAKING,H,114,M000087,"Maloney, Carolyn B.",NY,D,8075,"Maloney, Carolyn B.",Carolyn Maloney,Mrs. CAROLYN B. MALONEY of New York,Carolyn B. Maloney
