granuleId,packageId,members,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2016-05-06-pt1-PgH2157-5,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2157-7,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2157-4,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2157-6,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2157-3,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2157-2,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2157,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH-FrontMatter-2,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2160,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2159-2,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2157-8,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2159,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2160-2,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2160-4,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2160-3,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2160-5,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2160-7,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2160-6,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2160-8,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2160-10,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2160-9,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgH2160-11,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgE649-2,CREC-2016-05-06,,7891,1976,SPEAKING,H,114,D000610,"Deutch, Theodore E.",FL,D,"Deutch, Theodore E.",Mr. Theodore Deutch,Mr. DEUTCH,Theodore E. Deutch
CREC-2016-05-06-pt1-PgE649-3,CREC-2016-05-06,,8206,1675,SPEAKING,H,114,L000560,"Larsen, Rick",WA,D,"Larsen, Rick",,Mr. LARSEN of Washington,Rick Larsen
CREC-2016-05-06-pt1-PgE650,CREC-2016-05-06,,,2166,SPEAKING,H,114,V000131,"Veasey, Marc A.",TX,D,"Veasey, Marc A.",Mr. Marc Veasey,Mr. VEASEY,Marc A. Veasey
CREC-2016-05-06-pt1-PgE649-4,CREC-2016-05-06,,8174,588,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,"Jackson Lee, Sheila",,Ms. JACKSON LEE,Sheila Jackson Lee
CREC-2016-05-06-pt1-PgE650-2,CREC-2016-05-06,,7929,1588,SPEAKING,H,114,S001145,"Schakowsky, Janice D.",IL,D,"Schakowsky, Janice D.",Janice Schakowsky,Ms. SCHAKOWSKY,Janice D. Schakowsky
CREC-2016-05-06-pt1-PgE651,CREC-2016-05-06,,,2227,SPEAKING,H,114,D000623,"DeSaulnier, Mark",CA,D,"DeSaulnier, Mark",,Mr. DeSAULNIER,Mark DeSaulnier
CREC-2016-05-06-pt1-PgE650-3,CREC-2016-05-06,,8174,588,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,"Jackson Lee, Sheila",,Ms. JACKSON LEE,Sheila Jackson Lee
CREC-2016-05-06-pt1-PgD464,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgD464-3,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgD464-2,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgD464-4,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgD465,CREC-2016-05-06,,,,,,,,,,,,,,
CREC-2016-05-06-pt1-PgD464-5,CREC-2016-05-06,,,,,,,,,,,,,,
