granuleId,packageId,date,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2016-04-29-pt1-PgH2113-2,CREC-2016-04-29,2016-04-29,,,,,,,,,,,,,,
CREC-2016-04-29-pt1-PgH-FrontMatter,CREC-2016-04-29,2016-04-29,,,,,,,,,,,,,,
CREC-2016-04-29-pt1-PgH2113,CREC-2016-04-29,2016-04-29,,,,,,,,,,,,,,
CREC-2016-04-29-pt1-PgH2113-3,CREC-2016-04-29,2016-04-29,,,,,,,,,,,,,,
CREC-2016-04-29-pt1-PgH2113-5,CREC-2016-04-29,2016-04-29,,,,,,,,,,,,,,
CREC-2016-04-29-pt1-PgH2113-4,CREC-2016-04-29,2016-04-29,,,,,,,,,,,,,,
CREC-2016-04-29-pt1-PgH2113-6,CREC-2016-04-29,2016-04-29,,2250,SPEAKING,H,114,T000475,"Trott, David A.",MI,R,,"Trott, David A.",Mr. David Trott,Mr. TROTT,David A. Trott
CREC-2016-04-29-pt1-PgH2113-7,CREC-2016-04-29,2016-04-29,,2096,SPEAKING,H,114,D000617,"DelBene, Suzan K.",WA,D,8374,"DelBene, Suzan K.",Ms. Suzan Delbene,Ms. DelBENE,Suzan K. DelBene
CREC-2016-04-29-pt1-PgH2113-8,CREC-2016-04-29,2016-04-29,,2111,SPEAKING,H,114,L000579,"Lowenthal, Alan S.",CA,D,,"Lowenthal, Alan S.",Mr. Alan Lowenthal,Mr. LOWENTHAL,Alan S. Lowenthal
CREC-2016-04-29-pt1-PgH2114,CREC-2016-04-29,2016-04-29,,2013,SPEAKING,H,114,D000613,"Dold, Robert J.",IL,R,7930,"Dold, Robert J.",Mr. Robert Dold,Mr. DOLD,Robert J. Dold
CREC-2016-04-29-pt1-PgH2114-2,CREC-2016-04-29,2016-04-29,,2127,SPEAKING,H,114,B001286,"Bustos, Cheri",IL,D,,"Bustos, Cheri",,Mrs. BUSTOS,Cheri Bustos
