granuleId,packageId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-11-16-pt1-PgH6242-2,CREC-2016-11-16,SPEAKING,H,114,V000130,"Vargas, Juan",CA,D,,"Vargas, Juan",Mr. VARGAS,Juan Vargas,
CREC-2016-11-16-pt1-PgH6241-4,CREC-2016-11-16,SPEAKING,H,114,Q000023,"Quigley, Mike",IL,D,,"Quigley, Mike",Mr. QUIGLEY,Mike Quigley,
CREC-2016-11-16-pt1-PgH6241,CREC-2016-11-16,,,,,,,,,,,,
CREC-2016-11-16-pt1-PgH6242,CREC-2016-11-16,SPEAKING,H,114,J000297,"Jenkins, Evan H.",WV,R,,"Jenkins, Evan H.",Mr. JENKINS of West Virginia,Evan H. Jenkins,Evan Jenkins
CREC-2016-11-16-pt1-PgH6241-3,CREC-2016-11-16,,,,,,,,,,,,
CREC-2016-11-16-pt1-PgH6241-2,CREC-2016-11-16,,,,,,,,,,,,
CREC-2016-11-16-pt1-PgH-FrontMatter-2,CREC-2016-11-16,,,,,,,,,,,,
CREC-2016-11-16-pt1-PgH6243,CREC-2016-11-16,SPEAKING,H,114,M001177,"McClintock, Tom",CA,R,,"McClintock, Tom",Mr. McCLINTOCK,Tom McClintock,
CREC-2016-11-16-pt1-PgH6243-2,CREC-2016-11-16,SPEAKING,H,114,R000599,"Ruiz, Raul",CA,D,,"Ruiz, Raul",Mr. RUIZ,Raul Ruiz,
CREC-2016-11-16-pt1-PgH6244,CREC-2016-11-16,SPEAKING,H,114,B001278,"Bonamici, Suzanne",OR,D,,"Bonamici, Suzanne",Ms. BONAMICI,Suzanne Bonamici,
CREC-2016-11-16-pt1-PgH6243-3,CREC-2016-11-16,SPEAKING,H,114,J000255,"Jones, Walter B., Jr.",NC,R,,"Jones, Walter B., Jr.",Mr. JONES,Walter B. Jones,Walter Jones
CREC-2016-11-16-pt1-PgH6245,CREC-2016-11-16,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,,"Thompson, Glenn",Mr. THOMPSON of Pennsylvania,Glenn Thompson,
CREC-2016-11-16-pt1-PgH6245-3,CREC-2016-11-16,,,,,,,,,,,,
CREC-2016-11-16-pt1-PgH6245-2,CREC-2016-11-16,SPEAKING,H,114,W000812,"Wagner, Ann",MO,R,,"Wagner, Ann",Mrs. WAGNER,Ann Wagner,
CREC-2016-11-16-pt1-PgH6245-5,CREC-2016-11-16,,,,,,,,,,,,
CREC-2016-11-16-pt1-PgH6245-4,CREC-2016-11-16,,,,,,,,,,,,
CREC-2016-11-16-pt1-PgH6245-6,CREC-2016-11-16,,,,,,,,,,,,
CREC-2016-11-16-pt1-PgH6245-7,CREC-2016-11-16,,,,,,,,,,,,
CREC-2016-11-16-pt1-PgH6245-8,CREC-2016-11-16,SPEAKING,H,114,M001151,"Murphy, Tim",PA,R,,"Murphy, Tim",Mr. MURPHY of Pennsylvania,Tim Murphy,
CREC-2016-11-16-pt1-PgH6246-3,CREC-2016-11-16,SPEAKING,H,114,C001084,"Cicilline, David N.",RI,D,,"Cicilline, David N.",Mr. CICILLINE,David N. Cicilline,David Cicilline
CREC-2016-11-16-pt1-PgH6246-2,CREC-2016-11-16,SPEAKING,H,114,E000294,"Emmer, Tom",MN,R,,"Emmer, Tom",Mr. EMMER of Minnesota,Tom Emmer,
CREC-2016-11-16-pt1-PgH6246-4,CREC-2016-11-16,SPEAKING,H,114,R000435,"Ros-Lehtinen, Ileana",FL,R,,"Ros-Lehtinen, Ileana",Ms. ROS-LEHTINEN,Ileana Ros-Lehtinen,
CREC-2016-11-16-pt1-PgH6246-5,CREC-2016-11-16,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2016-11-16-pt1-PgH6246,CREC-2016-11-16,SPEAKING,H,114,H001038,"Higgins, Brian",NY,D,,"Higgins, Brian",Mr. HIGGINS,Brian Higgins,
CREC-2016-11-16-pt1-PgH6247,CREC-2016-11-16,SPEAKING,H,114,H001071,"Hice, Jody B.",GA,R,,"Hice, Jody B.",Mr. JODY B. HICE of Georgia,Jody B. Hice,Jody Hice
