granuleId,packageId,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2015-05-26-pt1-PgH3575-4,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgH3575,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgH3575-5,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgH-FrontMatter,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgH3575-6,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgH3575-3,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgH3575-2,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgH3575-7,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgH3575-9,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgH3577-3,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgH3575-8,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgH3576-2,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgH3577-2,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgH3577,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgH3576-3,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgH3576,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgH3577-7,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgH3577-5,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgS-FrontMatter-7,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgH3577-4,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgH3577-6,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgS3319,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgS3319-3,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgS3319-2,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgE793-3,CREC-2015-05-26,,2114,SPEAKING,H,114,E000293,"Esty, Elizabeth H.",CT,D,,"Esty, Elizabeth H.",Ms. Elizabeth Esty,Ms. ESTY,Elizabeth H. Esty
CREC-2015-05-26-pt1-PgE793-4,CREC-2015-05-26,,1797,SPEAKING,H,114,F000451,"Fitzpatrick, Michael G.",PA,R,8126,"Fitzpatrick, Michael G.",Mr. Michael Fitzpatrick,Mr. FITZPATRICK,Michael G. Fitzpatrick
CREC-2015-05-26-pt1-PgE793-2,CREC-2015-05-26,,2060,SPEAKING,H,114,N000184,"Noem, Kristi L.",SD,R,8147,"Noem, Kristi L.",Mrs. Kristi Noem,Mrs. NOEM,Kristi L. Noem
CREC-2015-05-26-pt1-PgE793-5,CREC-2015-05-26,,281,SPEAKING,H,114,D000216,"DeLauro, Rosa L.",CT,D,7868,"DeLauro, Rosa L.",Rosa Delauro,Ms. DeLAURO,Rosa L. DeLauro
CREC-2015-05-26-pt1-PgD605,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgE793-6,CREC-2015-05-26,,1781,SPEAKING,H,114,L000563,"Lipinski, Daniel",IL,D,7923,"Lipinski, Daniel",Mr. Daniel William Lipinski,Mr. LIPINSKI,Daniel Lipinski
CREC-2015-05-26-pt1-PgD605-2,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgE794,CREC-2015-05-26,,2114,SPEAKING,H,114,E000293,"Esty, Elizabeth H.",CT,D,,"Esty, Elizabeth H.",Ms. Elizabeth Esty,Ms. ESTY,Elizabeth H. Esty
CREC-2015-05-26-pt1-PgD605-4,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgD605-5,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgD605-3,CREC-2015-05-26,,,,,,,,,,,,,,
CREC-2015-05-26-pt1-PgD605-6,CREC-2015-05-26,,,,,,,,,,,,,,
