granuleId,packageId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2016-02-10-pt1-PgH654-2,CREC-2016-02-10,SPEAKING,H,114,P000596,"Pierluisi, Pedro R.",PR,D,,"Pierluisi, Pedro R.",Pedro Pierluisi,Mr. PIERLUISI,Pedro R. Pierluisi
CREC-2016-02-10-pt1-PgH653-4,CREC-2016-02-10,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,,"Blumenauer, Earl",,Mr. BLUMENAUER,Earl Blumenauer
CREC-2016-02-10-pt1-PgH653,CREC-2016-02-10,,,,,,,,,,,,
CREC-2016-02-10-pt1-PgH-FrontMatter-3,CREC-2016-02-10,,,,,,,,,,,,
CREC-2016-02-10-pt1-PgH653-3,CREC-2016-02-10,,,,,,,,,,,,
CREC-2016-02-10-pt1-PgH653-2,CREC-2016-02-10,,,,,,,,,,,,
CREC-2016-02-10-pt1-PgH654-3,CREC-2016-02-10,SPEAKING,H,114,B001274,"Brooks, Mo",AL,R,,"Brooks, Mo",,Mr. BROOKS of Alabama,Mo Brooks
CREC-2016-02-10-pt1-PgH654,CREC-2016-02-10,SPEAKING,H,114,F000450,"Foxx, Virginia",NC,R,,"Foxx, Virginia",,Ms. FOXX,Virginia Foxx
CREC-2016-02-10-pt1-PgH655,CREC-2016-02-10,SPEAKING,H,114,G000571,"Gabbard, Tulsi",HI,D,,"Gabbard, Tulsi",,Ms. GABBARD,Tulsi Gabbard
CREC-2016-02-10-pt1-PgH656,CREC-2016-02-10,SPEAKING,H,114,D000613,"Dold, Robert J.",IL,R,,"Dold, Robert J.",Robert Dold,Mr. DOLD,Robert J. Dold
CREC-2016-02-10-pt1-PgH655-2,CREC-2016-02-10,SPEAKING,H,114,Z000017,"Zeldin, Lee M.",NY,R,,"Zeldin, Lee M.",Lee Zeldin,Mr. ZELDIN,Lee M. Zeldin
CREC-2016-02-10-pt1-PgH656-2,CREC-2016-02-10,SPEAKING,H,114,R000580,"Roskam, Peter J.",IL,R,,"Roskam, Peter J.",Peter Roskam,Mr. ROSKAM,Peter J. Roskam
CREC-2016-02-10-pt1-PgH658-2,CREC-2016-02-10,SPEAKING,H,114,M001195,"Mooney, Alexander X.",WV,R,,"Mooney, Alexander X.",Alexander Mooney,Mr. MOONEY of West Virginia,Alexander X. Mooney
CREC-2016-02-10-pt1-PgH657-2,CREC-2016-02-10,SPEAKING,H,114,P000605,"Perry, Scott",PA,R,,"Perry, Scott",,Mr. PERRY,Scott Perry
CREC-2016-02-10-pt1-PgH657,CREC-2016-02-10,SPEAKING,H,114,F000451,"Fitzpatrick, Michael G.",PA,R,,"Fitzpatrick, Michael G.",Michael Fitzpatrick,Mr. FITZPATRICK,Michael G. Fitzpatrick
CREC-2016-02-10-pt1-PgH658,CREC-2016-02-10,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,,"Thompson, Glenn",,Mr. THOMPSON of Pennsylvania,Glenn Thompson
CREC-2016-02-10-pt1-PgH659,CREC-2016-02-10,SPEAKING,H,114,S001192,"Stewart, Chris",UT,R,,"Stewart, Chris",,Mr. STEWART,Chris Stewart
CREC-2016-02-10-pt1-PgH659-2,CREC-2016-02-10,,,,,,,,,,,,
CREC-2016-02-10-pt1-PgH660-2,CREC-2016-02-10,,,,,,,,,,,,
CREC-2016-02-10-pt1-PgH660,CREC-2016-02-10,,,,,,,,,,,,
CREC-2016-02-10-pt1-PgH659-3,CREC-2016-02-10,,,,,,,,,,,,
CREC-2016-02-10-pt1-PgH659-4,CREC-2016-02-10,,,,,,,,,,,,
CREC-2016-02-10-pt1-PgH660-3,CREC-2016-02-10,,,,,,,,,,,,
CREC-2016-02-10-pt1-PgH660-4,CREC-2016-02-10,SPEAKING,H,114,J000174,"Johnson, Sam",TX,R,,"Johnson, Sam",,Mr. SAM JOHNSON of Texas,Sam Johnson
CREC-2016-02-10-pt1-PgH660-5,CREC-2016-02-10,SPEAKING,H,114,C001084,"Cicilline, David N.",RI,D,,"Cicilline, David N.",David Cicilline,Mr. CICILLINE,David N. Cicilline
CREC-2016-02-10-pt1-PgH660-6,CREC-2016-02-10,SPEAKING,H,114,D000612,"Denham, Jeff",CA,R,,"Denham, Jeff",,Mr. DENHAM,Jeff Denham
CREC-2016-02-10-pt1-PgH660-7,CREC-2016-02-10,SPEAKING,H,114,P000608,"Peters, Scott H.",CA,D,,"Peters, Scott H.",Scott Peters,Mr. PETERS,Scott H. Peters
CREC-2016-02-10-pt1-PgH661-3,CREC-2016-02-10,SPEAKING,H,114,H001038,"Higgins, Brian",NY,D,,"Higgins, Brian",,Mr. HIGGINS,Brian Higgins
CREC-2016-02-10-pt1-PgH660-8,CREC-2016-02-10,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,,"Wilson, Joe",,Mr. WILSON of South Carolina,Joe Wilson
CREC-2016-02-10-pt1-PgH661-2,CREC-2016-02-10,SPEAKING,H,114,L000578,"LaMalfa, Doug",CA,R,,"LaMalfa, Doug",,Mr. LaMALFA,Doug LaMalfa
CREC-2016-02-10-pt1-PgH661,CREC-2016-02-10,SPEAKING,H,114,K000380,"Kildee, Daniel T.",MI,D,,"Kildee, Daniel T.",Daniel Kildee,Mr. KILDEE,Daniel T. Kildee
CREC-2016-02-10-pt1-PgH661-4,CREC-2016-02-10,SPEAKING,H,114,B001257,"Bilirakis, Gus M.",FL,R,,"Bilirakis, Gus M.",Gus Bilirakis,Mr. BILIRAKIS,Gus M. Bilirakis
CREC-2016-02-10-pt1-PgH661-6,CREC-2016-02-10,SPEAKING,H,114,H001059,"Hultgren, Randy",IL,R,,"Hultgren, Randy",,Mr. HULTGREN,Randy Hultgren
CREC-2016-02-10-pt1-PgH661-5,CREC-2016-02-10,SPEAKING,H,114,G000410,"Green, Gene",TX,D,,"Green, Gene",,Mr. GENE GREEN of Texas,Gene Green
CREC-2016-02-10-pt1-PgH662,CREC-2016-02-10,SPEAKING,H,114,E000288,"Ellison, Keith",MN,D,,"Ellison, Keith",,Mr. ELLISON,Keith Ellison
CREC-2016-02-10-pt1-PgH662-2,CREC-2016-02-10,SPEAKING,H,114,W000813,"Walorski, Jackie",IN,R,,"Walorski, Jackie",,Mrs. WALORSKI,Jackie Walorski
CREC-2016-02-10-pt1-PgH662-3,CREC-2016-02-10,,,,,,,,,,,,
CREC-2016-02-10-pt1-PgH662-4,CREC-2016-02-10,,,,,,,,,,,,
CREC-2016-02-10-pt1-PgH662-5,CREC-2016-02-10,SPEAKING,H,114,U000031,"Upton, Fred",MI,R,,"Upton, Fred",,Mr. UPTON,Fred Upton
CREC-2016-02-10-pt1-PgH662-5,CREC-2016-02-10,SPEAKING,H,114,T000469,"Tonko, Paul",NY,D,,"Tonko, Paul",,Mr. TONKO,Paul Tonko
CREC-2016-02-10-pt1-PgH662-5,CREC-2016-02-10,SPEAKING,H,114,W000798,"Walberg, Tim",MI,R,,"Walberg, Tim",,Mr. WALBERG,Tim Walberg
CREC-2016-02-10-pt1-PgH662-5,CREC-2016-02-10,SPEAKING,H,114,K000380,"Kildee, Daniel T.",MI,D,,"Kildee, Daniel T.",Daniel Kildee,Mr. KILDEE,Daniel T. Kildee
CREC-2016-02-10-pt1-PgH662-5,CREC-2016-02-10,SPEAKING,H,114,B001293,"Bishop, Mike",MI,R,,"Bishop, Mike",,Mr. BISHOP of Michigan,Mike Bishop
CREC-2016-02-10-pt1-PgH662-5,CREC-2016-02-10,SPEAKING,H,114,L000581,"Lawrence, Brenda L.",MI,D,,"Lawrence, Brenda L.",Brenda Lawrence,Mrs. LAWRENCE,Brenda L. Lawrence
CREC-2016-02-10-pt1-PgH662-5,CREC-2016-02-10,SPEAKING,H,114,M001194,"Moolenaar, John R.",MI,R,,"Moolenaar, John R.",John Moolenaar,Mr. MOOLENAAR,John R. Moolenaar
CREC-2016-02-10-pt1-PgH662-5,CREC-2016-02-10,SPEAKING,H,114,T000475,"Trott, David A.",MI,R,,"Trott, David A.",David Trott,Mr. TROTT,David A. Trott
CREC-2016-02-10-pt1-PgH662-5,CREC-2016-02-10,SPEAKING,H,114,S000051,"Sanford, Mark",SC,R,,"Sanford, Mark",,Mr. SANFORD,Mark Sanford
CREC-2016-02-10-pt1-PgH662-5,CREC-2016-02-10,SPEAKING,H,114,V000128,"Van Hollen, Chris",MD,D,,"Van Hollen, Chris",,Mr. VAN HOLLEN,Chris Van Hollen
CREC-2016-02-10-pt1-PgH662-5,CREC-2016-02-10,SPEAKING,H,114,P000034,"Pallone, Frank",NJ,D,,"Pallone, Frank",Frank Pallone,Mr. PALLONE,"Frank Pallone, Jr."
CREC-2016-02-10-pt1-PgH662-5,CREC-2016-02-10,SPEAKING,H,114,C000714,"Conyers, John, Jr.",MI,D,,"Conyers, John, Jr.",John Conyers,Mr. CONYERS,"John Conyers, Jr."
CREC-2016-02-10-pt1-PgH668,CREC-2016-02-10,SPEAKING,H,114,S000250,"Sessions, Pete",TX,R,,"Sessions, Pete",,Mr. SESSIONS,Pete Sessions
CREC-2016-02-10-pt1-PgH668,CREC-2016-02-10,SPEAKING,H,114,B001297,"Buck, Ken",CO,R,,"Buck, Ken",,Mr. BUCK,Ken Buck
CREC-2016-02-10-pt1-PgH668,CREC-2016-02-10,SPEAKING,H,114,M000312,"McGovern, James P.",MA,D,,"McGovern, James P.",James McGovern,Mr. McGOVERN,James P. McGovern
CREC-2016-02-10-pt1-PgH668,CREC-2016-02-10,SPEAKING,H,114,M001158,"Marchant, Kenny",TX,R,,"Marchant, Kenny",,Mr. MARCHANT,Kenny Marchant
CREC-2016-02-10-pt1-PgH668,CREC-2016-02-10,SPEAKING,H,114,W000800,"Welch, Peter",VT,D,,"Welch, Peter",,Mr. WELCH,Peter Welch
CREC-2016-02-10-pt1-PgH668,CREC-2016-02-10,SPEAKING,H,114,K000376,"Kelly, Mike",PA,R,,"Kelly, Mike",,Mr. KELLY of Pennsylvania,Mike Kelly
CREC-2016-02-10-pt1-PgH668,CREC-2016-02-10,SPEAKING,H,114,C001078,"Connolly, Gerald E.",VA,D,,"Connolly, Gerald E.",Gerald Connolly,Mr. CONNOLLY,Gerald E. Connolly
CREC-2016-02-10-pt1-PgH668,CREC-2016-02-10,SPEAKING,H,114,S000583,"Smith, Lamar",TX,R,,"Smith, Lamar",,Mr. SMITH of Texas,Lamar Smith
CREC-2016-02-10-pt1-PgH668,CREC-2016-02-10,SPEAKING,H,114,R000598,"Rothfus, Keith J.",PA,R,,"Rothfus, Keith J.",Keith Rothfus,Mr. ROTHFUS,Keith J. Rothfus
CREC-2016-02-10-pt1-PgH676,CREC-2016-02-10,SPEAKING,H,114,H001051,"Hanna, Richard L.",NY,R,,"Hanna, Richard L.",Richard Hanna,Mr. HANNA,Richard L. Hanna
CREC-2016-02-10-pt1-PgH676,CREC-2016-02-10,SPEAKING,H,114,G000560,"Graves, Tom",GA,R,,"Graves, Tom",,Mr. GRAVES of Georgia,Tom Graves
CREC-2016-02-10-pt1-PgH676,CREC-2016-02-10,SPEAKING,H,114,C001091,"Castro, Joaquin",TX,D,,"Castro, Joaquin",,Mr. CASTRO of Texas,Joaquin Castro
CREC-2016-02-10-pt1-PgH690,CREC-2016-02-10,,,,,,,,,,,,
CREC-2016-02-10-pt1-PgH690-2,CREC-2016-02-10,,,,,,,,,,,,
CREC-2016-02-10-pt1-PgH677,CREC-2016-02-10,SPEAKING,H,114,S000583,"Smith, Lamar",TX,R,,"Smith, Lamar",,Mr. SMITH of Texas,Lamar Smith
CREC-2016-02-10-pt1-PgH677,CREC-2016-02-10,SPEAKING,H,114,J000126,"Johnson, Eddie Bernice",TX,D,,"Johnson, Eddie Bernice",Eddie Johnson,Ms. EDDIE BERNICE JOHNSON of Texas,Eddie Bernice Johnson
CREC-2016-02-10-pt1-PgH677,CREC-2016-02-10,SPEAKING,H,114,L000491,"Lucas, Frank D.",OK,R,,"Lucas, Frank D.",Frank Lucas,Mr. LUCAS,Frank D. Lucas
CREC-2016-02-10-pt1-PgH677,CREC-2016-02-10,SPEAKING,H,114,L000582,"Lieu, Ted",CA,D,,"Lieu, Ted",,Mr. TED LIEU of California,Ted Lieu
CREC-2016-02-10-pt1-PgH677,CREC-2016-02-10,SPEAKING,H,114,L000583,"Loudermilk, Barry",GA,R,,"Loudermilk, Barry",,Mr. LOUDERMILK,Barry Loudermilk
CREC-2016-02-10-pt1-PgH677,CREC-2016-02-10,SPEAKING,H,114,T000469,"Tonko, Paul",NY,D,,"Tonko, Paul",,Mr. TONKO,Paul Tonko
CREC-2016-02-10-pt1-PgH677,CREC-2016-02-10,SPEAKING,H,114,W000814,"Weber, Randy K. Sr.",TX,R,,"Weber, Randy K. Sr.",Randy Weber,Mr. WEBER of Texas,"Randy K. Weber, Sr."
CREC-2016-02-10-pt1-PgH677,CREC-2016-02-10,SPEAKING,H,114,W000814,"Weber, Randy K. Sr.",TX,R,,"Weber, Randy K. Sr.",Randy K. Weber,Mr. WEBER of Texas,"Randy K. Weber, Sr."
CREC-2016-02-10-pt1-PgH677,CREC-2016-02-10,SPEAKING,H,114,B001292,"Beyer, Donald S.",VA,D,,"Beyer, Donald S.",Donald Beyer,Mr. BEYER,"Donald S. Beyer, Jr."
CREC-2016-02-10-pt1-PgH677,CREC-2016-02-10,SPEAKING,H,114,B001292,"Beyer, Donald S.",VA,D,,"Beyer, Donald S.",Donald S. Beyer,Mr. BEYER,"Donald S. Beyer, Jr."
CREC-2016-02-10-pt1-PgH677,CREC-2016-02-10,SPEAKING,H,114,L000563,"Lipinski, Daniel",IL,D,,"Lipinski, Daniel",Daniel William Lipinski,Mr. LIPINSKI,Daniel Lipinski
