granuleId,packageId,authorityId,chamber,committeeName,type,committees
CREC-2015-12-16-pt1-PgH9331-3,CREC-2015-12-16,jspr00,J,Joint Committee on Printing,J,
CREC-2015-12-16-pt1-PgH9331-2,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9331,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH-FrontMatter-2,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9332-3,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9332,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9332-4,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9332-2,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9332-5,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9332-7,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9333-2,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9332-8,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9332-6,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9333,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9333-3,CREC-2015-12-16,sshr00,S,"Committee on Health, Education, Labor, and Pensions",S,
CREC-2015-12-16-pt1-PgH9333-3,CREC-2015-12-16,hsif00,H,Committee on Energy and Commerce,S,
CREC-2015-12-16-pt1-PgH9335,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9337,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9338,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9338-2,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9339-2,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9339,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9339-3,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9340,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9340-2,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9341,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9341-2,CREC-2015-12-16,hsfa00,H,Committee on Foreign Affairs,S,
CREC-2015-12-16-pt1-PgH9341-2,CREC-2015-12-16,hsba00,H,Committee on Financial Services,S,
CREC-2015-12-16-pt1-PgH9341-2,CREC-2015-12-16,hlig00,H,House Permanent Select Committee on Intelligence,L,
CREC-2015-12-16-pt1-PgH9341-2,CREC-2015-12-16,slin00,S,Select Committee on Intelligence,L,
CREC-2015-12-16-pt1-PgH9341-2,CREC-2015-12-16,ssbk00,S,"Committee on Banking, Housing, and Urban Affairs",S,
CREC-2015-12-16-pt1-PgH9341-2,CREC-2015-12-16,hsju00,H,Committee on the Judiciary,S,
CREC-2015-12-16-pt1-PgH9341-2,CREC-2015-12-16,hsas00,H,Committee on Armed Services,S,
CREC-2015-12-16-pt1-PgH9346,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9348,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9346-2,CREC-2015-12-16,hsfa00,H,Committee on Foreign Affairs,S,
CREC-2015-12-16-pt1-PgH9346-2,CREC-2015-12-16,ssfr00,S,Committee on Foreign Relations,S,
CREC-2015-12-16-pt1-PgH9346-2,CREC-2015-12-16,hsgo00,H,Committee on Oversight and Government Reform,S,
CREC-2015-12-16-pt1-PgH9349,CREC-2015-12-16,hsas00,H,Committee on Armed Services,S,
CREC-2015-12-16-pt1-PgH9349,CREC-2015-12-16,hlig00,H,House Permanent Select Committee on Intelligence,L,
CREC-2015-12-16-pt1-PgH9349,CREC-2015-12-16,hsju00,H,Committee on the Judiciary,S,
CREC-2015-12-16-pt1-PgH9349,CREC-2015-12-16,hshm00,H,Committee on Homeland Security,S,
CREC-2015-12-16-pt1-PgH9349,CREC-2015-12-16,hsap00,H,Committee on Appropriations,S,
CREC-2015-12-16-pt1-PgH9349,CREC-2015-12-16,hsba00,H,Committee on Financial Services,S,
CREC-2015-12-16-pt1-PgH9349,CREC-2015-12-16,hsfa00,H,Committee on Foreign Affairs,S,
CREC-2015-12-16-pt1-PgH9355,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9352,CREC-2015-12-16,hshm00,H,Committee on Homeland Security,S,
CREC-2015-12-16-pt1-PgH9356,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9356-2,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9356-4,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9356-3,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9358,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9357,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9358-3,CREC-2015-12-16,,,,,
CREC-2015-12-16-pt1-PgH9358-2,CREC-2015-12-16,,,,,
