granuleId,packageId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-05-12-pt1-PgH2286,CREC-2016-05-12,SPEAKING,H,114,K000378,"Kinzinger, Adam",IL,R,,"Kinzinger, Adam",Mr. KINZINGER of Illinois,Adam Kinzinger,
CREC-2016-05-12-pt1-PgH2285-5,CREC-2016-05-12,SPEAKING,H,114,G000535,"Gutierrez, Luis V.",IL,D,,"Gutierrez, Luis V.",Mr. GUTIERREZ,Luis V. Gutierrez,Luis Gutierrez
CREC-2016-05-12-pt1-PgH2285-4,CREC-2016-05-12,,,,,,,,,,,,
CREC-2016-05-12-pt1-PgH-FrontMatter-2,CREC-2016-05-12,,,,,,,,,,,,
CREC-2016-05-12-pt1-PgH2285-2,CREC-2016-05-12,,,,,,,,,,,,
CREC-2016-05-12-pt1-PgH2285,CREC-2016-05-12,,,,,,,,,,,,
CREC-2016-05-12-pt1-PgH2285-3,CREC-2016-05-12,,,,,,,,,,,,
CREC-2016-05-12-pt1-PgH2286-2,CREC-2016-05-12,SPEAKING,H,114,A000373,"Ashford, Brad",NE,D,,"Ashford, Brad",Mr. ASHFORD,Brad Ashford,
CREC-2016-05-12-pt1-PgH2287,CREC-2016-05-12,SPEAKING,H,114,P000592,"Poe, Ted",TX,R,,"Poe, Ted",Mr. POE of Texas,Ted Poe,
CREC-2016-05-12-pt1-PgH2288,CREC-2016-05-12,SPEAKING,H,114,B001243,"Blackburn, Marsha",TN,R,,"Blackburn, Marsha",Mrs. BLACKBURN,Marsha Blackburn,
CREC-2016-05-12-pt1-PgH2287-2,CREC-2016-05-12,SPEAKING,H,114,V000131,"Veasey, Marc A.",TX,D,,"Veasey, Marc A.",Mr. VEASEY,Marc A. Veasey,Marc Veasey
CREC-2016-05-12-pt1-PgH2288-2,CREC-2016-05-12,SPEAKING,H,114,G000571,"Gabbard, Tulsi",HI,D,,"Gabbard, Tulsi",Ms. GABBARD,Tulsi Gabbard,
CREC-2016-05-12-pt1-PgH2289,CREC-2016-05-12,SPEAKING,H,114,E000294,"Emmer, Tom",MN,R,,"Emmer, Tom",Mr. EMMER of Minnesota,Tom Emmer,
CREC-2016-05-12-pt1-PgH2290,CREC-2016-05-12,SPEAKING,H,114,B001273,"Black, Diane",TN,R,,"Black, Diane",Mrs. BLACK,Diane Black,
