granuleId,packageId,members,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2015-11-04-pt1-PgH7627,CREC-2015-11-04,,,,,,,,,,,,,,
CREC-2015-11-04-pt1-PgH-FrontMatter-2,CREC-2015-11-04,,,,,,,,,,,,,,
CREC-2015-11-04-pt1-PgH7627-4,CREC-2015-11-04,,7924,478,SPEAKING,H,114,G000535,"Gutierrez, Luis V.",IL,D,"Gutierrez, Luis V.",Luis Gutierrez,Mr. GUTIERREZ,Luis V. Gutierrez
CREC-2015-11-04-pt1-PgH7628,CREC-2015-11-04,,8123,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,"Thompson, Glenn",,Mr. THOMPSON of Pennsylvania,Glenn Thompson
CREC-2015-11-04-pt1-PgH7627-3,CREC-2015-11-04,,,,,,,,,,,,,,
CREC-2015-11-04-pt1-PgH7628-3,CREC-2015-11-04,,8786,1683,SPEAKING,H,114,F000445,"Forbes, J. Randy",VA,R,"Forbes, J. Randy",,Mr. FORBES,J. Randy Forbes
CREC-2015-11-04-pt1-PgH7627-2,CREC-2015-11-04,,,,,,,,,,,,,,
CREC-2015-11-04-pt1-PgH7628-2,CREC-2015-11-04,,7925,1967,SPEAKING,H,114,Q000023,"Quigley, Mike",IL,D,"Quigley, Mike",,Mr. QUIGLEY,Mike Quigley
CREC-2015-11-04-pt1-PgH7630-2,CREC-2015-11-04,,7952,2022,SPEAKING,H,114,P000602,"Pompeo, Mike",KS,R,"Pompeo, Mike",,Mr. POMPEO,Mike Pompeo
CREC-2015-11-04-pt1-PgH7629-2,CREC-2015-11-04,,8158,1802,SPEAKING,H,114,P000592,"Poe, Ted",TX,R,"Poe, Ted",,Mr. POE of Texas,Ted Poe
CREC-2015-11-04-pt1-PgH7630,CREC-2015-11-04,,7852,1522,SPEAKING,H,114,S000030,"Sanchez, Loretta",CA,D,"Sanchez, Loretta",,Ms. LORETTA SANCHEZ of California,Loretta Sanchez
CREC-2015-11-04-pt1-PgH7631,CREC-2015-11-04,,,2266,SPEAKING,H,114,C001106,"Costello, Ryan A.",PA,R,"Costello, Ryan A.",Mr. Ryan Costello,Mr. COSTELLO of Pennsylvania,Ryan A. Costello
CREC-2015-11-04-pt1-PgH7629,CREC-2015-11-04,,,2114,SPEAKING,H,114,E000293,"Esty, Elizabeth H.",CT,D,"Esty, Elizabeth H.",Ms. Elizabeth Esty,Ms. ESTY,Elizabeth H. Esty
CREC-2015-11-04-pt1-PgH7632-3,CREC-2015-11-04,,7980,566,SPEAKING,H,114,H000874,"Hoyer, Steny H.",MD,D,"Hoyer, Steny H.",Steny Hoyer,Mr. HOYER,Steny H. Hoyer
CREC-2015-11-04-pt1-PgH7632-2,CREC-2015-11-04,,,2242,SPEAKING,H,114,Y000066,"Young, David",IA,R,"Young, David",,Mr. YOUNG of Iowa,David Young
CREC-2015-11-04-pt1-PgH7632,CREC-2015-11-04,,7948,2019,SPEAKING,H,114,Y000064,"Young, Todd",IN,R,"Young, Todd",Mr. Todd C. Young,Mr. YOUNG of Indiana,Todd Young
CREC-2015-11-04-pt1-PgH7633-2,CREC-2015-11-04,,,867,SPEAKING,H,114,N000127,"Nolan, Richard M.",MN,D,"Nolan, Richard M.",Richard Nolan,Mr. NOLAN,Richard M. Nolan
