granuleId,packageId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2015-03-11-pt1-PgS1398-3,CREC-2015-03-11,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,,"Reid, Harry",Harry M. Reid,Mr. REID,Harry Reid
CREC-2015-03-11-pt1-PgS1397-2,CREC-2015-03-11,,,,,,,,,,,,
CREC-2015-03-11-pt1-PgS1397-3,CREC-2015-03-11,,,,,,,,,,,,
CREC-2015-03-11-pt1-PgS1397,CREC-2015-03-11,,,,,,,,,,,,
CREC-2015-03-11-pt1-PgS1397-5,CREC-2015-03-11,SPEAKING,S,114,M000355,"McConnell, Mitch",KY,R,,"McConnell, Mitch",,Mr. McCONNELL,Mitch McConnell
CREC-2015-03-11-pt1-PgS1397-4,CREC-2015-03-11,,,,,,,,,,,,
CREC-2015-03-11-pt1-PgS1398,CREC-2015-03-11,,,,,,,,,,,,
CREC-2015-03-11-pt1-PgS1398-2,CREC-2015-03-11,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,,"Reid, Harry",Harry M. Reid,Mr. REID,Harry Reid
CREC-2015-03-11-pt1-PgS1399-2,CREC-2015-03-11,,,,,,,,,,,,
CREC-2015-03-11-pt1-PgS1399,CREC-2015-03-11,,,,,,,,,,,,
CREC-2015-03-11-pt1-PgS1401,CREC-2015-03-11,SPEAKING,S,114,M001111,"Murray, Patty",WA,D,,"Murray, Patty",,Mrs. MURRAY,Patty Murray
CREC-2015-03-11-pt1-PgS1398-4,CREC-2015-03-11,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,,"Reid, Harry",Harry M. Reid,Mr. REID,Harry Reid
CREC-2015-03-11-pt1-PgS1399-3,CREC-2015-03-11,SPEAKING,S,114,D000563,"Durbin, Richard J.",IL,D,,"Durbin, Richard J.",Richard Durbin,Mr. DURBIN,Richard J. Durbin
CREC-2015-03-11-pt1-PgS1402,CREC-2015-03-11,SPEAKING,S,114,M000303,"McCain, John",AZ,R,,"McCain, John",John Sidney McCain,Mr. McCAIN,John McCain
CREC-2015-03-11-pt1-PgS1402,CREC-2015-03-11,SPEAKING,S,114,B000944,"Brown, Sherrod",OH,D,,"Brown, Sherrod",,Mr. BROWN,Sherrod Brown
CREC-2015-03-11-pt1-PgS1401-2,CREC-2015-03-11,SPEAKING,S,114,C000542,"Coats, Daniel",IN,R,,"Coats, Daniel",Daniel Ray Coats,Mr. COATS,Daniel Coats
CREC-2015-03-11-pt1-PgS1401-2,CREC-2015-03-11,SPEAKING,S,114,M000303,"McCain, John",AZ,R,,"McCain, John",John Sidney McCain,Mr. McCAIN,John McCain
CREC-2015-03-11-pt1-PgS1400,CREC-2015-03-11,SPEAKING,S,114,D000563,"Durbin, Richard J.",IL,D,,"Durbin, Richard J.",Richard Durbin,Mr. DURBIN,Richard J. Durbin
CREC-2015-03-11-pt1-PgS1400,CREC-2015-03-11,SPEAKING,S,114,R000146,"Reid, Harry",NV,D,,"Reid, Harry",Harry M. Reid,Mr. REID,Harry Reid
CREC-2015-03-11-pt1-PgS1403,CREC-2015-03-11,,,,,,,,,,,,
CREC-2015-03-11-pt1-PgS1403-2,CREC-2015-03-11,SPEAKING,S,114,B000944,"Brown, Sherrod",OH,D,,"Brown, Sherrod",,Mr. BROWN,Sherrod Brown
CREC-2015-03-11-pt1-PgS1403-2,CREC-2015-03-11,SPEAKING,S,114,M001111,"Murray, Patty",WA,D,,"Murray, Patty",,Mrs. MURRAY,Patty Murray
CREC-2015-03-11-pt1-PgS1403-2,CREC-2015-03-11,SPEAKING,S,114,T000461,"Toomey, Patrick",PA,R,,"Toomey, Patrick",Patrick Toomey,Mr. TOOMEY,Patrick J. Toomey
CREC-2015-03-11-pt1-PgS1403-2,CREC-2015-03-11,SPEAKING,S,114,G000386,"Grassley, Chuck",IA,R,,"Grassley, Chuck",,Mr. GRASSLEY,Chuck Grassley
CREC-2015-03-11-pt1-PgS1403-2,CREC-2015-03-11,SPEAKING,S,114,L000174,"Leahy, Patrick J.",VT,D,,"Leahy, Patrick J.",Patrick Leahy,Mr. LEAHY,Patrick J. Leahy
