granuleId,packageId,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-11-16-pt1-PgH8157-6,CREC-2015-11-16,8158,1802,SPEAKING,H,114,P000592,"Poe, Ted",TX,R,,"Poe, Ted",Mr. POE of Texas,Ted Poe,
CREC-2015-11-16-pt1-PgH8157-3,CREC-2015-11-16,,,,,,,,,,,,,,
CREC-2015-11-16-pt1-PgH8157-4,CREC-2015-11-16,,,,,,,,,,,,,,
CREC-2015-11-16-pt1-PgH8157-5,CREC-2015-11-16,,,,,,,,,,,,,,
CREC-2015-11-16-pt1-PgH8157-7,CREC-2015-11-16,,2134,SPEAKING,H,114,K000380,"Kildee, Daniel T.",MI,D,,"Kildee, Daniel T.",Mr. KILDEE,Daniel T. Kildee,Mr. Daniel Kildee
CREC-2015-11-16-pt1-PgH8157-2,CREC-2015-11-16,,,,,,,,,,,,,,
CREC-2015-11-16-pt1-PgH8157,CREC-2015-11-16,,,,,,,,,,,,,,
CREC-2015-11-16-pt1-PgH-FrontMatter,CREC-2015-11-16,,,,,,,,,,,,,,
CREC-2015-11-16-pt1-PgH8157-8,CREC-2015-11-16,8182,1751,SPEAKING,H,114,B001248,"Burgess, Michael C.",TX,R,,"Burgess, Michael C.",Mr. BURGESS,Michael C. Burgess,Mr. Michael Burgess
CREC-2015-11-16-pt1-PgH8158,CREC-2015-11-16,,2100,SPEAKING,H,114,L000578,"LaMalfa, Doug",CA,R,,"LaMalfa, Doug",Mr. LaMALFA,Doug LaMalfa,
CREC-2015-11-16-pt1-PgH8158-2,CREC-2015-11-16,8028,1791,SPEAKING,H,114,F000450,"Foxx, Virginia",NC,R,,"Foxx, Virginia",Ms. FOXX,Virginia Foxx,
CREC-2015-11-16-pt1-PgH8158-3,CREC-2015-11-16,,2121,SPEAKING,H,114,C001093,"Collins, Doug",GA,R,,"Collins, Doug",Mr. COLLINS of Georgia,Doug Collins,
CREC-2015-11-16-pt1-PgH8158-5,CREC-2015-11-16,,,,,,,,,,,,,,
CREC-2015-11-16-pt1-PgH8158-4,CREC-2015-11-16,,,,,,,,,,,,,,
CREC-2015-11-16-pt1-PgH8158-6,CREC-2015-11-16,,,,,,,,,,,,,,
CREC-2015-11-16-pt1-PgH8158-7,CREC-2015-11-16,,,,,,,,,,,,,,
CREC-2015-11-16-pt1-PgH8159,CREC-2015-11-16,,,,,,,,,,,,,,
CREC-2015-11-16-pt1-PgH8159-4,CREC-2015-11-16,,,,,,,,,,,,,,
CREC-2015-11-16-pt1-PgH8159-3,CREC-2015-11-16,,,,,,,,,,,,,,
CREC-2015-11-16-pt1-PgH8159-2,CREC-2015-11-16,,,,,,,,,,,,,,
CREC-2015-11-16-pt1-PgH8159-6,CREC-2015-11-16,,,,,,,,,,,,,,
CREC-2015-11-16-pt1-PgH8159-5,CREC-2015-11-16,,,,,,,,,,,,,,
CREC-2015-11-16-pt1-PgH8164,CREC-2015-11-16,8126,1797,SPEAKING,H,114,F000451,"Fitzpatrick, Michael G.",PA,R,,"Fitzpatrick, Michael G.",Mr. FITZPATRICK,Michael G. Fitzpatrick,Mr. Michael Fitzpatrick
CREC-2015-11-16-pt1-PgH8164,CREC-2015-11-16,7871,868,SPEAKING,H,114,N000147,"Norton, Eleanor Holmes",DC,D,,"Norton, Eleanor Holmes",Ms. NORTON,Eleanor Holmes Norton,Eleanor Norton
CREC-2015-11-16-pt1-PgH8164,CREC-2015-11-16,7982,256,SPEAKING,H,114,C000984,"Cummings, Elijah E.",MD,D,,"Cummings, Elijah E.",Mr. CUMMINGS,Elijah E. Cummings,Elijah Cummings
CREC-2015-11-16-pt1-PgH8164,CREC-2015-11-16,7875,132,SPEAKING,H,114,B000911,"Brown, Corrine",FL,D,,"Brown, Corrine",Ms. BROWN of Florida,Corrine Brown,
CREC-2015-11-16-pt1-PgH8159-7,CREC-2015-11-16,7785,1256,SPEAKING,H,114,Y000033,"Young, Don",AK,R,,"Young, Don",Mr. YOUNG of Alaska,Don Young,Don E. Young
CREC-2015-11-16-pt1-PgH8159-7,CREC-2015-11-16,7804,1708,SPEAKING,H,114,G000551,"Grijalva, Raul M.",AZ,D,,"Grijalva, Raul M.",Mr. GRIJALVA,Raul M. Grijalva,Mr. Raul Grijalva
CREC-2015-11-16-pt1-PgH8159-7,CREC-2015-11-16,7799,1707,SPEAKING,H,114,F000448,"Franks, Trent",AZ,R,,"Franks, Trent",Mr. FRANKS of Arizona,Trent Franks,
