granuleId,packageId,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__parsed,name__authority-fnf
CREC-2016-01-04-pt1-PgH1-6,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgH1-3,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgH1-4,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgH1-5,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgH1,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgH1-2,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgH1-7,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgH-FrontMatter,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgH2-2,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgS1,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgH2-3,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgH1-8,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgH2,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgH2-4,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgS-FrontMatter-6,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgH2-5,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgS1-2,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgE1-2,CREC-2016-01-04,,2146,SPEAKING,H,114,L000580,"Lujan Grisham, Michelle",NM,D,,"Lujan Grisham, Michelle",Ms. MICHELLE LUJAN GRISHAM of New Mexico,Michelle Lujan Grisham
CREC-2016-01-04-pt1-PgE1-3,CREC-2016-01-04,,1967,SPEAKING,H,114,Q000023,"Quigley, Mike",IL,D,7925,"Quigley, Mike",Mr. QUIGLEY,Mike Quigley
CREC-2016-01-04-pt1-PgD1,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgD1-2,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgD1-4,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgD1-3,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgD2,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgD2-2,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgD3,CREC-2016-01-04,,,,,,,,,,,,,
CREC-2016-01-04-pt1-PgD3-2,CREC-2016-01-04,,,,,,,,,,,,,
