granuleId,packageId,members,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__authority-other,name__parsed,name__authority-fnf
CREC-2016-05-24-pt1-PgH2965-2,CREC-2016-05-24,,,,,,,,,,,,
CREC-2016-05-24-pt1-PgH2966,CREC-2016-05-24,,SPEAKING,H,114,J000255,"Jones, Walter B., Jr.",NC,R,"Jones, Walter B., Jr.",Walter Jones,Mr. JONES,Walter B. Jones
CREC-2016-05-24-pt1-PgH-FrontMatter-3,CREC-2016-05-24,,,,,,,,,,,,
CREC-2016-05-24-pt1-PgH2967,CREC-2016-05-24,,SPEAKING,H,114,R000435,"Ros-Lehtinen, Ileana",FL,R,"Ros-Lehtinen, Ileana",,Ms. ROS-LEHTINEN,Ileana Ros-Lehtinen
CREC-2016-05-24-pt1-PgH2965,CREC-2016-05-24,,,,,,,,,,,,
CREC-2016-05-24-pt1-PgH2966-2,CREC-2016-05-24,,SPEAKING,H,114,M000312,"McGovern, James P.",MA,D,"McGovern, James P.",James McGovern,Mr. McGOVERN,James P. McGovern
CREC-2016-05-24-pt1-PgH2965-3,CREC-2016-05-24,,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,"Thompson, Glenn",,Mr. THOMPSON of Pennsylvania,Glenn Thompson
CREC-2016-05-24-pt1-PgH2965-4,CREC-2016-05-24,,SPEAKING,H,114,Q000023,"Quigley, Mike",IL,D,"Quigley, Mike",,Mr. QUIGLEY,Mike Quigley
CREC-2016-05-24-pt1-PgH2968,CREC-2016-05-24,,SPEAKING,H,114,C001080,"Chu, Judy",CA,D,"Chu, Judy",,Ms. JUDY CHU of California,Judy Chu
CREC-2016-05-24-pt1-PgH2969-2,CREC-2016-05-24,,SPEAKING,H,114,W000812,"Wagner, Ann",MO,R,"Wagner, Ann",,Mrs. WAGNER,Ann Wagner
CREC-2016-05-24-pt1-PgH2969-3,CREC-2016-05-24,,SPEAKING,H,114,D000191,"DeFazio, Peter A.",OR,D,"DeFazio, Peter A.",Peter DeFazio,Mr. DeFAZIO,Peter A. DeFazio
CREC-2016-05-24-pt1-PgH2971,CREC-2016-05-24,,SPEAKING,H,114,B001293,"Bishop, Mike",MI,R,"Bishop, Mike",,Mr. BISHOP of Michigan,Mike Bishop
CREC-2016-05-24-pt1-PgH2969,CREC-2016-05-24,,SPEAKING,H,114,C001068,"Cohen, Steve",TN,D,"Cohen, Steve",,Mr. COHEN,Steve Cohen
CREC-2016-05-24-pt1-PgH2970,CREC-2016-05-24,,SPEAKING,H,114,B001289,"Byrne, Bradley",AL,R,"Byrne, Bradley",,Mr. BYRNE,Bradley Byrne
CREC-2016-05-24-pt1-PgH2968-2,CREC-2016-05-24,,SPEAKING,H,114,D000612,"Denham, Jeff",CA,R,"Denham, Jeff",,Mr. DENHAM,Jeff Denham
CREC-2016-05-24-pt1-PgH2971-2,CREC-2016-05-24,,,,,,,,,,,,
CREC-2016-05-24-pt1-PgH2971-3,CREC-2016-05-24,,,,,,,,,,,,
CREC-2016-05-24-pt1-PgH2971-5,CREC-2016-05-24,,,,,,,,,,,,
CREC-2016-05-24-pt1-PgH2971-6,CREC-2016-05-24,,,,,,,,,,,,
CREC-2016-05-24-pt1-PgH2971-7,CREC-2016-05-24,,,,,,,,,,,,
CREC-2016-05-24-pt1-PgH2971-4,CREC-2016-05-24,,,,,,,,,,,,
CREC-2016-05-24-pt1-PgH2971-8,CREC-2016-05-24,,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,"Wilson, Joe",,Mr. WILSON of South Carolina,Joe Wilson
CREC-2016-05-24-pt1-PgH2972,CREC-2016-05-24,,SPEAKING,H,114,M001160,"Moore, Gwen",WI,D,"Moore, Gwen",,Ms. MOORE,Gwen Moore
CREC-2016-05-24-pt1-PgH2972-2,CREC-2016-05-24,,SPEAKING,H,114,J000174,"Johnson, Sam",TX,R,"Johnson, Sam",,Mr. SAM JOHNSON of Texas,Sam Johnson
CREC-2016-05-24-pt1-PgH2972-3,CREC-2016-05-24,,SPEAKING,H,114,C001061,"Cleaver, Emanuel",MO,D,"Cleaver, Emanuel",,Mr. CLEAVER,Emanuel Cleaver
CREC-2016-05-24-pt1-PgH2972-4,CREC-2016-05-24,,SPEAKING,H,114,Z000017,"Zeldin, Lee M.",NY,R,"Zeldin, Lee M.",Lee Zeldin,Mr. ZELDIN,Lee M. Zeldin
CREC-2016-05-24-pt1-PgH2972-5,CREC-2016-05-24,,SPEAKING,H,114,K000382,"Kuster, Ann M.",NH,D,"Kuster, Ann M.",Ann Kuster,Ms. KUSTER,Ann M. Kuster
CREC-2016-05-24-pt1-PgH2973,CREC-2016-05-24,,SPEAKING,H,114,K000380,"Kildee, Daniel T.",MI,D,"Kildee, Daniel T.",Daniel Kildee,Mr. KILDEE,Daniel T. Kildee
CREC-2016-05-24-pt1-PgH2973-3,CREC-2016-05-24,,SPEAKING,H,114,T000468,"Titus, Dina",NV,D,"Titus, Dina",,Ms. TITUS,Dina Titus
CREC-2016-05-24-pt1-PgH2972-6,CREC-2016-05-24,,SPEAKING,H,114,R000435,"Ros-Lehtinen, Ileana",FL,R,"Ros-Lehtinen, Ileana",,Ms. ROS-LEHTINEN,Ileana Ros-Lehtinen
CREC-2016-05-24-pt1-PgH2973-2,CREC-2016-05-24,,SPEAKING,H,114,R000598,"Rothfus, Keith J.",PA,R,"Rothfus, Keith J.",Keith Rothfus,Mr. ROTHFUS,Keith J. Rothfus
