granuleId,packageId,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-10-07-pt1-PgH6839-5,CREC-2015-10-07,8116,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2015-10-07-pt1-PgH6840-2,CREC-2015-10-07,7925,1967,SPEAKING,H,114,Q000023,"Quigley, Mike",IL,D,,"Quigley, Mike",Mr. QUIGLEY,Mike Quigley,
CREC-2015-10-07-pt1-PgH6839-2,CREC-2015-10-07,,,,,,,,,,,,,,
CREC-2015-10-07-pt1-PgH6839-4,CREC-2015-10-07,8026,612,SPEAKING,H,114,J000255,"Jones, Walter B., Jr.",NC,R,,"Jones, Walter B., Jr.",Mr. JONES,Walter B. Jones Jr.,Walter Jones Jr.
CREC-2015-10-07-pt1-PgH6840,CREC-2015-10-07,,2277,SPEAKING,H,114,M001195,"Mooney, Alexander X.",WV,R,,"Mooney, Alexander X.",Mr. MOONEY of West Virginia,Alexander X. Mooney,Mr. Alexander Mooney
CREC-2015-10-07-pt1-PgH-FrontMatter-2,CREC-2015-10-07,,,,,,,,,,,,,,
CREC-2015-10-07-pt1-PgH6839-3,CREC-2015-10-07,,,,,,,,,,,,,,
CREC-2015-10-07-pt1-PgH6839,CREC-2015-10-07,,,,,,,,,,,,,,
CREC-2015-10-07-pt1-PgH6841,CREC-2015-10-07,,2157,SPEAKING,H,114,P000605,"Perry, Scott",PA,R,,"Perry, Scott",Mr. PERRY,Scott Perry,
CREC-2015-10-07-pt1-PgH6841-2,CREC-2015-10-07,7979,1894,SPEAKING,H,114,E000290,"Edwards, Donna F.",MD,D,,"Edwards, Donna F.",Ms. EDWARDS,Donna F. Edwards,Ms. Donna Edwards
CREC-2015-10-07-pt1-PgH6842,CREC-2015-10-07,,2158,SPEAKING,H,114,R000598,"Rothfus, Keith J.",PA,R,,"Rothfus, Keith J.",Mr. ROTHFUS,Keith J. Rothfus,Mr. Keith Rothfus
CREC-2015-10-07-pt1-PgH6842-3,CREC-2015-10-07,8159,603,SPEAKING,H,114,J000174,"Johnson, Sam",TX,R,,"Johnson, Sam",Mr. SAM JOHNSON of Texas,Sam Johnson,
CREC-2015-10-07-pt1-PgH6843-2,CREC-2015-10-07,,2131,SPEAKING,H,114,B001282,"Barr, Andy",KY,R,,"Barr, Andy",Mr. BARR,Andy Barr,
CREC-2015-10-07-pt1-PgH6842-2,CREC-2015-10-07,,2272,SPEAKING,H,114,B001292,"Beyer, Donald S., Jr.",VA,D,,"Beyer, Donald S., Jr.",Mr. BEYER,"Donald S. Beyer, Jr.",Mr. Donald Beyer
CREC-2015-10-07-pt1-PgH6843,CREC-2015-10-07,8149,322,SPEAKING,H,114,D000533,"Duncan, John J., Jr.",TN,R,,"Duncan, John J., Jr.",Mr. DUNCAN of Tennessee,"John J. Duncan, Jr.",John Duncan Jr.
CREC-2015-10-07-pt1-PgH6843-3,CREC-2015-10-07,,,,,,,,,,,,,,
CREC-2015-10-07-pt1-PgH6844,CREC-2015-10-07,,,,,,,,,,,,,,
CREC-2015-10-07-pt1-PgH6844-2,CREC-2015-10-07,,,,,,,,,,,,,,
CREC-2015-10-07-pt1-PgH6844-3,CREC-2015-10-07,,,,,,,,,,,,,,
CREC-2015-10-07-pt1-PgH6844-4,CREC-2015-10-07,,,,,,,,,,,,,,
CREC-2015-10-07-pt1-PgH6844-6,CREC-2015-10-07,,,,,,,,,,,,,,
CREC-2015-10-07-pt1-PgH6844-5,CREC-2015-10-07,8089,1069,SPEAKING,H,114,S000480,"Slaughter, Louise McIntosh",NY,D,,"Slaughter, Louise McIntosh",Ms. SLAUGHTER,Louise McIntosh Slaughter,Louise Slaughter
CREC-2015-10-07-pt1-PgH6844-7,CREC-2015-10-07,,2100,SPEAKING,H,114,L000578,"LaMalfa, Doug",CA,R,,"LaMalfa, Doug",Mr. LaMALFA,Doug LaMalfa,
CREC-2015-10-07-pt1-PgH6845,CREC-2015-10-07,8075,729,SPEAKING,H,114,M000087,"Maloney, Carolyn B.",NY,D,,"Maloney, Carolyn B.",Mrs. CAROLYN B. MALONEY of New York,Carolyn B. Maloney,Carolyn Maloney
CREC-2015-10-07-pt1-PgH6845-2,CREC-2015-10-07,8028,1791,SPEAKING,H,114,F000450,"Foxx, Virginia",NC,R,,"Foxx, Virginia",Ms. FOXX,Virginia Foxx,
CREC-2015-10-07-pt1-PgH6845-3,CREC-2015-10-07,8088,1794,SPEAKING,H,114,H001038,"Higgins, Brian",NY,D,,"Higgins, Brian",Mr. HIGGINS,Brian Higgins,
CREC-2015-10-07-pt1-PgH6845-4,CREC-2015-10-07,8123,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,,"Thompson, Glenn",Mr. THOMPSON of Pennsylvania,Glenn Thompson,
CREC-2015-10-07-pt1-PgH6845-5,CREC-2015-10-07,,2153,SPEAKING,H,114,B001281,"Beatty, Joyce",OH,D,,"Beatty, Joyce",Mrs. BEATTY,Joyce Beatty,
CREC-2015-10-07-pt1-PgH6845-6,CREC-2015-10-07,7951,2021,SPEAKING,H,114,Y000063,"Yoder, Kevin",KS,R,,"Yoder, Kevin",Mr. YODER,Kevin Yoder,
CREC-2015-10-07-pt1-PgH6846-3,CREC-2015-10-07,,2172,SPEAKING,H,114,K000379,"Kennedy, Joseph P., III",MA,D,,"Kennedy, Joseph P., III",Mr. KENNEDY,Joseph P. Kennedy III,Joseph Kennedy III
CREC-2015-10-07-pt1-PgH6846-2,CREC-2015-10-07,7881,1838,SPEAKING,H,114,B001257,"Bilirakis, Gus M.",FL,R,,"Bilirakis, Gus M.",Mr. BILIRAKIS,Gus M. Bilirakis,Mr. Gus Bilirakis
