granuleId,packageId,date,members,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,gpoId,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2015-02-13-pt1-PgH1039-2,CREC-2015-02-13,2015-02-13,,,,,,,,,,,,,,
CREC-2015-02-13-pt1-PgH1039-3,CREC-2015-02-13,2015-02-13,,,,,,,,,,,,,,
CREC-2015-02-13-pt1-PgH1039,CREC-2015-02-13,2015-02-13,,,,,,,,,,,,,,
CREC-2015-02-13-pt1-PgH1039-4,CREC-2015-02-13,2015-02-13,,2100,SPEAKING,H,114,L000578,"LaMalfa, Doug",CA,R,,"LaMalfa, Doug",Mr. LaMALFA,Doug LaMalfa,
CREC-2015-02-13-pt1-PgH1039-6,CREC-2015-02-13,2015-02-13,,,,,,,,,,,,,,
CREC-2015-02-13-pt1-PgH1039-5,CREC-2015-02-13,2015-02-13,,,,,,,,,,,,,,
CREC-2015-02-13-pt1-PgH1040,CREC-2015-02-13,2015-02-13,,2134,SPEAKING,H,114,K000380,"Kildee, Daniel T.",MI,D,,"Kildee, Daniel T.",Mr. KILDEE,Daniel T. Kildee,Mr. Daniel Kildee
CREC-2015-02-13-pt1-PgH1039-7,CREC-2015-02-13,2015-02-13,,1908,SPEAKING,H,114,M001177,"McClintock, Tom",CA,R,7809,"McClintock, Tom",Mr. McCLINTOCK,Tom McClintock,
CREC-2015-02-13-pt1-PgH1040-2,CREC-2015-02-13,2015-02-13,,2100,SPEAKING,H,114,L000578,"LaMalfa, Doug",CA,R,,"LaMalfa, Doug",Mr. LaMALFA,Doug LaMalfa,
CREC-2015-02-13-pt1-PgH1040-4,CREC-2015-02-13,2015-02-13,,1688,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,8142,"Wilson, Joe",Mr. WILSON of South Carolina,Joe Wilson,
CREC-2015-02-13-pt1-PgH1040-3,CREC-2015-02-13,2015-02-13,,2097,SPEAKING,H,114,P000604,"Payne, Donald M., Jr.",NJ,D,8373,"Payne, Donald M., Jr.",Mr. PAYNE,"Donald M. Payne, Jr.",Mr. Donald Payne Jr.
CREC-2015-02-13-pt1-PgH1040-5,CREC-2015-02-13,2015-02-13,,2107,SPEAKING,H,114,C001097,"Cardenas, Tony",CA,D,,"Cardenas, Tony",Mr. CARDENAS,Tony Cardenas,
CREC-2015-02-13-pt1-PgH1041,CREC-2015-02-13,2015-02-13,,2121,SPEAKING,H,114,C001093,"Collins, Doug",GA,R,,"Collins, Doug",Mr. COLLINS of Georgia,Doug Collins,
CREC-2015-02-13-pt1-PgH1040-6,CREC-2015-02-13,2015-02-13,,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,8123,"Thompson, Glenn",Mr. THOMPSON of Pennsylvania,Glenn Thompson,
CREC-2015-02-13-pt1-PgH1041-2,CREC-2015-02-13,2015-02-13,,1560,SPEAKING,H,114,R000570,"Ryan, Paul D.",WI,R,8214,"Ryan, Paul D.",Mr. RYAN of Wisconsin,Paul D. Ryan,Paul Ryan
CREC-2015-02-13-pt1-PgH1041-2,CREC-2015-02-13,2015-02-13,,683,SPEAKING,H,114,L000263,"Levin, Sander M.",MI,D,7997,"Levin, Sander M.",Mr. LEVIN,Sander M. Levin,Sander Levin
CREC-2015-02-13-pt1-PgH1041-2,CREC-2015-02-13,2015-02-13,,1498,SPEAKING,H,114,K000188,"Kind, Ron",WI,D,8216,"Kind, Ron",Mr. KIND,Ron Kind,
CREC-2015-02-13-pt1-PgH1041-2,CREC-2015-02-13,2015-02-13,,1833,SPEAKING,H,114,M001165,"McCarthy, Kevin",CA,R,7827,"McCarthy, Kevin",Mr. McCARTHY,Kevin McCarthy,
